time,value
1765018595.7444377,1.0
1765018595.7856412,1.0
1765018595.8304534,1.0
1765018595.870854,1.0
1765018595.9109674,1.0
1765018595.9510956,1.0
1765018595.991558,1.0
1765018596.0318577,1.0
1765018596.0733676,1.0
1765018596.1146066,1.0
1765018596.1562383,1.0
1765018596.1978488,1.0
1765018596.2392106,1.0
1765018596.280723,1.0
1765018596.3221166,1.0
1765018596.3636088,1.0
1765018596.4060285,1.0
1765018596.4484394,1.0
1765018596.491464,1.0
1765018596.5338085,1.0
1765018596.5762994,1.0
1765018596.6185346,1.0
1765018596.6616235,1.0
1765018596.7044735,1.0
1765018596.7470226,1.0
1765018596.788884,1.0
1765018596.8323889,1.0
1765018596.884467,1.0
1765018596.9085712,1.0
1765018596.9332852,1.0
1765018596.9579976,1.0
1765018596.9824066,1.0
1765018597.0066113,1.0
1765018597.0309575,1.0
1765018597.0552135,1.0
1765018597.079615,1.0
1765018597.1037023,1.0
1765018597.1283727,1.0
1765018597.1528604,1.0
1765018597.1767938,1.0
1765018597.2013714,1.0
1765018597.2254572,1.0
1765018597.2496333,1.0
1765018597.2736778,1.0
1765018597.2977953,1.0
1765018597.321734,1.0
1765018597.3458452,1.0
1765018597.3698428,1.0
1765018597.3938937,1.0
1765018597.4180248,1.0
1765018597.4419098,1.0
1765018597.466075,1.0
1765018597.490657,1.0
1765018597.5144517,1.0
1765018597.5387523,1.0
1765018597.5625813,1.0
1765018597.586594,1.0
1765018597.611187,1.0
1765018597.6354227,1.0
1765018597.6600018,1.0
1765018597.684529,1.0
1765018597.7081785,1.0
1765018597.7325933,1.0
1765018597.75645,1.0
1765018597.7803767,1.0
1765018597.8044355,1.0
1765018597.829862,1.0
1765018597.8538144,1.0
1765018597.877613,1.0
1765018597.901544,1.0
1765018597.9253864,1.0
1765018597.9493182,1.0
1765018597.973437,1.0
1765018597.997364,1.0
1765018598.0212746,1.0
1765018598.0453517,1.0
1765018598.0691493,1.0
1765018598.0931835,1.0
1765018598.1172721,1.0
1765018598.1412137,1.0
1765018598.16499,1.0
1765018598.1891751,1.0
1765018598.2128608,1.0
1765018598.2367353,1.0
1765018598.2603853,1.0
1765018598.2841372,1.0
1765018598.30802,1.0
1765018598.331701,1.0
1765018598.355525,1.0
1765018598.379367,1.0
1765018598.4030945,1.0
1765018598.4269292,1.0
1765018598.4508631,1.0
1765018598.474672,1.0
1765018598.4984028,1.0
1765018598.5223513,1.0
1765018598.5462298,1.0
1765018598.5699537,1.0
1765018598.5938008,1.0
1765018598.6178355,1.0
1765018598.641799,1.0
1765018598.666122,1.0
1765018598.6907723,1.0
1765018598.714787,1.0
1765018598.7389288,1.0
1765018598.762816,1.0
1765018598.7864754,1.0
1765018598.8134809,1.0
1765018598.8366673,1.0
1765018598.8605485,1.0
1765018598.8844101,1.0
1765018598.9082253,1.0
1765018598.9322872,1.0
1765018598.9560106,1.0
1765018598.979796,1.0
1765018599.0036628,1.0
1765018599.0275767,1.0
1765018599.0514472,1.0
1765018599.0756657,1.0
1765018599.0994816,1.0
1765018599.1235807,1.0
1765018599.147337,1.0
1765018599.171047,1.0
1765018599.195182,1.0
1765018599.2188485,1.0
1765018599.242733,1.0
1765018599.2676191,1.0
1765018599.2914388,1.0
1765018599.3151832,1.0
1765018599.3389058,1.0
1765018599.362641,1.0
1765018599.3864694,1.0
1765018599.4102588,1.0
1765018599.4341319,1.0
1765018599.4577868,1.0
1765018599.48135,1.0
1765018599.5052297,1.0
1765018599.5291817,1.0
1765018599.5529737,1.0
1765018599.576796,1.0
1765018599.6006017,1.0
1765018599.6248126,1.0
1765018599.649906,1.0
1765018599.6734192,1.0
1765018599.697617,1.0
1765018599.7221217,1.0
1765018599.7458196,1.0
1765018599.7696683,1.0
1765018599.7932549,1.0
1765018599.8193796,1.0
1765018599.8427908,1.0
1765018599.8667552,1.0
1765018599.890533,1.0
1765018599.9144948,1.0
1765018599.9381704,1.0
1765018599.9620788,1.0
1765018599.9857643,1.0
1765018600.0096555,1.0
1765018600.0335777,1.0
1765018600.0575213,1.0
1765018600.0814357,1.0
1765018600.105738,1.0
1765018600.1298168,1.0
1765018600.153839,1.0
1765018600.1776102,1.0
1765018600.201614,1.0
1765018600.225361,1.0
1765018600.2491179,1.0
1765018600.272872,1.0
1765018600.296655,1.0
1765018600.3205514,1.0
1765018600.344453,1.0
1765018600.3681278,1.0
1765018600.3918886,1.0
1765018600.4155207,1.0
1765018600.4391701,1.0
1765018600.4630246,1.0
1765018600.486769,1.0
1765018600.5106978,1.0
1765018600.534374,1.0
1765018600.558981,1.0
1765018600.582584,1.0
1765018600.606357,1.0
1765018600.630096,1.0
1765018600.65501,1.0
1765018600.6787539,1.0
1765018600.702617,1.0
1765018600.7268033,1.0
1765018600.750563,1.0
1765018600.7742283,1.0
1765018600.7980707,1.0
1765018600.8237936,1.0
1765018600.8472965,1.0
1765018600.871146,1.0
1765018600.8949127,1.0
