time,actuator,value
1765119841.7138808,Actuator(ptr=c_void_p(234370272)),147.0
1765119851.730695,Actuator(ptr=c_void_p(234370272)),147.0
1765119861.7536154,Actuator(ptr=c_void_p(234370272)),147.0
1765119871.7715726,Actuator(ptr=c_void_p(234370272)),147.0
1765119881.7926877,Actuator(ptr=c_void_p(234370272)),147.0
1765119891.8154438,Actuator(ptr=c_void_p(234370272)),147.0
1765119901.8368704,Actuator(ptr=c_void_p(234370272)),147.0
1765119911.8593357,Actuator(ptr=c_void_p(234370272)),147.0
1765119921.87556,Actuator(ptr=c_void_p(234370272)),147.0
1765119931.8960369,Actuator(ptr=c_void_p(234370272)),147.0
1765119941.913185,Actuator(ptr=c_void_p(234370272)),147.0
1765119951.9359596,Actuator(ptr=c_void_p(234370272)),147.0
1765119961.9550197,Actuator(ptr=c_void_p(234370272)),147.0
1765119971.975971,Actuator(ptr=c_void_p(234370272)),147.0
1765119981.9980981,Actuator(ptr=c_void_p(234370272)),147.0
1765119992.0167632,Actuator(ptr=c_void_p(234370272)),147.0
1765120002.035643,Actuator(ptr=c_void_p(234370272)),147.0
1765120012.0548725,Actuator(ptr=c_void_p(234370272)),147.0
1765120022.0755732,Actuator(ptr=c_void_p(234370272)),147.0
1765120032.0933359,Actuator(ptr=c_void_p(234370272)),147.0
