time,scope,value
1765006343.6442955,0,40418255.29821777
1765006343.6442955,1,40418255.29821777
1765006344.6443086,0,40418344.24206543
1765006344.6443086,1,40418344.24206543
1765006345.6443057,0,40418432.97680664
1765006345.6443057,1,40418433.08111572
1765006346.6443076,0,40418521.75402832
1765006346.6443076,1,40418521.75402832
1765006347.6443195,0,40418610.49151611
1765006347.6443195,1,40418610.49151611
1765006348.6443028,0,40418699.1885376
1765006348.6443028,1,40418699.1885376
1765006349.644301,0,40418787.97906494
1765006349.644301,1,40418787.97906494
1765006350.6443262,0,40418876.72161865
1765006350.6443262,1,40418876.72161865
1765006351.6443102,0,40418965.41192627
1765006351.6443102,1,40418965.48815918
1765006352.6443148,0,40419054.15515137
1765006352.6443148,1,40419054.23370361
1765006353.644312,0,40419142.90020752
1765006353.644312,1,40419142.90020752
1765006354.644329,0,40419231.67779541
1765006354.644329,1,40419231.67779541
1765006355.6443024,0,40419320.40020752
1765006355.6443024,1,40419320.46936035
1765006356.644302,0,40419409.1083374
1765006356.644302,1,40419409.195373535
1765006357.6443036,0,40419497.870788574
1765006357.6443036,1,40419497.870788574
1765006358.6443043,0,40419586.57116699
1765006358.6443043,1,40419586.57116699
1765006359.6443105,0,40419675.34301758
1765006359.6443105,1,40419675.4364624
1765006360.64431,0,40419764.12182617
1765006360.64431,1,40419764.12182617
1765006361.644306,0,40419852.83331299
1765006361.644306,1,40419852.83331299
1765006362.6443043,0,40419941.563964844
1765006362.6443043,1,40419941.63330078
1765006363.6443033,0,40420030.314208984
1765006363.6443033,1,40420030.314208984
1765006364.644363,0,40420119.049072266
1765006364.644363,1,40420119.14733887
1765006365.6443036,0,40420207.82385254
1765006365.6443036,1,40420207.82385254
1765006366.6443038,0,40420296.613342285
1765006366.6443038,1,40420296.613342285
1765006367.644306,0,40420385.33258057
1765006367.644306,1,40420385.33258057
1765006368.6443124,0,40420473.96148682
1765006368.6443124,1,40420474.07409668
1765006369.644334,0,40420562.77593994
1765006369.644334,1,40420562.77593994
1765006370.6443033,0,40420651.589416504
1765006370.6443033,1,40420651.589416504
1765006371.6443036,0,40420740.27661133
1765006371.6443036,1,40420740.27661133
1765006372.644306,0,40420828.961364746
1765006372.644306,1,40420829.04168701
1765006373.6443052,0,40420917.669799805
1765006373.6443052,1,40420917.669799805
1765006374.644318,0,40421006.44921875
1765006374.644318,1,40421006.551208496
1765006375.644306,0,40421095.21221924
1765006375.644306,1,40421095.30480957
1765006376.6443064,0,40421183.96618652
1765006376.6443064,1,40421183.96618652
1765006377.6442995,0,40421272.64318848
1765006377.6442995,1,40421272.64318848
1765006378.6443064,0,40421361.43121338
1765006378.6443064,1,40421361.48931885
1765006379.64431,0,40421450.19073486
1765006379.64431,1,40421450.19073486
1765006380.6443276,0,40421538.892211914
1765006380.6443276,1,40421538.972473145
1765006381.6443353,0,40421627.70037842
1765006381.6443353,1,40421627.70037842
1765006382.6443124,0,40421716.374694824
1765006382.6443124,1,40421716.48754883
1765006383.6443088,0,40421805.15527344
1765006383.6443088,1,40421805.15527344
1765006384.6443057,0,40421893.876831055
1765006384.6443057,1,40421893.876831055
1765006385.6443024,0,40421982.65887451
1765006385.6443024,1,40421982.65887451
1765006386.6443033,0,40422071.38232422
1765006386.6443033,1,40422071.38232422
1765006387.6443264,0,40422160.11444092
1765006387.6443264,1,40422160.187927246
1765006388.6443057,0,40422248.92706299
1765006388.6443057,1,40422248.92706299
1765006389.644307,0,40422337.649902344
1765006389.644307,1,40422337.649902344
1765006390.6443057,0,40422426.34844971
1765006390.6443057,1,40422426.34844971
1765006391.6443062,0,40422515.101623535
1765006391.6443062,1,40422515.101623535
1765006392.6443028,0,40422603.82006836
1765006392.6443028,1,40422603.82006836
1765006393.6443226,0,40422692.56347656
1765006393.6443226,1,40422692.56347656
1765006394.6443172,0,40422781.32208252
1765006394.6443172,1,40422781.32208252
1765006395.6443052,0,40422870.06652832
1765006395.6443052,1,40422870.06652832
1765006396.644305,0,40422958.81695557
1765006396.644305,1,40422958.81695557
1765006397.6443071,0,40423047.513549805
1765006397.6443071,1,40423047.513549805
1765006398.6443052,0,40423136.24920654
1765006398.6443052,1,40423136.24920654
1765006399.644323,0,40423225.02435303
1765006399.644323,1,40423225.02435303
1765006400.6443346,0,40423313.73034668
1765006400.6443346,1,40423313.73034668
1765006401.6443017,0,40423402.476989746
1765006401.6443017,1,40423402.476989746
1765006402.6443021,0,40423491.243652344
1765006402.6443021,1,40423491.243652344
1765006403.6443086,0,40423579.93060303
1765006403.6443086,1,40423579.93060303
1765006404.644309,0,40423668.753723145
1765006404.644309,1,40423668.753723145
1765006405.6443071,0,40423757.39367676
1765006405.6443071,1,40423757.39367676
1765006406.6443155,0,40423846.158081055
1765006406.6443155,1,40423846.24743652
1765006407.6443074,0,40423934.92327881
1765006407.6443074,1,40423934.98223877
1765006408.6443105,0,40424023.66357422
1765006408.6443105,1,40424023.66357422
1765006409.6443043,0,40424112.3817749
1765006409.6443043,1,40424112.3817749
1765006410.6443055,0,40424201.15893555
1765006410.6443055,1,40424201.15893555
1765006411.6443076,0,40424289.898498535
1765006411.6443076,1,40424289.898498535
1765006412.644335,0,40424378.5657959
1765006412.644335,1,40424378.65527344
1765006413.644317,0,40424467.361816406
1765006413.644317,1,40424467.361816406
1765006414.6443622,0,40424556.16723633
1765006414.6443622,1,40424556.16723633
1765006415.6443233,0,40424644.819885254
1765006415.6443233,1,40424644.92047119
1765006416.6443055,0,40424733.576538086
1765006416.6443055,1,40424733.67236328
1765006417.6443133,0,40424822.31915283
1765006417.6443133,1,40424822.3894043
1765006418.644303,0,40424911.07159424
1765006418.644303,1,40424911.07159424
1765006419.6443224,0,40424999.80792236
1765006419.6443224,1,40424999.80792236
1765006420.644337,0,40425088.59515381
1765006420.644337,1,40425088.59515381
1765006421.6443112,0,40425177.27789307
1765006421.6443112,1,40425177.380493164
1765006422.644316,0,40425266.043151855
1765006422.644316,1,40425266.043151855
1765006423.6452506,0,40425354.87432861
1765006423.6452506,1,40425354.87432861
1765006424.6443126,0,40425443.47503662
1765006424.6443126,1,40425443.56500244
1765006425.6443026,0,40425532.22406006
1765006425.6443026,1,40425532.22406006
1765006426.6443107,0,40425620.99847412
1765006426.6443107,1,40425620.99847412
1765006427.6443145,0,40425709.71569824
1765006427.6443145,1,40425709.820739746
1765006428.6442482,0,40425798.50994873
1765006428.6442482,1,40425798.50994873
1765006429.6443105,0,40425887.183898926
1765006429.6443105,1,40425887.265930176
1765006430.6443386,0,40425975.9697876
1765006430.6443386,1,40425975.9697876
1765006431.6443036,0,40426064.68621826
1765006431.6443036,1,40426064.68621826
1765006432.6443148,0,40426153.42901611
1765006432.6443148,1,40426153.42901611
1765006433.6443121,0,40426242.230407715
1765006433.6443121,1,40426242.230407715
1765006434.6443052,0,40426330.96557617
1765006434.6443052,1,40426330.96557617
1765006435.6443143,0,40426419.609680176
1765006435.6443143,1,40426419.693237305
1765006436.6443558,0,40426508.42523193
1765006436.6443558,1,40426508.42523193
1765006437.644303,0,40426597.16082764
1765006437.644303,1,40426597.16082764
1765006438.644319,0,40426685.91796875
1765006438.644319,1,40426685.91796875
1765006439.6443112,0,40426774.617248535
1765006439.6443112,1,40426774.617248535
1765006440.644309,0,40426863.37811279
1765006440.644309,1,40426863.37811279
1765006441.6443143,0,40426952.05737305
1765006441.6443143,1,40426952.16308594
1765006442.6443102,0,40427040.847229004
1765006442.6443102,1,40427040.847229004
1765006443.6443293,0,40427129.54119873
1765006443.6443293,1,40427129.624938965
1765006444.6443148,0,40427218.3381958
1765006444.6443148,1,40427218.3381958
1765006445.6443002,0,40427307.0378418
1765006445.6443002,1,40427307.0378418
1765006446.644306,0,40427395.77746582
1765006446.644306,1,40427395.77746582
1765006447.644327,0,40427484.48565674
1765006447.644327,1,40427484.57421875
1765006448.644342,0,40427573.22973633
1765006448.644342,1,40427573.3369751
1765006449.6443322,0,40427662.017822266
1765006449.6443322,1,40427662.017822266
1765006450.6443264,0,40427750.82287598
1765006450.6443264,1,40427750.82287598
1765006451.644319,0,40427839.52038574
1765006451.644319,1,40427839.52038574
1765006452.6443076,0,40427928.28222656
1765006452.6443076,1,40427928.28222656
1765006453.6443145,0,40428017.02496338
1765006453.6443145,1,40428017.02496338
1765006454.6443021,0,40428105.71435547
1765006454.6443021,1,40428105.71435547
1765006455.6443067,0,40428194.458984375
1765006455.6443067,1,40428194.458984375
1765006456.6443238,0,40428283.19250488
1765006456.6443238,1,40428283.26062012
1765006457.6443274,0,40428371.97052002
1765006457.6443274,1,40428371.97052002
1765006458.6443095,0,40428460.66845703
1765006458.6443095,1,40428460.7868042
1765006459.6443167,0,40428549.47583008
1765006459.6443167,1,40428549.47583008
1765006460.6443071,0,40428638.15209961
1765006460.6443071,1,40428638.15209961
1765006461.644314,0,40428726.9173584
1765006461.644314,1,40428726.9173584
1765006462.6443038,0,40428815.671447754
1765006462.6443038,1,40428815.671447754
1765006463.6443295,0,40428904.36193848
1765006463.6443295,1,40428904.461242676
1765006464.6443064,0,40428993.148498535
1765006464.6443064,1,40428993.148498535
1765006465.644311,0,40429081.854003906
1765006465.644311,1,40429081.94055176
1765006466.6443014,0,40429170.59893799
1765006466.6443014,1,40429170.59893799
1765006467.644304,0,40429259.37536621
1765006467.644304,1,40429259.37536621
1765006468.6443095,0,40429348.116760254
1765006468.6443095,1,40429348.116760254
1765006469.6443202,0,40429436.79083252
1765006469.6443202,1,40429436.8918457
1765006470.644301,0,40429525.62677002
1765006470.644301,1,40429525.62677002
1765006471.6443102,0,40429614.35412598
1765006471.6443102,1,40429614.35412598
1765006472.6443188,0,40429703.02355957
1765006472.6443188,1,40429703.127319336
1765006473.6443112,0,40429791.84020996
1765006473.6443112,1,40429791.84020996
1765006474.6443017,0,40429880.5690918
1765006474.6443017,1,40429880.5690918
1765006475.6443121,0,40429969.347961426
1765006475.6443121,1,40429969.347961426
1765006476.644307,0,40430058.04180908
1765006476.644307,1,40430058.04180908
1765006477.6443195,0,40430146.78393555
1765006477.6443195,1,40430146.78393555
1765006478.6443043,0,40430235.53338623
1765006478.6443043,1,40430235.53338623
1765006479.6443024,0,40430324.25512695
1765006479.6443024,1,40430324.25512695
1765006480.6443298,0,40430413.021118164
1765006480.6443298,1,40430413.021118164
1765006481.6443079,0,40430501.74029541
1765006481.6443079,1,40430501.74029541
1765006482.6443062,0,40430590.44091797
1765006482.6443062,1,40430590.44091797
1765006483.644342,0,40430679.22601318
1765006483.644342,1,40430679.22601318
1765006484.644309,0,40430767.96173096
1765006484.644309,1,40430767.96173096
1765006485.6443074,0,40430856.70220947
1765006485.6443074,1,40430856.788635254
1765006486.6443245,0,40430945.45800781
1765006486.6443245,1,40430945.45800781
1765006487.6443052,0,40431034.196777344
1765006487.6443052,1,40431034.196777344
1765006488.644311,0,40431122.941101074
1765006488.644311,1,40431122.941101074
1765006489.6443102,0,40431211.638793945
1765006489.6443102,1,40431211.638793945
1765006490.6443071,0,40431300.44647217
1765006490.6443071,1,40431300.44647217
1765006491.6443038,0,40431389.1361084
1765006491.6443038,1,40431389.239868164
1765006492.644309,0,40431477.93481445
1765006492.644309,1,40431477.93481445
1765006493.6443088,0,40431566.640808105
1765006493.6443088,1,40431566.640808105
1765006494.6443026,0,40431655.376953125
1765006494.6443026,1,40431655.376953125
1765006495.6443048,0,40431744.05859375
1765006495.6443048,1,40431744.05859375
