time,value
1765081248.3553526,1.0
1765081248.478048,1.0
1765081248.6029358,1.0
1765081248.7259007,1.0
1765081248.8477159,1.0
1765081248.970259,1.0
1765081249.0935822,1.0
1765081249.2539303,1.0
1765081249.3853478,1.0
1765081249.5165887,1.0
1765081249.6480138,1.0
1765081249.7797127,1.0
1765081249.9283614,1.0
1765081250.059396,1.0
1765081250.1977057,1.0
1765081250.3288784,1.0
1765081250.4600897,1.0
1765081250.591286,1.0
1765081250.722787,1.0
1765081250.8538494,1.0
1765081250.984907,1.0
1765081251.1168401,1.0
1765081251.2481973,1.0
1765081251.3793027,1.0
1765081251.5105615,1.0
1765081251.6413627,1.0
1765081251.7733889,1.0
1765081251.9044414,1.0
1765081252.0355802,1.0
1765081252.1675951,1.0
1765081252.2999468,1.0
1765081252.4308617,1.0
1765081252.5621147,1.0
1765081252.6942155,1.0
1765081252.8254826,1.0
1765081252.9564064,1.0
1765081253.0874915,1.0
1765081253.2197013,1.0
1765081253.3515258,1.0
1765081253.4825091,1.0
1765081253.613702,1.0
1765081253.7454906,1.0
1765081253.876464,1.0
1765081254.0075138,1.0
1765081254.1403172,1.0
1765081254.2717073,1.0
1765081254.4228938,1.0
1765081254.553864,1.0
1765081254.6853158,1.0
1765081254.816103,1.0
1765081254.9467673,1.0
1765081255.0776374,1.0
1765081255.2099411,1.0
1765081255.340652,1.0
1765081255.471532,1.0
1765081255.6027098,1.0
1765081255.7343006,1.0
1765081255.8648098,1.0
1765081255.995475,1.0
1765081256.1276312,1.0
1765081256.258336,1.0
1765081256.4100864,1.0
1765081256.542782,1.0
1765081256.675629,1.0
1765081256.8131626,1.0
1765081256.9457438,1.0
1765081257.078145,1.0
1765081257.2113948,1.0
1765081257.3440216,1.0
1765081257.4766088,1.0
1765081257.6092186,1.0
1765081257.7421005,1.0
1765081257.8746178,1.0
1765081258.007037,1.0
1765081258.1408672,1.0
1765081258.2733176,1.0
1765081258.4061487,1.0
1765081258.538732,1.0
1765081258.6716726,1.0
1765081258.804243,1.0
1765081258.9367177,1.0
1765081259.0693865,1.0
1765081259.202994,1.0
1765081259.3360536,1.0
1765081259.4684408,1.0
1765081259.6009955,1.0
