time,scope,value
1765050229.0005286,nrm.extra.perf.PAPI_L3_TCA.637972,1114435962.0
1765050229.0005286,nrm.extra.perf.PAPI_TOT_INS.637972,65306263272.0
1765050229.0005286,nrm.extra.perf.PAPI_TOT_CYC.637972,234090050910.0
1765050229.0005286,nrm.extra.perf.PAPI_RES_STL.637972,161220513807.0
1765050229.0005286,nrm.extra.perf.PAPI_L3_TCM.637972,976182724.0
1765050230.009353,nrm.extra.perf.PAPI_L3_TCA.637972,2412574295.0
1765050230.009353,nrm.extra.perf.PAPI_TOT_INS.637972,139553211061.0
1765050230.009353,nrm.extra.perf.PAPI_TOT_CYC.637972,483828836652.0
1765050230.009353,nrm.extra.perf.PAPI_RES_STL.637972,332201701929.0
1765050230.009353,nrm.extra.perf.PAPI_L3_TCM.637972,2115569372.0
1765050230.9996588,nrm.extra.perf.PAPI_L3_TCA.637972,3917148019.0
1765050230.9996588,nrm.extra.perf.PAPI_TOT_INS.637972,224751262232.0
1765050230.9996588,nrm.extra.perf.PAPI_TOT_CYC.637972,720555176368.0
1765050230.9996588,nrm.extra.perf.PAPI_RES_STL.637972,479442313018.0
1765050230.9996588,nrm.extra.perf.PAPI_L3_TCM.637972,3430329456.0
1765050231.9995954,nrm.extra.perf.PAPI_L3_TCA.637972,5501686558.0
1765050231.9995954,nrm.extra.perf.PAPI_TOT_INS.637972,314269394876.0
1765050231.9995954,nrm.extra.perf.PAPI_TOT_CYC.637972,960620920389.0
1765050231.9995954,nrm.extra.perf.PAPI_RES_STL.637972,627731301607.0
1765050231.9995954,nrm.extra.perf.PAPI_L3_TCM.637972,4819794191.0
1765050233.00372,nrm.extra.perf.PAPI_L3_TCA.637972,7091598688.0
1765050233.00372,nrm.extra.perf.PAPI_TOT_INS.637972,404201772065.0
1765050233.00372,nrm.extra.perf.PAPI_TOT_CYC.637972,1201825324182.0
1765050233.00372,nrm.extra.perf.PAPI_RES_STL.637972,776277978315.0
1765050233.00372,nrm.extra.perf.PAPI_L3_TCM.637972,6214747261.0
1765050234.0071528,nrm.extra.perf.PAPI_L3_TCA.637972,8683966228.0
1765050234.0071528,nrm.extra.perf.PAPI_TOT_INS.637972,494509596794.0
1765050234.0071528,nrm.extra.perf.PAPI_TOT_CYC.637972,1441294604180.0
1765050234.0071528,nrm.extra.perf.PAPI_RES_STL.637972,924212668357.0
1765050234.0071528,nrm.extra.perf.PAPI_L3_TCM.637972,7612898482.0
1765050235.001995,nrm.extra.perf.PAPI_L3_TCA.637972,10237367081.0
1765050235.001995,nrm.extra.perf.PAPI_TOT_INS.637972,583108709729.0
1765050235.001995,nrm.extra.perf.PAPI_TOT_CYC.637972,1678494233007.0
1765050235.001995,nrm.extra.perf.PAPI_RES_STL.637972,1066696331942.0
1765050235.001995,nrm.extra.perf.PAPI_L3_TCM.637972,8959736948.0
1765050235.9997315,nrm.extra.perf.PAPI_L3_TCA.637972,11820860812.0
1765050235.9997315,nrm.extra.perf.PAPI_TOT_INS.637972,672973070859.0
1765050235.9997315,nrm.extra.perf.PAPI_TOT_CYC.637972,1918002182514.0
1765050235.9997315,nrm.extra.perf.PAPI_RES_STL.637972,1212607352511.0
1765050235.9997315,nrm.extra.perf.PAPI_L3_TCM.637972,10334824059.0
1765050237.0017602,nrm.extra.perf.PAPI_L3_TCA.637972,13650653520.0
1765050237.0017602,nrm.extra.perf.PAPI_TOT_INS.637972,775527121455.0
