time,scope,value
1765088232.6444285,0,49335800.04547119
1765088232.6444285,1,49335800.329833984
1765088233.644408,0,49335941.38256836
1765088233.644408,1,49335941.38256836
1765088234.6473436,0,49336071.39361572
1765088234.6473436,1,49336071.39361572
1765088235.6443777,0,49336200.48364258
1765088235.6443777,1,49336200.48364258
1765088236.6442974,0,49336330.1295166
1765088236.6442974,1,49336330.1295166
1765088237.6443927,0,49336459.826293945
1765088237.6443927,1,49336459.826293945
1765088238.644307,0,49336589.42254639
1765088238.644307,1,49336589.42254639
1765088239.644317,0,49336719.0692749
1765088239.644317,1,49336719.0692749
1765088240.6443245,0,49336848.74530029
1765088240.6443245,1,49336848.74530029
1765088241.6443083,0,49336978.33691406
1765088241.6443083,1,49336978.33691406
1765088242.644299,0,49337107.92602539
1765088242.644299,1,49337107.92602539
1765088243.644366,0,49337237.59588623
1765088243.644366,1,49337237.59588623
1765088244.6473756,0,49337367.610961914
1765088244.6473756,1,49337367.72790527
1765088245.6443117,0,49337496.890686035
1765088245.6443117,1,49337496.890686035
1765088246.6443071,0,49337626.41168213
1765088246.6443071,1,49337626.525878906
1765088247.6443906,0,49337756.0692749
1765088247.6443906,1,49337756.0692749
1765088248.6443965,0,49337885.71539307
1765088248.6443965,1,49337885.71539307
1765088249.644392,0,49338015.41485596
1765088249.644392,1,49338015.41485596
1765088250.6443648,0,49338144.924072266
1765088250.6443648,1,49338145.080200195
1765088251.6443992,0,49338274.61151123
1765088251.6443992,1,49338274.61151123
1765088252.644354,0,49338404.263305664
1765088252.644354,1,49338404.263305664
1765088253.6443455,0,49338533.857421875
1765088253.6443455,1,49338533.857421875
1765088254.64438,0,49338663.50701904
1765088254.64438,1,49338663.50701904
