time,scope,value
1765077561.6443768,0,150.69052635223633
1765077561.6443768,1,155.20575448969217
1765077562.6443596,0,124.75729629306234
1765077562.6443596,1,122.73701544244464
1765077563.6444101,0,125.45056743631692
1765077563.6444101,1,125.47421839347165
1765077564.6443799,0,124.29040755841613
1765077564.6443799,1,124.03699716194683
1765077565.644376,0,122.49191719626204
1765077565.644376,1,121.80435479971258
1765077566.6444323,0,123.49866431673283
1765077566.6444323,1,124.31543841846528
1765077567.6443582,0,123.36428189674106
1765077567.6443582,1,124.32771907573056
1765077568.6443627,0,123.5578146836415
1765077568.6443627,1,117.0769546437187
1765077569.6472952,0,124.65661516618532
1765077569.6472952,1,124.62995193087504
1765077570.644381,0,123.60369855204259
1765077570.644381,1,123.84472549148164
1765077571.6443594,0,124.08995790642932
1765077571.6443594,1,122.51379293160362
1765077572.644357,0,122.45856026596553
1765077572.644357,1,121.5296182320505
1765077573.6443799,0,121.14004186337294
1765077573.6443799,1,124.44101030683102
1765077574.6443655,0,120.77357049082389
1765077574.6443655,1,123.48009648042655
1765077575.6443613,0,123.32844163376416
1765077575.6443613,1,126.96993505464498
1765077576.6443877,0,122.65107150416203
1765077576.6443877,1,124.10900973112568
1765077577.644376,0,123.53117119651502
1765077577.644376,1,123.06540319392205
1765077578.6443737,0,122.0259931609367
1765077578.6443737,1,124.21799157316703
1765077579.6443577,0,122.93789571924712
1765077579.6443577,1,126.23781710542468
1765077580.6443849,0,121.56822326932547
1765077580.6443849,1,122.43027692803952
1765077581.6443512,0,124.52907410846444
1765077581.6443512,1,125.42710322298696
1765077582.6443865,0,120.94235441491512
1765077582.6443865,1,125.4815707403728
1765077583.644357,0,123.5356513524059
1765077583.644357,1,125.06907815599453
1765077584.6443932,0,123.29310453245485
1765077584.6443932,1,124.2245673558447
1765077585.644369,0,121.87900413039287
1765077585.644369,1,122.60502586280842
1765077586.6443722,0,124.92796513058492
1765077586.6443722,1,124.31055710257488
1765077587.644353,0,124.8254757166434
1765077587.644353,1,124.716554511207
1765077588.6443658,0,123.56340915010631
1765077588.6443658,1,125.07002267218567
1765077589.644376,0,124.8684507549089
1765077589.644376,1,124.5785442190004
1765077590.6443667,0,124.82126104218304
1765077590.6443667,1,123.55311327834575
1765077591.6443856,0,123.7878758281323
1765077591.6443856,1,125.2864279268279
1765077592.6443715,0,123.1067991423553
1765077592.6443715,1,124.26432254913776
1765077593.6443498,0,123.92478753313725
1765077593.6443498,1,124.85628386190402
1765077594.6443596,0,124.48380113989748
1765077594.6443596,1,124.23361215673006
1765077595.6443548,0,123.86676179522972
1765077595.6443548,1,122.7031025525404
1765077596.6443558,0,125.88648433387462
1765077596.6443558,1,121.83646695116082
1765077597.6443627,0,123.0879819915206
1765077597.6443627,1,124.099495820845
1765077598.6443937,0,122.67173543319295
1765077598.6443937,1,124.26221602282045
1765077599.6443627,0,125.60497130461663
1765077599.6443627,1,124.979692692618
1765077600.6443624,0,124.11372735501925
1765077600.6443624,1,121.05477680364885
1765077601.6443815,0,125.7787633243765
1765077601.6443815,1,122.07050447994926
1765077602.6443899,0,125.33107371598265
1765077602.6443899,1,122.10047598517892
1765077603.6443896,0,122.83946675489791
1765077603.6443896,1,123.5990399100467
1765077604.6443481,0,124.43232289740013
1765077604.6443481,1,124.21380892234976
1765077605.6443622,0,122.58992006675105
1765077605.6443622,1,123.54423666539044
1765077606.644373,0,122.98816003773508
1765077606.644373,1,122.79921911789023
1765077607.6443648,0,123.85118296803465
1765077607.6443648,1,125.13667235387204
1765077608.6443627,0,122.8550434564909
1765077608.6443627,1,124.83172061059904
1765077609.6443717,0,123.50496013364877
1765077609.6443717,1,121.91940285850602
1765077610.6443691,0,124.59911953818973
1765077610.6443691,1,124.47148601003403
1765077611.6443887,0,123.55681607978033
1765077611.6443887,1,123.20109787446214
