time,scope,value
1765045789.414576,nrm.extra.perf.PAPI_L3_TCA.632796,2250239778.0
1765045789.414576,nrm.extra.perf.PAPI_TOT_INS.632796,47265167972.0
1765045789.414576,nrm.extra.perf.PAPI_TOT_CYC.632796,274990553314.0
1765045789.414576,nrm.extra.perf.PAPI_RES_STL.632796,241592411637.0
1765045789.414576,nrm.extra.perf.PAPI_L3_TCM.632796,1998028975.0
1765045790.4166741,nrm.extra.perf.PAPI_L3_TCA.632796,4448001188.0
1765045790.4166741,nrm.extra.perf.PAPI_TOT_INS.632796,93232746324.0
1765045790.4166741,nrm.extra.perf.PAPI_TOT_CYC.632796,519036552617.0
1765045790.4166741,nrm.extra.perf.PAPI_RES_STL.632796,453596906166.0
1765045790.4166741,nrm.extra.perf.PAPI_L3_TCM.632796,3949928820.0
1765045791.4128497,nrm.extra.perf.PAPI_L3_TCA.632796,6619118571.0
1765045791.4128497,nrm.extra.perf.PAPI_TOT_INS.632796,138761595149.0
1765045791.4128497,nrm.extra.perf.PAPI_TOT_CYC.632796,761402575465.0
1765045791.4128497,nrm.extra.perf.PAPI_RES_STL.632796,663639061590.0
1765045791.4128497,nrm.extra.perf.PAPI_L3_TCM.632796,5879204435.0
1765045792.417246,nrm.extra.perf.PAPI_L3_TCA.632796,8829069018.0
1765045792.417246,nrm.extra.perf.PAPI_TOT_INS.632796,184996985541.0
1765045792.417246,nrm.extra.perf.PAPI_TOT_CYC.632796,1008316123030.0
1765045792.417246,nrm.extra.perf.PAPI_RES_STL.632796,878874591456.0
1765045792.417246,nrm.extra.perf.PAPI_L3_TCM.632796,7846653702.0
1765045793.4155834,nrm.extra.perf.PAPI_L3_TCA.632796,11046004035.0
1765045793.4155834,nrm.extra.perf.PAPI_TOT_INS.632796,231030843361.0
1765045793.4155834,nrm.extra.perf.PAPI_TOT_CYC.632796,1253562296424.0
1765045793.4155834,nrm.extra.perf.PAPI_RES_STL.632796,1094109668084.0
1765045793.4155834,nrm.extra.perf.PAPI_L3_TCM.632796,9814104569.0
1765045794.4142933,nrm.extra.perf.PAPI_L3_TCA.632796,13264278882.0
1765045794.4142933,nrm.extra.perf.PAPI_TOT_INS.632796,277110021176.0
1765045794.4142933,nrm.extra.perf.PAPI_TOT_CYC.632796,1498778277213.0
1765045794.4142933,nrm.extra.perf.PAPI_RES_STL.632796,1309875911771.0
1765045794.4142933,nrm.extra.perf.PAPI_L3_TCM.632796,11788610660.0
1765045795.4188504,nrm.extra.perf.PAPI_L3_TCA.632796,15500893205.0
1765045795.4188504,nrm.extra.perf.PAPI_TOT_INS.632796,323422564750.0
1765045795.4188504,nrm.extra.perf.PAPI_TOT_CYC.632796,1745055246017.0
1765045795.4188504,nrm.extra.perf.PAPI_RES_STL.632796,1527243821418.0
1765045795.4188504,nrm.extra.perf.PAPI_L3_TCM.632796,13778874472.0
1765045796.4171133,nrm.extra.perf.PAPI_L3_TCA.632796,17674471832.0
1765045796.4171133,nrm.extra.perf.PAPI_TOT_INS.632796,368984199739.0
1765045796.4171133,nrm.extra.perf.PAPI_TOT_CYC.632796,1987516231166.0
1765045796.4171133,nrm.extra.perf.PAPI_RES_STL.632796,1737438216808.0
1765045796.4171133,nrm.extra.perf.PAPI_L3_TCM.632796,15709870285.0
1765045797.422328,nrm.extra.perf.PAPI_L3_TCA.632796,19909424591.0
1765045797.422328,nrm.extra.perf.PAPI_TOT_INS.632796,415324551839.0
1765045797.422328,nrm.extra.perf.PAPI_TOT_CYC.632796,2233688797378.0
1765045797.422328,nrm.extra.perf.PAPI_RES_STL.632796,1954523161784.0
1765045797.422328,nrm.extra.perf.PAPI_L3_TCM.632796,17700268322.0
1765045798.4148557,nrm.extra.perf.PAPI_L3_TCA.632796,22064989042.0
1765045798.4148557,nrm.extra.perf.PAPI_TOT_INS.632796,460672354981.0
1765045798.4148557,nrm.extra.perf.PAPI_TOT_CYC.632796,2476090653630.0
1765045798.4148557,nrm.extra.perf.PAPI_RES_STL.632796,2163751179167.0
1765045798.4148557,nrm.extra.perf.PAPI_L3_TCM.632796,19615938863.0
1765045799.4189055,nrm.extra.perf.PAPI_L3_TCA.632796,24292147752.0
1765045799.4189055,nrm.extra.perf.PAPI_TOT_INS.632796,507076967711.0
1765045799.4189055,nrm.extra.perf.PAPI_TOT_CYC.632796,2723250184043.0
1765045799.4189055,nrm.extra.perf.PAPI_RES_STL.632796,2379569593061.0
1765045799.4189055,nrm.extra.perf.PAPI_L3_TCM.632796,21591329689.0
1765045800.4131925,nrm.extra.perf.PAPI_L3_TCA.632796,26488300407.0
1765045800.4131925,nrm.extra.perf.PAPI_TOT_INS.632796,552962552808.0
1765045800.4131925,nrm.extra.perf.PAPI_TOT_CYC.632796,2968349233527.0
1765045800.4131925,nrm.extra.perf.PAPI_RES_STL.632796,2593330783857.0
1765045800.4131925,nrm.extra.perf.PAPI_L3_TCM.632796,23544013186.0
1765045801.4184546,nrm.extra.perf.PAPI_L3_TCA.632796,28655853510.0
1765045801.4184546,nrm.extra.perf.PAPI_TOT_INS.632796,599067325535.0
1765045801.4184546,nrm.extra.perf.PAPI_TOT_CYC.632796,3216773625929.0
1765045801.4184546,nrm.extra.perf.PAPI_RES_STL.632796,2805096967886.0
1765045801.4184546,nrm.extra.perf.PAPI_L3_TCM.632796,25474499220.0
1765045802.4149961,nrm.extra.perf.PAPI_L3_TCA.632796,30831160150.0
1765045802.4149961,nrm.extra.perf.PAPI_TOT_INS.632796,644876690911.0
1765045802.4149961,nrm.extra.perf.PAPI_TOT_CYC.632796,3462865040561.0
1765045802.4149961,nrm.extra.perf.PAPI_RES_STL.632796,3016985945339.0
1765045802.4149961,nrm.extra.perf.PAPI_L3_TCM.632796,27404781923.0
1765045803.4137719,nrm.extra.perf.PAPI_L3_TCA.632796,33009081279.0
1765045803.4137719,nrm.extra.perf.PAPI_TOT_INS.632796,690791439719.0
1765045803.4137719,nrm.extra.perf.PAPI_TOT_CYC.632796,3709562138858.0
1765045803.4137719,nrm.extra.perf.PAPI_RES_STL.632796,3229652592610.0
1765045803.4137719,nrm.extra.perf.PAPI_L3_TCM.632796,29342235133.0
1765045804.4233468,nrm.extra.perf.PAPI_L3_TCA.632796,35208672717.0
1765045804.4233468,nrm.extra.perf.PAPI_TOT_INS.632796,736980203254.0
1765045804.4233468,nrm.extra.perf.PAPI_TOT_CYC.632796,3956851434537.0
1765045804.4233468,nrm.extra.perf.PAPI_RES_STL.632796,3444020293730.0
1765045804.4233468,nrm.extra.perf.PAPI_L3_TCM.632796,31302182215.0
1765045805.4132366,nrm.extra.perf.PAPI_L3_TCA.632796,37395525264.0
1765045805.4132366,nrm.extra.perf.PAPI_TOT_INS.632796,782857992650.0
1765045805.4132366,nrm.extra.perf.PAPI_TOT_CYC.632796,4202142967751.0
1765045805.4132366,nrm.extra.perf.PAPI_RES_STL.632796,3656072412168.0
1765045805.4132366,nrm.extra.perf.PAPI_L3_TCM.632796,33240557514.0
1765045806.4169588,nrm.extra.perf.PAPI_L3_TCA.632796,39584020123.0
1765045806.4169588,nrm.extra.perf.PAPI_TOT_INS.632796,829001811445.0
