time,scope,value
1765046964.6444175,0,44430438.009765625
1765046964.6444175,1,44430438.009765625
1765046965.6442945,0,44430549.531677246
1765046965.6442945,1,44430549.531677246
1765046966.6443768,0,44430661.21722412
1765046966.6443768,1,44430661.326660156
1765046967.6443722,0,44430772.89416504
1765046967.6443722,1,44430773.00048828
1765046968.6444037,0,44430884.56329346
1765046968.6444037,1,44430884.56329346
1765046969.6444194,0,44430996.19519043
1765046969.6444194,1,44430996.19519043
1765046970.6443834,0,44431107.95654297
1765046970.6443834,1,44431107.95654297
1765046971.6444275,0,44431219.652526855
1765046971.6444275,1,44431219.652526855
1765046972.6443064,0,44431331.210632324
1765046972.6443064,1,44431331.324035645
1765046973.6443713,0,44431442.97167969
1765046973.6443713,1,44431442.97167969
1765046974.6444063,0,44431554.54241943
1765046974.6444063,1,44431554.657714844
1765046975.6443872,0,44431666.33795166
1765046975.6443872,1,44431666.33795166
1765046976.6444151,0,44431777.96008301
1765046976.6444151,1,44431777.96008301
1765046977.644382,0,44431889.622558594
1765046977.644382,1,44431889.622558594
1765046978.644381,0,44432001.37817383
1765046978.644381,1,44432001.37817383
1765046979.6443727,0,44432113.01312256
1765046979.6443727,1,44432113.01312256
1765046980.6443954,0,44432224.69616699
1765046980.6443954,1,44432224.78314209
1765046981.644362,0,44432336.32714844
1765046981.644362,1,44432336.32714844
1765046982.644361,0,44432448.06323242
1765046982.644361,1,44432448.06323242
1765046983.644365,0,44432559.720703125
1765046983.644365,1,44432559.720703125
1765046984.6443715,0,44432671.372680664
1765046984.6443715,1,44432671.372680664
1765046985.644396,0,44432783.04040527
1765046985.644396,1,44432783.15124512
1765046986.6443963,0,44432894.697509766
1765046986.6443963,1,44432894.8125
1765046987.6443806,0,44433006.37536621
1765046987.6443806,1,44433006.476257324
1765046988.6443772,0,44433118.11047363
1765046988.6443772,1,44433118.11047363
1765046989.6444008,0,44433229.77062988
1765046989.6444008,1,44433229.77062988
1765046990.6443667,0,44433341.40911865
1765046990.6443667,1,44433341.40911865
1765046991.644379,0,44433453.04852295
1765046991.644379,1,44433453.16052246
1765046992.6443868,0,44433564.810058594
1765046992.6443868,1,44433564.810058594
1765046993.644397,0,44433676.466430664
1765046993.644397,1,44433676.466430664
1765046994.6444106,0,44433788.11981201
1765046994.6444106,1,44433788.23516846
1765046995.6444254,0,44433899.82513428
1765046995.6444254,1,44433899.90966797
1765046996.6443794,0,44434011.43548584
1765046996.6443794,1,44434011.552246094
1765046997.6444044,0,44434123.20233154
1765046997.6444044,1,44434123.20233154
1765046998.644404,0,44434234.76446533
1765046998.644404,1,44434234.89587402
1765046999.6443653,0,44434346.47375488
1765046999.6443653,1,44434346.587646484
1765047000.644368,0,44434458.179992676
1765047000.644368,1,44434458.179992676
