time,value
1765138503.216888,3.0
1765138503.2273831,3.0
1765138503.237972,3.0
1765138503.2483552,3.0
1765138503.2587075,3.0
1765138503.2691092,3.0
1765138503.279558,3.0
1765138503.2899594,3.0
1765138503.3003616,3.0
1765138503.3107107,3.0
1765138503.321396,3.0
1765138503.3319097,3.0
1765138503.3422735,3.0
1765138503.3526833,3.0
1765138503.3630555,3.0
1765138503.3734446,3.0
1765138503.383738,3.0
1765138503.3941817,3.0
1765138503.4045274,3.0
1765138503.414914,3.0
1765138503.4252167,3.0
1765138503.4355295,3.0
1765138503.4458847,3.0
1765138503.4562547,3.0
1765138503.466599,3.0
1765138503.4768858,3.0
1765138503.4873,3.0
1765138503.4976616,3.0
1765138503.5079966,3.0
1765138503.5183032,3.0
1765138503.5286016,3.0
1765138503.5389426,3.0
1765138503.5492685,3.0
1765138503.559636,3.0
1765138503.569948,3.0
1765138503.5803611,3.0
1765138503.5906847,3.0
1765138503.6009855,3.0
1765138503.6112895,3.0
1765138503.6218603,3.0
1765138503.6334426,3.0
1765138503.6438246,3.0
1765138503.6542752,3.0
1765138503.6647458,3.0
1765138503.67514,3.0
1765138503.6855977,3.0
1765138503.6959646,3.0
1765138503.7062795,3.0
1765138503.7165735,3.0
1765138503.7269542,3.0
1765138503.7373295,3.0
1765138503.7476153,3.0
1765138503.7579315,3.0
1765138503.7683456,3.0
1765138503.7787814,3.0
1765138503.7890959,3.0
1765138503.7994266,3.0
1765138503.8096976,3.0
1765138503.8200495,3.0
1765138503.8304644,3.0
1765138503.8407521,3.0
1765138503.8510833,3.0
1765138503.861439,3.0
1765138503.87175,3.0
1765138503.8821511,3.0
1765138503.8930354,3.0
1765138503.9033382,3.0
1765138503.913627,3.0
1765138503.924004,3.0
1765138503.9343624,3.0
1765138503.9447532,3.0
1765138503.9551167,3.0
1765138503.9654913,3.0
1765138503.9758897,3.0
1765138503.9863179,3.0
1765138503.996699,3.0
1765138504.0070713,3.0
1765138504.017496,3.0
1765138504.0278604,3.0
1765138504.0382311,3.0
1765138504.0486462,3.0
1765138504.0589938,3.0
1765138504.069375,3.0
1765138504.0797865,3.0
1765138504.0901566,3.0
1765138504.1005745,3.0
1765138504.1110198,3.0
1765138504.1214907,3.0
1765138504.1318743,3.0
1765138504.142311,3.0
1765138504.1527042,3.0
1765138504.1631072,3.0
1765138504.1789236,2.0
1765138504.1902528,1.0
1765138504.2006948,3.0
1765138504.211114,3.0
1765138504.2215645,3.0
1765138504.2319715,3.0
1765138504.2423985,3.0
1765138504.2528207,3.0
1765138504.2632687,3.0
1765138504.273658,3.0
1765138504.2840912,3.0
1765138504.294655,3.0
1765138504.3051238,3.0
1765138504.3155441,3.0
1765138504.3259618,3.0
1765138504.3364139,3.0
1765138504.3468337,3.0
1765138504.3573287,3.0
1765138504.3677394,3.0
1765138504.378163,3.0
1765138504.3886137,3.0
1765138504.399018,3.0
1765138504.4094822,3.0
1765138504.4199011,3.0
1765138504.430325,3.0
1765138504.4408236,3.0
1765138504.451244,3.0
1765138504.4616525,3.0
1765138504.4720619,3.0
1765138504.4825037,3.0
1765138504.4932084,3.0
1765138504.5036182,3.0
1765138504.5140562,3.0
1765138504.524519,3.0
1765138504.5349689,3.0
1765138504.5453978,3.0
1765138504.555798,3.0
1765138504.5663383,3.0
1765138504.5767741,3.0
1765138504.5871856,3.0
1765138504.5976737,3.0
1765138504.6080577,3.0
1765138504.6184998,3.0
1765138504.6290178,3.0
1765138504.6394992,3.0
1765138504.6503532,3.0
1765138504.6607444,3.0
1765138504.6711426,3.0
1765138504.681744,3.0
1765138504.6921973,3.0
1765138504.7026324,3.0
1765138504.7131715,3.0
1765138504.7237215,3.0
1765138504.734109,3.0
1765138504.7445436,3.0
1765138504.7550552,3.0
1765138504.7655969,3.0
1765138504.776027,3.0
1765138504.7864857,3.0
1765138504.7969048,3.0
1765138504.8073425,3.0
1765138504.8179097,3.0
1765138504.828334,3.0
1765138504.838743,3.0
1765138504.8491726,3.0
1765138504.8595927,3.0
1765138504.8701158,3.0
1765138504.8805063,3.0
1765138504.8908849,3.0
1765138504.9013686,3.0
1765138504.9117508,3.0
1765138504.9221327,3.0
1765138504.932646,3.0
1765138504.9430213,3.0
1765138504.9534788,3.0
1765138504.9638755,3.0
1765138504.9743123,3.0
1765138504.9847326,3.0
1765138504.9951181,3.0
1765138505.0056589,3.0
1765138505.0160632,3.0
1765138505.0265162,3.0
1765138505.0369062,3.0
1765138505.0473218,3.0
1765138505.0577688,3.0
1765138505.0682957,3.0
1765138505.0788312,3.0
1765138505.0892484,3.0
1765138505.0996604,3.0
1765138505.110091,3.0
