time,scope,value
1765039779.183461,nrm.extra.perf.PAPI_L3_TCA.626023,2293512334.0
1765039779.183461,nrm.extra.perf.PAPI_TOT_INS.626023,45905863694.0
1765039779.183461,nrm.extra.perf.PAPI_TOT_CYC.626023,268665446142.0
1765039779.183461,nrm.extra.perf.PAPI_RES_STL.626023,236250524897.0
1765039779.183461,nrm.extra.perf.PAPI_L3_TCM.626023,2137466065.0
1765039780.1836839,nrm.extra.perf.PAPI_L3_TCA.626023,4554933821.0
1765039780.1836839,nrm.extra.perf.PAPI_TOT_INS.626023,90996238262.0
1765039780.1836839,nrm.extra.perf.PAPI_TOT_CYC.626023,510334339378.0
1765039780.1836839,nrm.extra.perf.PAPI_RES_STL.626023,446218424526.0
1765039780.1836839,nrm.extra.perf.PAPI_L3_TCM.626023,4250619618.0
1765039781.1840153,nrm.extra.perf.PAPI_L3_TCA.626023,6809272409.0
1765039781.1840153,nrm.extra.perf.PAPI_TOT_INS.626023,136037191367.0
1765039781.1840153,nrm.extra.perf.PAPI_TOT_CYC.626023,751859242626.0
1765039781.1840153,nrm.extra.perf.PAPI_RES_STL.626023,655287535811.0
1765039781.1840153,nrm.extra.perf.PAPI_L3_TCM.626023,6351922440.0
1765039782.184768,nrm.extra.perf.PAPI_L3_TCA.626023,9066026181.0
1765039782.184768,nrm.extra.perf.PAPI_TOT_INS.626023,181135279616.0
1765039782.184768,nrm.extra.perf.PAPI_TOT_CYC.626023,993395475043.0
1765039782.184768,nrm.extra.perf.PAPI_RES_STL.626023,865109868006.0
1765039782.184768,nrm.extra.perf.PAPI_L3_TCM.626023,8461000554.0
1765039783.1808248,nrm.extra.perf.PAPI_L3_TCA.626023,11348751273.0
1765039783.1808248,nrm.extra.perf.PAPI_TOT_INS.626023,226447782314.0
1765039783.1808248,nrm.extra.perf.PAPI_TOT_CYC.626023,1236578232211.0
1765039783.1808248,nrm.extra.perf.PAPI_RES_STL.626023,1077782937702.0
1765039783.1808248,nrm.extra.perf.PAPI_L3_TCM.626023,10593959379.0
1765039784.1852257,nrm.extra.perf.PAPI_L3_TCA.626023,13663977607.0
1765039784.1852257,nrm.extra.perf.PAPI_TOT_INS.626023,272359622532.0
1765039784.1852257,nrm.extra.perf.PAPI_TOT_CYC.626023,1483128711155.0
1765039784.1852257,nrm.extra.perf.PAPI_RES_STL.626023,1293755491532.0
1765039784.1852257,nrm.extra.perf.PAPI_L3_TCM.626023,12754257330.0
1765039785.1797101,nrm.extra.perf.PAPI_L3_TCA.626023,15956788961.0
1765039785.1797101,nrm.extra.perf.PAPI_TOT_INS.626023,317829079511.0
1765039785.1797101,nrm.extra.perf.PAPI_TOT_CYC.626023,1727246339019.0
1765039785.1797101,nrm.extra.perf.PAPI_RES_STL.626023,1507710638743.0
1765039785.1797101,nrm.extra.perf.PAPI_L3_TCM.626023,14894748317.0
1765039786.1819787,nrm.extra.perf.PAPI_L3_TCA.626023,18258450427.0
1765039786.1819787,nrm.extra.perf.PAPI_TOT_INS.626023,363594177383.0
1765039786.1819787,nrm.extra.perf.PAPI_TOT_CYC.626023,1973120935704.0
1765039786.1819787,nrm.extra.perf.PAPI_RES_STL.626023,1722852538574.0
1765039786.1819787,nrm.extra.perf.PAPI_L3_TCM.626023,17047146944.0
1765039787.191259,nrm.extra.perf.PAPI_L3_TCA.626023,20522404897.0
1765039787.191259,nrm.extra.perf.PAPI_TOT_INS.626023,408873100724.0
1765039787.191259,nrm.extra.perf.PAPI_TOT_CYC.626023,2216946205239.0
1765039787.191259,nrm.extra.perf.PAPI_RES_STL.626023,1934429319554.0
1765039787.191259,nrm.extra.perf.PAPI_L3_TCM.626023,19175090467.0
1765039788.1863291,nrm.extra.perf.PAPI_L3_TCA.626023,22814239273.0
1765039788.1863291,nrm.extra.perf.PAPI_TOT_INS.626023,454420323213.0
1765039788.1863291,nrm.extra.perf.PAPI_TOT_CYC.626023,2461646658600.0
1765039788.1863291,nrm.extra.perf.PAPI_RES_STL.626023,2148427335174.0
1765039788.1863291,nrm.extra.perf.PAPI_L3_TCM.626023,21304758025.0
1765039789.1818826,nrm.extra.perf.PAPI_L3_TCA.626023,25080891223.0
1765039789.1818826,nrm.extra.perf.PAPI_TOT_INS.626023,499586365542.0
1765039789.1818826,nrm.extra.perf.PAPI_TOT_CYC.626023,2704357929788.0
1765039789.1818826,nrm.extra.perf.PAPI_RES_STL.626023,2359379910759.0
1765039789.1818826,nrm.extra.perf.PAPI_L3_TCM.626023,23417806709.0
1765039790.1848962,nrm.extra.perf.PAPI_L3_TCA.626023,27351320372.0
1765039790.1848962,nrm.extra.perf.PAPI_TOT_INS.626023,544919647317.0
