time,actuator,value
1765084975.6514342,Actuator(ptr=c_void_p(234370272)),130.0
1765084985.703787,Actuator(ptr=c_void_p(234370272)),130.0
1765084995.759201,Actuator(ptr=c_void_p(234370272)),130.0
1765085005.8109415,Actuator(ptr=c_void_p(234370272)),130.0
1765085015.8607137,Actuator(ptr=c_void_p(234370272)),130.0
1765085025.905079,Actuator(ptr=c_void_p(234370272)),130.0
1765085035.9490225,Actuator(ptr=c_void_p(234370272)),130.0
1765085045.9916384,Actuator(ptr=c_void_p(234370272)),130.0
1765085056.0450683,Actuator(ptr=c_void_p(234370272)),130.0
1765085066.0922515,Actuator(ptr=c_void_p(234370272)),130.0
1765085076.1400974,Actuator(ptr=c_void_p(234370272)),130.0
1765085086.1835954,Actuator(ptr=c_void_p(234370272)),130.0
1765085096.2255476,Actuator(ptr=c_void_p(234370272)),130.0
1765085106.274232,Actuator(ptr=c_void_p(234370272)),130.0
1765085116.3143854,Actuator(ptr=c_void_p(234370272)),130.0
1765085126.3586547,Actuator(ptr=c_void_p(234370272)),130.0
1765085136.3997686,Actuator(ptr=c_void_p(234370272)),130.0
1765085146.4413066,Actuator(ptr=c_void_p(234370272)),130.0
