time,scope,value
1765012180.9174669,nrm.extra.perf.PAPI_L3_TCA.588804,2174902378.0
1765012180.9174669,nrm.extra.perf.PAPI_TOT_INS.588804,54341775412.0
1765012180.9174669,nrm.extra.perf.PAPI_TOT_CYC.588804,252146682209.0
1765012180.9174669,nrm.extra.perf.PAPI_RES_STL.588804,215572652916.0
1765012180.9174669,nrm.extra.perf.PAPI_L3_TCM.588804,1930460712.0
1765012181.9198492,nrm.extra.perf.PAPI_L3_TCA.588804,4299941426.0
1765012181.9198492,nrm.extra.perf.PAPI_TOT_INS.588804,107234840478.0
1765012181.9198492,nrm.extra.perf.PAPI_TOT_CYC.588804,475662344123.0
1765012181.9198492,nrm.extra.perf.PAPI_RES_STL.588804,404858603793.0
1765012181.9198492,nrm.extra.perf.PAPI_L3_TCM.588804,3822614161.0
1765012182.9192157,nrm.extra.perf.PAPI_L3_TCA.588804,6394611983.0
1765012182.9192157,nrm.extra.perf.PAPI_TOT_INS.588804,159498471166.0
1765012182.9192157,nrm.extra.perf.PAPI_TOT_CYC.588804,698344936011.0
1765012182.9192157,nrm.extra.perf.PAPI_RES_STL.588804,592627753045.0
1765012182.9192157,nrm.extra.perf.PAPI_L3_TCM.588804,5684889397.0
1765012183.9156914,nrm.extra.perf.PAPI_L3_TCA.588804,8503362540.0
1765012183.9156914,nrm.extra.perf.PAPI_TOT_INS.588804,212277449614.0
1765012183.9156914,nrm.extra.perf.PAPI_TOT_CYC.588804,923787393312.0
1765012183.9156914,nrm.extra.perf.PAPI_RES_STL.588804,781296648678.0
1765012183.9156914,nrm.extra.perf.PAPI_L3_TCM.588804,7554832159.0
1765012184.9150932,nrm.extra.perf.PAPI_L3_TCA.588804,10625362549.0
1765012184.9150932,nrm.extra.perf.PAPI_TOT_INS.588804,265239484049.0
1765012184.9150932,nrm.extra.perf.PAPI_TOT_CYC.588804,1149855204923.0
1765012184.9150932,nrm.extra.perf.PAPI_RES_STL.588804,971619115947.0
1765012184.9150932,nrm.extra.perf.PAPI_L3_TCM.588804,9439586069.0
1765012185.916924,nrm.extra.perf.PAPI_L3_TCA.588804,12758348533.0
1765012185.916924,nrm.extra.perf.PAPI_TOT_INS.588804,318348934062.0
1765012185.916924,nrm.extra.perf.PAPI_TOT_CYC.588804,1375891996473.0
1765012185.916924,nrm.extra.perf.PAPI_RES_STL.588804,1163250012529.0
1765012185.916924,nrm.extra.perf.PAPI_L3_TCM.588804,11339377808.0
1765012186.9200294,nrm.extra.perf.PAPI_L3_TCA.588804,14903994397.0
1765012186.9200294,nrm.extra.perf.PAPI_TOT_INS.588804,371630957032.0
1765012186.9200294,nrm.extra.perf.PAPI_TOT_CYC.588804,1602034745159.0
1765012186.9200294,nrm.extra.perf.PAPI_RES_STL.588804,1355489252781.0
1765012186.9200294,nrm.extra.perf.PAPI_L3_TCM.588804,13246936237.0
1765012187.9164493,nrm.extra.perf.PAPI_L3_TCA.588804,17001420008.0
1765012187.9164493,nrm.extra.perf.PAPI_TOT_INS.588804,424091105356.0
1765012187.9164493,nrm.extra.perf.PAPI_TOT_CYC.588804,1824474606254.0
1765012187.9164493,nrm.extra.perf.PAPI_RES_STL.588804,1541804263835.0
1765012187.9164493,nrm.extra.perf.PAPI_L3_TCM.588804,15109831161.0
1765012188.9213338,nrm.extra.perf.PAPI_L3_TCA.588804,19136452652.0
1765012188.9213338,nrm.extra.perf.PAPI_TOT_INS.588804,477414061906.0
1765012188.9213338,nrm.extra.perf.PAPI_TOT_CYC.588804,2050690816025.0
1765012188.9213338,nrm.extra.perf.PAPI_RES_STL.588804,1732138816270.0
1765012188.9213338,nrm.extra.perf.PAPI_L3_TCM.588804,17009670374.0
1765012189.9144366,nrm.extra.perf.PAPI_L3_TCA.588804,20834676013.0
1765012189.9144366,nrm.extra.perf.PAPI_TOT_INS.588804,526355188317.0
1765012189.9144366,nrm.extra.perf.PAPI_TOT_CYC.588804,2279485998810.0
1765012189.9144366,nrm.extra.perf.PAPI_RES_STL.588804,1884165056681.0
1765012189.9144366,nrm.extra.perf.PAPI_L3_TCM.588804,18513243049.0
1765012190.916754,nrm.extra.perf.PAPI_L3_TCA.588804,22934303268.0
1765012190.916754,nrm.extra.perf.PAPI_TOT_INS.588804,579417329661.0
1765012190.916754,nrm.extra.perf.PAPI_TOT_CYC.588804,2506554034089.0
1765012190.916754,nrm.extra.perf.PAPI_RES_STL.588804,2071646380960.0
1765012190.916754,nrm.extra.perf.PAPI_L3_TCM.588804,20383661366.0
1765012191.9171813,nrm.extra.perf.PAPI_L3_TCA.588804,25095959956.0
1765012191.9171813,nrm.extra.perf.PAPI_TOT_INS.588804,632945751330.0
1765012191.9171813,nrm.extra.perf.PAPI_TOT_CYC.588804,2732183844562.0
1765012191.9171813,nrm.extra.perf.PAPI_RES_STL.588804,2264188387052.0
1765012191.9171813,nrm.extra.perf.PAPI_L3_TCM.588804,22306382933.0
1765012192.9165368,nrm.extra.perf.PAPI_L3_TCA.588804,27277969033.0
1765012192.9165368,nrm.extra.perf.PAPI_TOT_INS.588804,686665428804.0
1765012192.9165368,nrm.extra.perf.PAPI_TOT_CYC.588804,2957073628045.0
1765012192.9165368,nrm.extra.perf.PAPI_RES_STL.588804,2457779467911.0
1765012192.9165368,nrm.extra.perf.PAPI_L3_TCM.588804,24244264318.0
1765012193.9146469,nrm.extra.perf.PAPI_L3_TCA.588804,29461970742.0
1765012193.9146469,nrm.extra.perf.PAPI_TOT_INS.588804,740325956101.0
1765012193.9146469,nrm.extra.perf.PAPI_TOT_CYC.588804,3181536499101.0
1765012193.9146469,nrm.extra.perf.PAPI_RES_STL.588804,2651335412502.0
1765012193.9146469,nrm.extra.perf.PAPI_L3_TCM.588804,26181893044.0
1765012194.9223444,nrm.extra.perf.PAPI_L3_TCA.588804,31650880154.0
1765012194.9223444,nrm.extra.perf.PAPI_TOT_INS.588804,794157418973.0
1765012194.9223444,nrm.extra.perf.PAPI_TOT_CYC.588804,3406934412785.0
1765012194.9223444,nrm.extra.perf.PAPI_RES_STL.588804,2846366574180.0
1765012194.9223444,nrm.extra.perf.PAPI_L3_TCM.588804,28134052346.0
1765012195.9210863,nrm.extra.perf.PAPI_L3_TCA.588804,33840944352.0
1765012195.9210863,nrm.extra.perf.PAPI_TOT_INS.588804,848184023439.0
1765012195.9210863,nrm.extra.perf.PAPI_TOT_CYC.588804,3632784260346.0
