time,scope,value
1765066397.6443782,0,46632582.235961914
1765066397.6443782,1,46632582.86834717
1765066398.6443717,0,46632715.367126465
1765066398.6443717,1,46632715.50463867
1765066399.6443875,0,46632833.070373535
1765066399.6443875,1,46632833.070373535
1765066400.6444128,0,46632950.77471924
1765066400.6444128,1,46632950.77471924
1765066401.6443725,0,46633068.38922119
1765066401.6443725,1,46633068.51184082
1765066402.6443799,0,46633186.08886719
1765066402.6443799,1,46633186.08886719
1765066403.6444142,0,46633303.79626465
1765066403.6444142,1,46633303.79626465
1765066404.6443787,0,46633421.35858154
1765066404.6443787,1,46633421.4777832
1765066405.6443534,0,46633539.05200195
1765066405.6443534,1,46633539.05200195
1765066406.6444402,0,46633656.70758057
1765066406.6444402,1,46633656.834106445
1765066407.6444137,0,46633774.37927246
1765066407.6444137,1,46633774.37927246
1765066408.6443403,0,46633892.043151855
1765066408.6443403,1,46633892.043151855
1765066409.6443872,0,46634009.75286865
1765066409.6443872,1,46634009.75286865
1765066410.644387,0,46634127.330200195
1765066410.644387,1,46634127.460632324
1765066411.6444263,0,46634245.04016113
1765066411.6444263,1,46634245.04016113
1765066412.6443744,0,46634362.72387695
1765066412.6443744,1,46634362.72387695
1765066413.6443555,0,46634480.31463623
1765066413.6443555,1,46634480.42633057
1765066414.644408,0,46634598.00616455
1765066414.644408,1,46634598.220703125
1765066415.6443691,0,46634715.72143555
1765066415.6443691,1,46634715.72143555
1765066416.6443517,0,46634833.377441406
1765066416.6443517,1,46634833.377441406
1765066417.6443703,0,46634950.94958496
1765066417.6443703,1,46634951.064331055
1765066418.6444201,0,46635068.620666504
1765066418.6444201,1,46635068.74835205
1765066419.6443846,0,46635186.32006836
1765066419.6443846,1,46635186.32006836
1765066420.6443799,0,46635304.00323486
1765066420.6443799,1,46635304.00323486
1765066421.6443863,0,46635421.605651855
1765066421.6443863,1,46635421.722961426
1765066422.6443703,0,46635539.335754395
1765066422.6443703,1,46635539.335754395
1765066423.64437,0,46635656.7956543
1765066423.64437,1,46635657.0357666
1765066424.6443584,0,46635774.614868164
1765066424.6443584,1,46635774.716430664
1765066425.644371,0,46635892.2623291
1765066425.644371,1,46635892.2623291
1765066426.6443725,0,46636009.95440674
1765066426.6443725,1,46636009.95440674
1765066427.6443765,0,46636127.668151855
1765066427.6443765,1,46636127.668151855
1765066428.644371,0,46636245.31359863
1765066428.644371,1,46636245.31359863
1765066429.6443794,0,46636362.86810303
1765066429.6443794,1,46636362.993896484
1765066430.6443658,0,46636480.65838623
1765066430.6443658,1,46636480.65838623
1765066431.644389,0,46636598.30706787
1765066431.644389,1,46636598.30706787
1765066432.6443784,0,46636715.971191406
1765066432.6443784,1,46636715.971191406
1765066433.6444256,0,46636833.62158203
1765066433.6444256,1,46636833.62158203
1765066434.6443794,0,46636951.29772949
1765066434.6443794,1,46636951.29772949
