time,value
1765074194.45475,2.0
1765074194.4693537,3.0
1765074194.4838316,3.0
1765074194.4983764,3.0
1765074194.5127861,3.0
1765074194.5271811,3.0
1765074194.5415971,3.0
1765074194.5561602,3.0
1765074194.5705836,3.0
1765074194.5850284,3.0
1765074194.5994148,3.0
1765074194.613795,3.0
1765074194.6282911,3.0
1765074194.6426535,3.0
1765074194.65707,3.0
1765074194.671453,3.0
1765074194.686118,3.0
1765074194.7004716,3.0
1765074194.7149782,3.0
1765074194.7294977,3.0
1765074194.7439814,3.0
1765074194.7584865,3.0
1765074194.7729628,3.0
1765074194.787456,3.0
1765074194.8019505,3.0
1765074194.8164485,3.0
1765074194.830935,3.0
1765074194.8454537,3.0
1765074194.8601038,3.0
1765074194.8707407,2.0
1765074194.8852477,3.0
1765074194.8996117,3.0
1765074194.914109,3.0
1765074194.928615,3.0
1765074194.943133,3.0
1765074194.9576252,3.0
1765074194.9721432,3.0
1765074194.9866486,3.0
1765074195.0011663,3.0
1765074195.0156746,3.0
1765074195.0301783,3.0
1765074195.0446858,3.0
1765074195.0591843,3.0
1765074195.0736804,3.0
1765074195.0881789,3.0
1765074195.1026835,3.0
1765074195.1173253,3.0
1765074195.1318402,3.0
1765074195.1463401,3.0
1765074195.16084,3.0
1765074195.1753256,3.0
1765074195.189815,3.0
1765074195.2043252,3.0
1765074195.2188814,3.0
1765074195.233395,3.0
1765074195.2478995,3.0
1765074195.2624092,3.0
1765074195.2768993,3.0
1765074195.2914085,3.0
1765074195.3058856,3.0
1765074195.3203857,3.0
1765074195.3349135,3.0
1765074195.3494074,3.0
1765074195.364086,3.0
1765074195.3742375,2.0
1765074195.3843908,2.0
1765074195.3955321,2.0
1765074195.408625,1.0
1765074195.4192753,1.0
1765074195.4292934,2.0
1765074195.4394503,2.0
1765074195.4496274,2.0
1765074195.4598136,2.0
1765074195.4700174,2.0
1765074195.480222,2.0
1765074195.490719,2.0
1765074195.5008335,2.0
1765074195.5109875,2.0
1765074195.5212295,2.0
1765074195.5315268,2.0
1765074195.5416992,2.0
1765074195.5518472,2.0
1765074195.562094,2.0
1765074195.5723722,2.0
1765074195.582501,2.0
1765074195.5926628,2.0
1765074195.6028116,2.0
1765074195.6129797,2.0
1765074195.6231806,2.0
1765074195.6333597,2.0
1765074195.643601,2.0
1765074195.6539397,2.0
1765074195.6641052,2.0
1765074195.6743011,2.0
1765074195.6844654,2.0
1765074195.6946316,2.0
1765074195.7048023,2.0
1765074195.714978,2.0
1765074195.7252767,2.0
1765074195.735442,2.0
1765074195.745696,2.0
1765074195.7558677,2.0
1765074195.7660203,2.0
1765074195.7761712,2.0
1765074195.7864554,2.0
1765074195.7966275,2.0
1765074195.8067746,2.0
1765074195.8169165,2.0
1765074195.8270953,2.0
1765074195.8372688,2.0
1765074195.8474221,2.0
1765074195.8576946,2.0
1765074195.867869,2.0
1765074195.8780391,2.0
1765074195.8882086,2.0
1765074195.8985147,2.0
1765074195.908668,2.0
1765074195.9188268,2.0
1765074195.928986,2.0
1765074195.939164,2.0
1765074195.9493215,2.0
1765074195.959483,2.0
1765074195.9696574,2.0
1765074195.979811,2.0
1765074195.9899764,2.0
1765074196.0001585,2.0
1765074196.0103931,2.0
1765074196.0205662,2.0
1765074196.0306926,2.0
1765074196.040852,2.0
1765074196.0510917,2.0
1765074196.0614042,2.0
1765074196.0715988,2.0
1765074196.0817804,2.0
1765074196.091983,2.0
1765074196.1021771,2.0
1765074196.1124046,2.0
1765074196.1228962,2.0
1765074196.1332295,2.0
1765074196.1435466,2.0
1765074196.1538544,2.0
1765074196.1641982,2.0
1765074196.1745257,2.0
1765074196.1848743,2.0
1765074196.195218,2.0
1765074196.2055821,2.0
1765074196.2159102,2.0
1765074196.226214,2.0
1765074196.2365592,2.0
1765074196.2468507,2.0
1765074196.2573068,2.0
1765074196.2676034,2.0
1765074196.2779267,2.0
1765074196.2882998,2.0
1765074196.2986126,2.0
1765074196.309073,2.0
1765074196.3194146,2.0
1765074196.3297186,2.0
1765074196.3400488,2.0
1765074196.3503911,2.0
1765074196.3606915,2.0
1765074196.3710663,2.0
1765074196.3813941,2.0
1765074196.3916342,2.0
1765074196.41189,2.0
1765074196.423839,1.0
1765074196.4387705,3.0
1765074196.4489424,2.0
1765074196.4590898,2.0
1765074196.469242,2.0
1765074196.4794238,2.0
1765074196.4899702,2.0
1765074196.5001156,2.0
1765074196.5104284,2.0
1765074196.520655,2.0
1765074196.5308151,2.0
1765074196.5410159,2.0
1765074196.5511835,2.0
1765074196.561407,2.0
1765074196.5716057,2.0
1765074196.5818238,2.0
1765074196.5919862,2.0
1765074196.6021655,2.0
1765074196.612356,2.0
1765074196.622545,2.0
1765074196.6327333,2.0
1765074196.64292,2.0
1765074196.653299,2.0
1765074196.6634617,2.0
1765074196.6736174,2.0
1765074196.684185,2.0
1765074196.6943088,2.0
1765074196.7044957,2.0
1765074196.7146397,2.0
1765074196.7251549,2.0
1765074196.7353005,2.0
1765074196.7455764,2.0
1765074196.7557752,2.0
1765074196.7660115,2.0
1765074196.7762337,2.0
1765074196.786496,2.0
1765074196.8082695,2.0
1765074196.8282704,2.0
1765074196.8472946,2.0
1765074196.857304,1.0
1765074196.8721254,1.0
1765074196.8823366,2.0
1765074196.8928158,2.0
1765074196.9033146,2.0
1765074196.913884,2.0
1765074196.9243462,2.0
1765074196.934842,2.0
1765074196.945312,2.0
1765074196.9558127,2.0
1765074196.9663985,2.0
1765074196.976858,2.0
1765074196.9874835,2.0
1765074196.9979386,2.0
1765074197.008407,2.0
1765074197.0188987,2.0
1765074197.0294003,2.0
1765074197.0400057,2.0
1765074197.0505066,2.0
1765074197.061047,2.0
1765074197.0715377,2.0
1765074197.0820394,2.0
1765074197.0925179,2.0
1765074197.1029394,2.0
1765074197.1134162,2.0
1765074197.1238914,2.0
1765074197.1343682,2.0
1765074197.1448417,2.0
1765074197.1553636,2.0
1765074197.1659694,2.0
1765074197.1764276,2.0
1765074197.1868982,2.0
1765074197.1973996,2.0
1765074197.2080393,2.0
1765074197.218524,2.0
1765074197.2289932,2.0
1765074197.2395387,2.0
1765074197.2499974,2.0
1765074197.2606182,2.0
1765074197.2710938,2.0
1765074197.2817316,2.0
1765074197.2922065,2.0
1765074197.302687,2.0
1765074197.313188,2.0
1765074197.3236637,2.0
1765074197.3343012,2.0
1765074197.344756,2.0
1765074197.3552825,2.0
1765074197.3657827,2.0
1765074197.3764057,2.0
1765074197.3868766,2.0
1765074197.3985407,2.0
1765074197.4186687,2.0
1765074197.4316158,1.0
1765074197.4418533,2.0
1765074197.4522908,2.0
1765074197.4627116,2.0
1765074197.4732738,2.0
1765074197.4836774,2.0
1765074197.4944155,2.0
1765074197.5047276,2.0
1765074197.515157,2.0
1765074197.5256486,2.0
1765074197.536049,2.0
1765074197.546643,2.0
1765074197.5570452,2.0
1765074197.5674653,2.0
1765074197.577856,2.0
1765074197.5882502,2.0
1765074197.5987082,2.0
1765074197.6091259,2.0
1765074197.6196558,2.0
1765074197.630058,2.0
