time,scope,value
1765038501.6444268,0,43532582.64038086
1765038501.6444268,1,43532582.64038086
1765038502.6443179,0,43532700.67126465
1765038502.6443179,1,43532700.67126465
1765038503.644376,0,43532807.367248535
1765038503.644376,1,43532807.367248535
1765038504.6443696,0,43532914.01092529
1765038504.6443696,1,43532914.14038086
1765038505.6443744,0,43533020.70843506
1765038505.6443744,1,43533020.81585693
1765038506.644377,0,43533127.39300537
1765038506.644377,1,43533127.499816895
1765038507.6443918,0,43533234.17022705
1765038507.6443918,1,43533234.17022705
1765038508.6443312,0,43533340.7845459
1765038508.6443312,1,43533340.7845459
1765038509.6443486,0,43533447.45996094
1765038509.6443486,1,43533447.57220459
1765038510.6443028,0,43533554.20184326
1765038510.6443028,1,43533554.20184326
1765038511.6443696,0,43533660.89428711
1765038511.6443696,1,43533660.89428711
1765038512.6443763,0,43533767.595458984
1765038512.6443763,1,43533767.595458984
1765038513.6443548,0,43533874.27380371
1765038513.6443548,1,43533874.27380371
1765038514.644368,0,43533980.97595215
1765038514.644368,1,43533980.97595215
1765038515.644346,0,43534087.673706055
1765038515.644346,1,43534087.673706055
1765038516.6443634,0,43534194.30786133
1765038516.6443634,1,43534194.410217285
1765038517.64437,0,43534300.99194336
1765038517.64437,1,43534301.101989746
1765038518.644364,0,43534407.70941162
1765038518.644364,1,43534407.81134033
1765038519.6444283,0,43534514.4251709
1765038519.6444283,1,43534514.52697754
1765038520.644378,0,43534621.073791504
1765038520.644378,1,43534621.21118164
1765038521.6444128,0,43534727.75268555
1765038521.6444128,1,43534727.75268555
1765038522.6444063,0,43534834.55773926
1765038522.6444063,1,43534834.55773926
1765038523.6444027,0,43534941.1942749
1765038523.6444027,1,43534941.30603027
1765038524.6444001,0,43535047.84613037
1765038524.6444001,1,43535047.959228516
1765038525.6443708,0,43535154.52142334
1765038525.6443708,1,43535154.63623047
1765038526.6444054,0,43535261.30670166
1765038526.6444054,1,43535261.30670166
1765038527.6443489,0,43535367.963378906
1765038527.6443489,1,43535368.078125
1765038528.644396,0,43535474.63067627
1765038528.644396,1,43535474.63067627
1765038529.644325,0,43535581.306640625
1765038529.644325,1,43535581.306640625
1765038530.6443644,0,43535687.95941162
1765038530.6443644,1,43535688.06829834
1765038531.6443634,0,43535794.70825195
1765038531.6443634,1,43535794.70825195
1765038532.6443853,0,43535901.43060303
1765038532.6443853,1,43535901.43060303
1765038533.6443715,0,43536008.07928467
1765038533.6443715,1,43536008.07928467
1765038534.6443536,0,43536114.76361084
1765038534.6443536,1,43536114.76361084
1765038535.6443605,0,43536221.426086426
1765038535.6443605,1,43536221.53405762
1765038536.6442914,0,43536328.12487793
1765038536.6442914,1,43536328.12487793
1765038537.6443644,0,43536434.81958008
1765038537.6443644,1,43536434.92669678
1765038538.6442957,0,43536541.49182129
1765038538.6442957,1,43536541.60266113
1765038539.644366,0,43536648.26660156
1765038539.644366,1,43536648.26660156
1765038540.6443727,0,43536754.90307617
1765038540.6443727,1,43536755.015441895
1765038541.6443799,0,43536861.68218994
1765038541.6443799,1,43536861.68218994
1765038542.6443644,0,43536968.363342285
1765038542.6443644,1,43536968.363342285
1765038543.6444116,0,43537075.03125
1765038543.6444116,1,43537075.03125
1765038544.6443846,0,43537181.73626709
1765038544.6443846,1,43537181.73626709
1765038545.6443799,0,43537288.415771484
1765038545.6443799,1,43537288.415771484
1765038546.644368,0,43537395.0826416
1765038546.644368,1,43537395.0826416
1765038547.6443672,0,43537501.769714355
1765038547.6443672,1,43537501.769714355
1765038548.6443686,0,43537608.46118164
1765038548.6443686,1,43537608.46118164
1765038549.644364,0,43537715.15789795
1765038549.644364,1,43537715.265319824
1765038550.6443818,0,43537821.85858154
1765038550.6443818,1,43537821.85858154
1765038551.6443796,0,43537928.58746338
1765038551.6443796,1,43537928.58746338
1765038552.64439,0,43538035.24835205
1765038552.64439,1,43538035.24835205
1765038553.6444292,0,43538141.97991943
1765038553.6444292,1,43538141.97991943
1765038554.6443756,0,43538248.6003418
1765038554.6443756,1,43538248.6003418
1765038555.6444077,0,43538355.312072754
1765038555.6444077,1,43538355.39898682
1765038556.644359,0,43538462.001464844
1765038556.644359,1,43538462.08337402
1765038557.6443977,0,43538568.67633057
