time,scope,value
1761885543.5993514,0,4993143.374084473
1761885543.5993514,1,4993143.374084473
1761885544.5985572,0,4993245.677246094
1761885544.5985572,1,4993245.677246094
1761885545.5989063,0,4993389.532775879
1761885545.5989063,1,4993389.532775879
1761885546.5986192,0,4993512.9451293945
1761885546.5986192,1,4993513.105163574
1761885547.5986166,0,4993636.805419922
1761885547.5986166,1,4993637.034545898
1761885548.598591,0,4993760.563720703
1761885548.598591,1,4993761.059143066
1761885549.5985656,0,4993884.017028809
1761885549.5985656,1,4993884.017028809
1761885550.5985694,0,4994007.611450195
1761885550.5985694,1,4994007.611450195
1761885551.598581,0,4994131.348144531
1761885551.598581,1,4994131.348144531
1761885552.5993235,0,4994255.063720703
1761885552.5993235,1,4994255.063720703
1761885553.5986025,0,4994378.405151367
1761885553.5986025,1,4994378.405151367
1761885554.5986571,0,4994502.215515137
1761885554.5986571,1,4994502.339111328
1761885555.598572,0,4994625.740783691
1761885555.598572,1,4994625.740783691
1761885556.5985835,0,4994749.576293945
1761885556.5985835,1,4994749.696044922
1761885557.598575,0,4994873.246582031
1761885557.598575,1,4994873.246582031
1761885558.5985885,0,4994996.969970703
1761885558.5985885,1,4994996.969970703
1761885559.5985565,0,4995120.2365112305
1761885559.5985565,1,4995120.2365112305
1761885560.5985656,0,4995244.135009766
1761885560.5985656,1,4995244.135009766
1761885561.5985842,0,4995367.701721191
1761885561.5985842,1,4995367.701721191
1761885562.5985727,0,4995491.561279297
1761885562.5985727,1,4995491.561279297
1761885563.5985763,0,4995615.213806152
1761885563.5985763,1,4995615.213806152
1761885564.5985768,0,4995738.774230957
1761885564.5985768,1,4995738.774230957
1761885565.5985749,0,4995862.49230957
1761885565.5985749,1,4995862.49230957
1761885566.5985756,0,4995986.080627441
1761885566.5985756,1,4995986.080627441
1761885567.5992095,0,4996109.490356445
1761885567.5992095,1,4996109.490356445
1761885568.598599,0,4996232.818237305
1761885568.598599,1,4996232.942626953
1761885569.5985825,0,4996356.951721191
1761885569.5985825,1,4996356.951721191
1761885570.598567,0,4996480.670532227
1761885570.598567,1,4996480.670532227
1761885571.5985708,0,4996604.012023926
1761885571.5985708,1,4996604.012023926
1761885572.599288,0,4996727.910949707
1761885572.599288,1,4996728.0283203125
1761885573.5988348,0,4996851.613220215
1761885573.5988348,1,4996851.613220215
1761885574.5985918,0,4996975.180908203
1761885574.5985918,1,4996975.180908203
1761885575.59902,0,4997098.682373047
1761885575.59902,1,4997098.776977539
1761885576.598641,0,4997222.429748535
1761885576.598641,1,4997222.429748535
1761885577.598579,0,4997346.003051758
1761885577.598579,1,4997346.425354004
1761885578.598566,0,4997469.620361328
1761885578.598566,1,4997469.620361328
1761885579.598586,0,4997593.335449219
1761885579.598586,1,4997593.335449219
1761885580.5985603,0,4997716.713745117
1761885580.5985603,1,4997716.713745117
1761885581.598573,0,4997840.407470703
1761885581.598573,1,4997840.845031738
1761885582.5985732,0,4997964.250305176
1761885582.5985732,1,4997964.559020996
1761885583.5985696,0,4998087.895935059
1761885583.5985696,1,4998088.110534668
1761885584.5985692,0,4998211.5517578125
1761885584.5985692,1,4998211.695800781
1761885585.5995016,0,4998335.389465332
1761885585.5995016,1,4998335.389465332
1761885586.5985744,0,4998458.913269043
1761885586.5985744,1,4998459.038696289
1761885587.5985684,0,4998582.548278809
1761885587.5985684,1,4998582.548278809
1761885588.598573,0,4998706.0939331055
1761885588.598573,1,4998706.0939331055
1761885589.5985749,0,4998829.758605957
1761885589.5985749,1,4998829.758605957
1761885590.5993693,0,4998953.484924316
1761885590.5993693,1,4998953.484924316
1761885591.5985718,0,4999077.223388672
1761885591.5985718,1,4999077.223388672
1761885592.5985787,0,4999200.880004883
1761885592.5985787,1,4999200.880004883
1761885593.5986135,0,4999324.298583984
1761885593.5986135,1,4999324.298583984
1761885594.5985727,0,4999448.182128906
1761885594.5985727,1,4999448.182128906
1761885595.59861,0,4999571.633850098
1761885595.59861,1,4999571.633850098
1761885596.5985808,0,4999695.358642578
1761885596.5985808,1,4999695.358642578
1761885597.5985634,0,4999819.034729004
1761885597.5985634,1,4999819.034729004
1761885598.5985756,0,4999942.7255859375
1761885598.5985756,1,4999942.7255859375
1761885599.5985787,0,5000066.320251465
1761885599.5985787,1,5000066.320251465
1761885600.5985816,0,5000189.922485352
1761885600.5985816,1,5000190.041015625
1761885601.5985708,0,5000313.564758301
1761885601.5985708,1,5000313.710021973
1761885602.5986903,0,5000437.1521606445
1761885602.5986903,1,5000437.296630859
1761885603.5986052,0,5000560.688659668
1761885603.5986052,1,5000560.841247559
1761885604.5985742,0,5000684.464294434
1761885604.5985742,1,5000684.464294434
1761885605.5986168,0,5000808.044433594
1761885605.5986168,1,5000808.284301758
1761885606.5985663,0,5000931.793334961
1761885606.5985663,1,5000931.932373047
1761885607.5987,0,5001055.330749512
1761885607.5987,1,5001055.330749512
1761885608.598674,0,5001178.891174316
1761885608.598674,1,5001179.01373291
1761885609.5985656,0,5001302.7306518555
1761885609.5985656,1,5001302.7306518555
1761885610.5985653,0,5001426.368774414
1761885610.5985653,1,5001426.368774414
1761885611.598569,0,5001549.9744262695
1761885611.598569,1,5001549.9744262695
1761885612.5986063,0,5001673.604919434
1761885612.5986063,1,5001673.604919434
1761885613.5985684,0,5001797.236328125
1761885613.5985684,1,5001797.236328125
1761885614.5985558,0,5001920.751159668
1761885614.5985558,1,5001920.751159668
1761885615.5986032,0,5002044.587158203
1761885615.5986032,1,5002044.587158203
1761885616.5995612,0,5002168.339050293
1761885616.5995612,1,5002168.339050293
1761885617.5985785,0,5002291.712768555
1761885617.5985785,1,5002291.808044434
1761885618.5985627,0,5002415.347717285
1761885618.5985627,1,5002415.561767578
1761885619.5985768,0,5002539.111999512
1761885619.5985768,1,5002539.111999512
1761885620.5985837,0,5002662.746887207
1761885620.5985837,1,5002662.746887207
1761885621.5985787,0,5002786.502075195
1761885621.5985787,1,5002786.502075195
1761885622.598582,0,5002909.84564209
1761885622.598582,1,5002909.84564209
1761885623.5985837,0,5003033.704345703
1761885623.5985837,1,5003033.827392578
1761885624.5986054,0,5003157.371887207
1761885624.5986054,1,5003157.371887207
1761885625.5986505,0,5003280.877807617
1761885625.5986505,1,5003281.432250977
1761885626.5995271,0,5003404.717102051
1761885626.5995271,1,5003404.717102051
1761885627.5985274,0,5003528.285888672
1761885627.5985274,1,5003528.285888672
1761885628.598568,0,5003651.817260742
1761885628.598568,1,5003651.817260742
1761885629.5988646,0,5003775.598754883
1761885629.5988646,1,5003775.598754883
1761885630.598591,0,5003899.224304199
1761885630.598591,1,5003899.224304199
1761885631.5986857,0,5004022.699462891
1761885631.5986857,1,5004022.699462891
1761885632.5989423,0,5004146.412414551
1761885632.5989423,1,5004146.412414551
1761885633.5985653,0,5004270.106628418
1761885633.5985653,1,5004270.106628418
1761885634.5986865,0,5004393.601318359
1761885634.5986865,1,5004393.742980957
1761885635.5985813,0,5004517.386962891
1761885635.5985813,1,5004517.386962891
1761885636.5995684,0,5004641.074951172
1761885636.5995684,1,5004641.074951172
1761885637.6006312,0,5004764.982177734
1761885637.6006312,1,5004764.982177734
1761885638.5987577,0,5004888.161621094
1761885638.5987577,1,5004888.161621094
1761885639.5985787,0,5005012.002319336
1761885639.5985787,1,5005012.002319336
1761885640.5985823,0,5005135.645629883
1761885640.5985823,1,5005135.776428223
1761885641.5985785,0,5005259.170166016
1761885641.5985785,1,5005259.170166016
1761885642.5985553,0,5005382.664733887
1761885642.5985553,1,5005382.664733887
1761885643.5987608,0,5005506.582824707
1761885643.5987608,1,5005506.582824707
1761885644.5985832,0,5005630.226074219
1761885644.5985832,1,5005630.226074219
1761885645.5986247,0,5005753.623657227
1761885645.5986247,1,5005753.766784668
1761885646.5986428,0,5005877.406555176
1761885646.5986428,1,5005877.406555176
1761885647.5985675,0,5006001.144226074
1761885647.5985675,1,5006001.144226074
1761885648.5985792,0,5006124.851318359
1761885648.5985792,1,5006125.3263549805
1761885649.598573,0,5006248.454956055
1761885649.598573,1,5006248.454956055
1761885650.5985842,0,5006372.144592285
1761885650.5985842,1,5006372.144592285
1761885651.5985773,0,5006495.722595215
1761885651.5985773,1,5006495.722595215
1761885652.5985687,0,5006619.434997559
1761885652.5985687,1,5006619.434997559
1761885653.598574,0,5006742.910827637
1761885653.598574,1,5006742.910827637
1761885654.5986457,0,5006866.199951172
1761885654.5986457,1,5006866.644104004
1761885655.5986936,0,5006990.203735352
1761885655.5986936,1,5006990.203735352
1761885656.5985763,0,5007113.977478027
1761885656.5985763,1,5007113.977478027
1761885657.5985749,0,5007237.694458008
1761885657.5985749,1,5007237.694458008
1761885658.5986178,0,5007361.11529541
1761885658.5986178,1,5007361.270812988
1761885659.5988083,0,5007484.841430664
1761885659.5988083,1,5007484.958251953
1761885660.5985785,0,5007608.4306640625
1761885660.5985785,1,5007608.4306640625
1761885661.5985723,0,5007732.157287598
1761885661.5985723,1,5007732.157287598
1761885662.5997982,0,5007855.826416016
1761885662.5997982,1,5007855.826416016
1761885663.5985982,0,5007979.268249512
1761885663.5985982,1,5007979.9216918945
1761885664.5987546,0,5008102.81439209
1761885664.5987546,1,5008102.81439209
1761885665.598571,0,5008226.65032959
1761885665.598571,1,5008226.65032959
1761885666.598674,0,5008350.2439575195
1761885666.598674,1,5008350.2439575195
1761885667.5985727,0,5008474.061828613
1761885667.5985727,1,5008474.061828613
1761885668.5985763,0,5008597.76361084
1761885668.5985763,1,5008597.76361084
1761885669.5985901,0,5008721.32824707
1761885669.5985901,1,5008721.32824707
1761885670.5985656,0,5008844.914550781
1761885670.5985656,1,5008844.914550781
1761885671.5985708,0,5008968.469421387
1761885671.5985708,1,5008968.469421387
1761885672.5985856,0,5009092.2576293945
1761885672.5985856,1,5009092.513793945
1761885673.59872,0,5009215.766662598
1761885673.59872,1,5009215.766662598
1761885674.5985663,0,5009339.265014648
1761885674.5985663,1,5009339.400390625
1761885675.5985606,0,5009462.976867676
1761885675.5985606,1,5009462.976867676
1761885676.5985723,0,5009586.947509766
1761885676.5985723,1,5009586.947509766
1761885677.5986636,0,5009710.267089844
1761885677.5986636,1,5009710.267089844
1761885678.5990086,0,5009834.0927734375
1761885678.5990086,1,5009834.223571777
1761885679.5987544,0,5009957.642456055
1761885679.5987544,1,5009957.795227051
1761885680.5985737,0,5010081.388305664
1761885680.5985737,1,5010081.99420166
1761885681.6016295,0,5010205.258300781
1761885681.6016295,1,5010205.258300781
1761885682.598611,0,5010328.969116211
1761885682.598611,1,5010328.969116211
1761885683.598605,0,5010452.204406738
1761885683.598605,1,5010452.204406738
1761885684.5986273,0,5010575.844177246
1761885684.5986273,1,5010575.844177246
1761885685.598572,0,5010699.6173706055
1761885685.598572,1,5010699.6173706055
1761885686.5986123,0,5010823.378601074
1761885686.5986123,1,5010823.378601074
1761885687.598651,0,5010946.765869141
1761885687.598651,1,5010946.765869141
1761885688.5985687,0,5011070.506652832
1761885688.5985687,1,5011070.506652832
1761885689.5985947,0,5011194.180541992
1761885689.5985947,1,5011194.303344727
1761885690.59872,0,5011317.688232422
1761885690.59872,1,5011317.688232422
1761885691.5985951,0,5011441.338500977
1761885691.5985951,1,5011441.338500977
1761885692.598598,0,5011564.915893555
1761885692.598598,1,5011565.049926758
1761885693.59861,0,5011688.660827637
1761885693.59861,1,5011688.660827637
1761885694.598575,0,5011812.264465332
1761885694.598575,1,5011812.380187988
