time,scope,value
1762302992.447889,nrm.extra.perf.PAPI_L3_TCA.164438,1986474530.0
1762302992.447889,nrm.extra.perf.PAPI_TOT_INS.164438,228653860245.0
1762302992.447889,nrm.extra.perf.PAPI_TOT_CYC.164438,250407898259.0
1762302992.447889,nrm.extra.perf.PAPI_RES_STL.164438,104454105392.0
1762302992.447889,nrm.extra.perf.PAPI_L3_TCM.164438,804496862.0
1762302993.444176,nrm.extra.perf.PAPI_L3_TCA.164438,4052173342.0
1762302993.444176,nrm.extra.perf.PAPI_TOT_INS.164438,466692226132.0
1762302993.444176,nrm.extra.perf.PAPI_TOT_CYC.164438,507013338373.0
1762302993.444176,nrm.extra.perf.PAPI_RES_STL.164438,212296492586.0
1762302993.444176,nrm.extra.perf.PAPI_L3_TCM.164438,1677368116.0
1762302994.4441528,nrm.extra.perf.PAPI_L3_TCA.164438,6116321425.0
1762302994.4441528,nrm.extra.perf.PAPI_TOT_INS.164438,703282418134.0
1762302994.4441528,nrm.extra.perf.PAPI_TOT_CYC.164438,760715789710.0
1762302994.4441528,nrm.extra.perf.PAPI_RES_STL.164438,318876400919.0
1762302994.4441528,nrm.extra.perf.PAPI_L3_TCM.164438,2529471648.0
1762302995.4441936,nrm.extra.perf.PAPI_L3_TCA.164438,8184210976.0
1762302995.4441936,nrm.extra.perf.PAPI_TOT_INS.164438,940070826032.0
1762302995.4441936,nrm.extra.perf.PAPI_TOT_CYC.164438,1014592974411.0
1762302995.4441936,nrm.extra.perf.PAPI_RES_STL.164438,424860919188.0
1762302995.4441936,nrm.extra.perf.PAPI_L3_TCM.164438,3381928658.0
1762302996.4444036,nrm.extra.perf.PAPI_L3_TCA.164438,10046269911.0
1762302996.4444036,nrm.extra.perf.PAPI_TOT_INS.164438,1159165025791.0
1762302996.4444036,nrm.extra.perf.PAPI_TOT_CYC.164438,1251420417074.0
1762302996.4444036,nrm.extra.perf.PAPI_RES_STL.164438,517885989315.0
1762302996.4444036,nrm.extra.perf.PAPI_L3_TCM.164438,4171083125.0
1762302997.4462736,nrm.extra.perf.PAPI_L3_TCA.164438,12074274881.0
1762302997.4462736,nrm.extra.perf.PAPI_TOT_INS.164438,1395641105163.0
1762302997.4462736,nrm.extra.perf.PAPI_TOT_CYC.164438,1506686980873.0
1762302997.4462736,nrm.extra.perf.PAPI_RES_STL.164438,626003177096.0
1762302997.4462736,nrm.extra.perf.PAPI_L3_TCM.164438,5021906421.0
1762302998.4441187,nrm.extra.perf.PAPI_L3_TCA.164438,14052120306.0
1762302998.4441187,nrm.extra.perf.PAPI_TOT_INS.164438,1627240414752.0
1762302998.4441187,nrm.extra.perf.PAPI_TOT_CYC.164438,1761358480848.0
1762302998.4441187,nrm.extra.perf.PAPI_RES_STL.164438,732245487358.0
1762302998.4441187,nrm.extra.perf.PAPI_L3_TCM.164438,5860421644.0
1762302999.4450583,nrm.extra.perf.PAPI_L3_TCA.164438,15835884164.0
1762302999.4450583,nrm.extra.perf.PAPI_TOT_INS.164438,1839687005823.0
1762302999.4450583,nrm.extra.perf.PAPI_TOT_CYC.164438,2018564699447.0
1762302999.4450583,nrm.extra.perf.PAPI_RES_STL.164438,828446045218.0
1762302999.4450583,nrm.extra.perf.PAPI_L3_TCM.164438,6612776589.0
1762303000.44615,nrm.extra.perf.PAPI_L3_TCA.164438,17924567009.0
1762303000.44615,nrm.extra.perf.PAPI_TOT_INS.164438,2078841003311.0
1762303000.44615,nrm.extra.perf.PAPI_TOT_CYC.164438,2272265872741.0
1762303000.44615,nrm.extra.perf.PAPI_RES_STL.164438,935583263459.0
1762303000.44615,nrm.extra.perf.PAPI_L3_TCM.164438,7475407487.0
1762303001.4438405,nrm.extra.perf.PAPI_L3_TCA.164438,20049704154.0
1762303001.4438405,nrm.extra.perf.PAPI_TOT_INS.164438,2319383519343.0
1762303001.4438405,nrm.extra.perf.PAPI_TOT_CYC.164438,2525942722731.0
1762303001.4438405,nrm.extra.perf.PAPI_RES_STL.164438,1046338452459.0
1762303001.4438405,nrm.extra.perf.PAPI_L3_TCM.164438,8359828688.0
1762303002.4468355,nrm.extra.perf.PAPI_L3_TCA.164438,22103297232.0
1762303002.4468355,nrm.extra.perf.PAPI_TOT_INS.164438,2553085976643.0
