time,scope,value
1761846104.5985796,0,2578788.806945801
1761846104.5985796,1,2578788.806945801
1761846105.5986526,0,2578871.5708007812
1761846105.5986526,1,2578871.6463012695
1761846106.5986583,0,2578954.3037109375
1761846106.5986583,1,2578954.387817383
1761846107.5986502,0,2579037.0889282227
1761846107.5986502,1,2579037.1719970703
1761846108.5986526,0,2579119.8364868164
1761846108.5986526,1,2579119.8364868164
1761846109.5986834,0,2579202.614379883
1761846109.5986834,1,2579202.614379883
1761846110.598655,0,2579285.3579101562
1761846110.598655,1,2579285.443725586
1761846111.5986843,0,2579368.125793457
1761846111.5986843,1,2579368.2138671875
1761846112.5986803,0,2579450.889099121
1761846112.5986803,1,2579450.889099121
1761846113.598661,0,2579533.6342773438
1761846113.598661,1,2579533.71295166
1761846114.598614,0,2579616.419128418
1761846114.598614,1,2579616.419128418
1761846115.5986938,0,2579699.173522949
1761846115.5986938,1,2579699.2524414062
1761846116.5986314,0,2579781.907897949
1761846116.5986314,1,2579781.907897949
1761846117.598588,0,2579864.660217285
1761846117.598588,1,2579864.660217285
1761846118.5986285,0,2579947.410217285
1761846118.5986285,1,2579947.410217285
1761846119.5986567,0,2580030.1728515625
1761846119.5986567,1,2580030.258117676
1761846120.5986683,0,2580112.9295654297
1761846120.5986683,1,2580113.0127563477
1761846121.5985677,0,2580195.6771850586
1761846121.5985677,1,2580195.6771850586
1761846122.5986528,0,2580278.452697754
1761846122.5986528,1,2580278.5416259766
1761846123.598635,0,2580361.2208862305
1761846123.598635,1,2580361.3057250977
1761846124.5986943,0,2580444.0150756836
1761846124.5986943,1,2580444.0150756836
1761846125.5986521,0,2580526.784301758
1761846125.5986521,1,2580526.784301758
1761846126.5986414,0,2580609.486022949
1761846126.5986414,1,2580609.577270508
1761846127.5986497,0,2580692.3002929688
1761846127.5986497,1,2580692.3002929688
1761846128.598658,0,2580775.196411133
1761846128.598658,1,2580775.277709961
1761846129.5986407,0,2580857.765563965
1761846129.5986407,1,2580857.765563965
1761846130.598674,0,2580940.587097168
1761846130.598674,1,2580940.587097168
1761846131.598647,0,2581023.33782959
1761846131.598647,1,2581023.33782959
1761846132.5986521,0,2581106.0560302734
1761846132.5986521,1,2581106.1372070312
1761846133.5986485,0,2581188.8692626953
1761846133.5986485,1,2581188.8692626953
1761846134.5986574,0,2581271.6220703125
1761846134.5986574,1,2581271.6220703125
1761846135.59867,0,2581354.351135254
1761846135.59867,1,2581354.351135254
1761846136.5986595,0,2581437.1141967773
1761846136.5986595,1,2581437.203063965
1761846137.598573,0,2581519.8432006836
1761846137.598573,1,2581519.8432006836
1761846138.5986514,0,2581602.610473633
1761846138.5986514,1,2581602.6948242188
1761846139.5986555,0,2581685.3659057617
1761846139.5986555,1,2581685.4712524414
1761846140.5986474,0,2581768.129272461
1761846140.5986474,1,2581768.214416504
1761846141.5986462,0,2581850.8973999023
1761846141.5986462,1,2581850.8973999023
1761846142.5986497,0,2581933.6654052734
1761846142.5986497,1,2581933.6654052734
1761846143.5986366,0,2582016.4143066406
1761846143.5986366,1,2582016.49407959
1761846144.5986297,0,2582100.169921875
1761846144.5986297,1,2582100.169921875
1761846145.5986323,0,2582181.9379882812
1761846145.5986323,1,2582182.0252685547
1761846146.5986512,0,2582264.7369384766
1761846146.5986512,1,2582264.7369384766
1761846147.5986435,0,2582347.4270629883
1761846147.5986435,1,2582347.5107421875
1761846148.5986564,0,2582430.236633301
1761846148.5986564,1,2582430.236633301
1761846149.5986354,0,2582512.9931030273
1761846149.5986354,1,2582512.9931030273
1761846150.598646,0,2582595.723083496
1761846150.598646,1,2582595.723083496
1761846151.5986466,0,2582678.479736328
1761846151.5986466,1,2582678.5666503906
1761846152.5986624,0,2582761.2239379883
1761846152.5986624,1,2582761.3076171875
1761846153.598644,0,2582844.0545654297
1761846153.598644,1,2582844.0545654297
1761846154.5985992,0,2582926.7063598633
1761846154.5985992,1,2582926.7942504883
1761846155.5986562,0,2583009.537475586
1761846155.5986562,1,2583009.619445801
1761846156.598687,0,2583092.2837524414
1761846156.598687,1,2583092.2837524414
1761846157.598682,0,2583175.034057617
1761846157.598682,1,2583175.034057617
1761846158.5986474,0,2583257.803039551
1761846158.5986474,1,2583257.8643188477
1761846159.598677,0,2583340.5337524414
1761846159.598677,1,2583340.6217041016
