time,value
1761846554.01072,2.0
1761846554.0254586,3.0
1761846554.040223,3.0
1761846554.0547795,3.0
1761846554.069278,3.0
1761846554.0839474,3.0
1761846554.098541,3.0
1761846554.113088,3.0
1761846554.1277297,3.0
1761846554.1423807,3.0
1761846554.1570952,3.0
1761846554.1717448,3.0
1761846554.186391,3.0
1761846554.2010167,3.0
1761846554.215775,3.0
1761846554.23039,3.0
1761846554.2449987,3.0
1761846554.2596478,3.0
1761846554.274274,3.0
1761846554.2889175,3.0
1761846554.3035238,3.0
1761846554.3181472,3.0
1761846554.3327813,3.0
1761846554.347519,3.0
1761846554.362171,3.0
1761846554.3768175,3.0
1761846554.3914351,3.0
1761846554.4061592,3.0
1761846554.4168012,2.0
1761846554.4314234,3.0
1761846554.4460568,3.0
1761846554.4607067,3.0
1761846554.4753087,3.0
1761846554.4904025,3.0
1761846554.501267,2.0
1761846554.5122168,2.0
1761846554.5231323,2.0
1761846554.5340552,2.0
1761846554.545003,2.0
1761846554.5559769,2.0
1761846554.5670488,2.0
1761846554.5780745,2.0
1761846554.5890157,2.0
1761846554.6001303,2.0
1761846554.6109233,2.0
1761846554.6218655,2.0
1761846554.6327984,2.0
1761846554.6438787,2.0
1761846554.6548035,2.0
1761846554.665499,2.0
1761846554.6765795,2.0
1761846554.6873934,2.0
1761846554.6983252,2.0
1761846554.7093115,2.0
1761846554.720262,2.0
1761846554.7311916,2.0
1761846554.7421844,2.0
1761846554.7531486,2.0
1761846554.7640584,2.0
1761846554.7747917,2.0
1761846554.7857263,2.0
1761846554.79667,2.0
1761846554.8075912,2.0
1761846554.8184545,2.0
1761846554.8293784,2.0
1761846554.840348,2.0
1761846554.8512652,2.0
1761846554.8621721,2.0
1761846554.8731318,2.0
1761846554.8840923,2.0
1761846554.8950999,2.0
1761846554.906147,2.0
1761846554.9170995,2.0
1761846554.9280841,2.0
1761846554.9390404,2.0
1761846554.9512522,2.0
1761846554.9647076,1.0
1761846554.9786575,1.0
1761846554.989519,2.0
1761846555.0004277,2.0
1761846555.0114553,2.0
1761846555.0223882,2.0
1761846555.0334048,2.0
1761846555.0444722,2.0
1761846555.0556087,2.0
1761846555.0666215,2.0
1761846555.0776074,2.0
1761846555.0886166,2.0
1761846555.0995739,2.0
1761846555.1105442,2.0
1761846555.1217132,2.0
1761846555.1328495,2.0
1761846555.1438162,2.0
1761846555.1548228,2.0
1761846555.1658208,2.0
1761846555.1767566,2.0
1761846555.1877666,2.0
1761846555.1989388,2.0
1761846555.2099538,2.0
1761846555.220887,2.0
1761846555.2318478,2.0
1761846555.2428188,2.0
1761846555.2538052,2.0
1761846555.2647488,2.0
1761846555.2757666,2.0
1761846555.28679,2.0
1761846555.2979305,2.0
1761846555.3088696,2.0
1761846555.319834,2.0
1761846555.330792,2.0
1761846555.3422487,2.0
1761846555.3531246,2.0
1761846555.3640695,2.0
1761846555.3751242,2.0
1761846555.386077,2.0
1761846555.3971503,2.0
1761846555.4081373,2.0
1761846555.4192464,2.0
1761846555.4302037,2.0
1761846555.4411888,2.0
1761846555.4522436,2.0
1761846555.4631834,2.0
1761846555.4742446,2.0
1761846555.4851797,2.0
1761846555.4961367,2.0
1761846555.507087,2.0
1761846555.518191,2.0
1761846555.529051,2.0
1761846555.53993,2.0
1761846555.5509741,2.0
1761846555.5617986,2.0
1761846555.572833,2.0
1761846555.5837338,2.0
1761846555.5945623,2.0
1761846555.60588,2.0
1761846555.616725,2.0
1761846555.6279051,2.0
1761846555.639062,2.0
1761846555.649868,2.0
1761846555.6607583,2.0
1761846555.671606,2.0
1761846555.6827416,2.0
1761846555.693595,2.0
1761846555.7045832,2.0
1761846555.7154572,2.0
1761846555.7263262,2.0
1761846555.7372143,2.0
1761846555.7480717,2.0
1761846555.759226,2.0
1761846555.7701466,2.0
1761846555.7810817,2.0
1761846555.7922454,2.0
1761846555.803183,2.0
1761846555.8141184,2.0
1761846555.8252404,2.0
1761846555.8361545,2.0
1761846555.8472621,2.0
1761846555.8581665,2.0
1761846555.8691766,2.0
1761846555.8801656,2.0
1761846555.8910909,2.0
1761846555.9021766,2.0
1761846555.9131694,2.0
1761846555.9240868,2.0
1761846555.9351776,2.0
1761846555.947153,2.0
1761846555.9686317,2.0
1761846555.9833484,1.0
1761846555.994519,2.0
1761846556.0053499,2.0
1761846556.016245,2.0
1761846556.0271463,2.0
1761846556.0381348,2.0
1761846556.0489874,2.0
1761846556.059889,2.0
1761846556.0708308,2.0
1761846556.0816977,2.0
1761846556.0925837,2.0
1761846556.1034606,2.0
1761846556.114378,2.0
1761846556.1253617,2.0
1761846556.136251,2.0
1761846556.147232,2.0
1761846556.1582634,2.0
1761846556.1691628,2.0
1761846556.1801395,2.0
1761846556.1910121,2.0
1761846556.2020385,2.0
1761846556.2129645,2.0
1761846556.2238019,2.0
1761846556.2346895,2.0
1761846556.2455983,2.0
1761846556.25656,2.0
1761846556.2673907,2.0
1761846556.2782474,2.0
1761846556.2892587,2.0
1761846556.3001654,2.0
1761846556.3111947,2.0
1761846556.3222744,2.0
1761846556.333293,2.0
1761846556.3445675,2.0
1761846556.3554418,2.0
1761846556.3663213,2.0
1761846556.377241,2.0
1761846556.388135,2.0
1761846556.399005,2.0
1761846556.4100425,2.0
1761846556.421004,2.0
1761846556.4320164,2.0
1761846556.4427528,2.0
1761846556.4534783,2.0
1761846556.464258,2.0
1761846556.475015,2.0
1761846556.4857388,2.0
1761846556.4964964,2.0
1761846556.50722,2.0
1761846556.5179684,2.0
1761846556.5287092,2.0
1761846556.5394702,2.0
1761846556.5502129,2.0
1761846556.5609372,2.0
1761846556.5716727,2.0
1761846556.5824122,2.0
1761846556.5931814,2.0
1761846556.6041305,2.0
1761846556.6149008,2.0
1761846556.625652,2.0
1761846556.6365054,2.0
1761846556.6471994,2.0
1761846556.6579366,2.0
1761846556.6687074,2.0
1761846556.6794953,2.0
1761846556.6902237,2.0
1761846556.7010388,2.0
1761846556.7117796,2.0
1761846556.7224822,2.0
1761846556.7332044,2.0
1761846556.743921,2.0
