time,scope,value
1761846610.5006287,nrm.extra.perf.PAPI_L3_TCA.93720,2316225064.0
1761846610.5006287,nrm.extra.perf.PAPI_TOT_INS.93720,39066747050.0
1761846610.5006287,nrm.extra.perf.PAPI_TOT_CYC.93720,260865800213.0
1761846610.5006287,nrm.extra.perf.PAPI_RES_STL.93720,230667833102.0
1761846610.5006287,nrm.extra.perf.PAPI_L3_TCM.93720,2165557765.0
1761846611.4977405,nrm.extra.perf.PAPI_L3_TCA.93720,4586247724.0
1761846611.4977405,nrm.extra.perf.PAPI_TOT_INS.93720,77274679781.0
1761846611.4977405,nrm.extra.perf.PAPI_TOT_CYC.93720,495219128757.0
1761846611.4977405,nrm.extra.perf.PAPI_RES_STL.93720,435461028946.0
1761846611.4977405,nrm.extra.perf.PAPI_L3_TCM.93720,4295513556.0
1761846612.4997241,nrm.extra.perf.PAPI_L3_TCA.93720,6869040002.0
1761846612.4997241,nrm.extra.perf.PAPI_TOT_INS.93720,115520986633.0
1761846612.4997241,nrm.extra.perf.PAPI_TOT_CYC.93720,730183952870.0
1761846612.4997241,nrm.extra.perf.PAPI_RES_STL.93720,641955940315.0
1761846612.4997241,nrm.extra.perf.PAPI_L3_TCM.93720,6437669113.0
1761846613.5026789,nrm.extra.perf.PAPI_L3_TCA.93720,9110435551.0
1761846613.5026789,nrm.extra.perf.PAPI_TOT_INS.93720,153635305071.0
1761846613.5026789,nrm.extra.perf.PAPI_TOT_CYC.93720,965895647135.0
1761846613.5026789,nrm.extra.perf.PAPI_RES_STL.93720,845814412752.0
1761846613.5026789,nrm.extra.perf.PAPI_L3_TCM.93720,8543713328.0
1761846614.4995744,nrm.extra.perf.PAPI_L3_TCA.93720,11384324479.0
1761846614.4995744,nrm.extra.perf.PAPI_TOT_INS.93720,191985971776.0
1761846614.4995744,nrm.extra.perf.PAPI_TOT_CYC.93720,1202590475347.0
1761846614.4995744,nrm.extra.perf.PAPI_RES_STL.93720,1051999831175.0
1761846614.4995744,nrm.extra.perf.PAPI_L3_TCM.93720,10673913432.0
1761846615.5001938,nrm.extra.perf.PAPI_L3_TCA.93720,13690539215.0
1761846615.5001938,nrm.extra.perf.PAPI_TOT_INS.93720,230513120606.0
1761846615.5001938,nrm.extra.perf.PAPI_TOT_CYC.93720,1440171743766.0
1761846615.5001938,nrm.extra.perf.PAPI_RES_STL.93720,1261748132330.0
1761846615.5001938,nrm.extra.perf.PAPI_L3_TCM.93720,12838829084.0
1761846616.4993258,nrm.extra.perf.PAPI_L3_TCA.93720,16001156383.0
1761846616.4993258,nrm.extra.perf.PAPI_TOT_INS.93720,269009699373.0
1761846616.4993258,nrm.extra.perf.PAPI_TOT_CYC.93720,1677339519819.0
1761846616.4993258,nrm.extra.perf.PAPI_RES_STL.93720,1471403822704.0
1761846616.4993258,nrm.extra.perf.PAPI_L3_TCM.93720,15004007679.0
1761846617.5086577,nrm.extra.perf.PAPI_L3_TCA.93720,18299637861.0
1761846617.5086577,nrm.extra.perf.PAPI_TOT_INS.93720,307469899565.0
1761846617.5086577,nrm.extra.perf.PAPI_TOT_CYC.93720,1915476572509.0
1761846617.5086577,nrm.extra.perf.PAPI_RES_STL.93720,1681629376331.0
1761846617.5086577,nrm.extra.perf.PAPI_L3_TCM.93720,17176235634.0
1761846618.498636,nrm.extra.perf.PAPI_L3_TCA.93720,20575710696.0
1761846618.498636,nrm.extra.perf.PAPI_TOT_INS.93720,345605365204.0
1761846618.498636,nrm.extra.perf.PAPI_TOT_CYC.93720,2149142744393.0
1761846618.498636,nrm.extra.perf.PAPI_RES_STL.93720,1886623113257.0
1761846618.498636,nrm.extra.perf.PAPI_L3_TCM.93720,19299778172.0
1761846619.5049763,nrm.extra.perf.PAPI_L3_TCA.93720,22908223216.0
1761846619.5049763,nrm.extra.perf.PAPI_TOT_INS.93720,384511479590.0
