time,value
1761841539.485296,3.0
1761841539.4960167,3.0
1761841539.5067859,3.0
1761841539.5173695,3.0
1761841539.5279164,3.0
1761841539.5384676,3.0
1761841539.548993,3.0
1761841539.5595388,3.0
1761841539.5701115,3.0
1761841539.5806575,3.0
1761841539.591218,3.0
1761841539.601852,3.0
1761841539.612344,3.0
1761841539.6229517,3.0
1761841539.63345,3.0
1761841539.6441023,3.0
1761841539.654594,3.0
1761841539.6650693,3.0
1761841539.6757255,3.0
1761841539.6862621,3.0
1761841539.6969283,3.0
1761841539.7075846,3.0
1761841539.7180586,3.0
1761841539.72872,3.0
1761841539.7391942,3.0
1761841539.749701,3.0
1761841539.7601914,3.0
1761841539.770761,3.0
1761841539.7812805,3.0
1761841539.7918098,3.0
1761841539.8022692,3.0
1761841539.812873,3.0
1761841539.8233516,3.0
1761841539.8338583,3.0
1761841539.8444421,3.0
1761841539.8549428,3.0
1761841539.8654103,3.0
1761841539.8758748,3.0
1761841539.886488,3.0
1761841539.8971944,3.0
1761841539.9092317,3.0
1761841539.9197698,3.0
1761841539.9303493,3.0
1761841539.9408355,3.0
1761841539.9514167,3.0
1761841539.9619203,3.0
1761841539.9724524,3.0
1761841539.9829874,3.0
1761841539.9936068,3.0
1761841540.0041585,3.0
1761841540.0146704,3.0
1761841540.0253618,3.0
1761841540.0358958,3.0
1761841540.0463898,3.0
1761841540.0574064,3.0
1761841540.067947,3.0
1761841540.0785398,3.0
1761841540.0890253,3.0
1761841540.0996416,3.0
1761841540.1101117,3.0
1761841540.120747,3.0
1761841540.1313283,3.0
1761841540.1420984,3.0
1761841540.152589,3.0
1761841540.1631203,3.0
1761841540.1737478,3.0
1761841540.1842978,3.0
1761841540.1948016,3.0
1761841540.2053614,3.0
1761841540.2158716,3.0
1761841540.2263982,3.0
1761841540.2369773,3.0
1761841540.2475145,3.0
1761841540.2581508,3.0
1761841540.2686622,3.0
1761841540.2791252,3.0
1761841540.2897427,3.0
1761841540.30021,3.0
1761841540.3106847,3.0
1761841540.3211439,3.0
1761841540.331705,3.0
1761841540.3422968,3.0
1761841540.3527694,3.0
1761841540.3633444,3.0
1761841540.373854,3.0
1761841540.3844213,3.0
1761841540.3949533,3.0
1761841540.4054248,3.0
1761841540.4159737,3.0
1761841540.4264474,3.0
1761841540.438058,3.0
1761841540.4495208,1.0
1761841540.460587,1.0
1761841540.4710956,3.0
1761841540.4815934,3.0
1761841540.4921777,3.0
1761841540.5026724,3.0
1761841540.513237,3.0
1761841540.5237544,3.0
1761841540.534262,3.0
1761841540.5448828,3.0
1761841540.5555243,3.0
1761841540.5660164,3.0
1761841540.5766046,3.0
1761841540.5870686,3.0
1761841540.5975955,3.0
1761841540.6082063,3.0
1761841540.618715,3.0
1761841540.6291926,3.0
1761841540.6397452,3.0
1761841540.6502466,3.0
1761841540.6607811,3.0
1761841540.6712387,3.0
1761841540.6818938,3.0
1761841540.6927571,3.0
1761841540.7045403,3.0
1761841540.7168772,3.0
1761841540.7294533,3.0
1761841540.7421026,3.0
1761841540.754819,3.0
1761841540.7676082,3.0
1761841540.780176,3.0
1761841540.7928593,3.0
1761841540.805544,3.0
1761841540.818169,3.0
1761841540.8306253,3.0
1761841540.8431273,3.0
1761841540.855562,3.0
1761841540.8680103,3.0
1761841540.8803725,3.0
1761841540.8928163,3.0
1761841540.9052079,3.0
1761841540.917465,3.0
1761841540.9297576,3.0
1761841540.9420257,3.0
1761841540.95434,3.0
1761841540.966834,3.0
1761841540.9790242,3.0
1761841540.9913244,3.0
1761841541.0035694,3.0
1761841541.015834,3.0
1761841541.0282505,3.0
1761841541.0405104,3.0
1761841541.0527287,3.0
1761841541.064903,3.0
1761841541.0770872,3.0
1761841541.0893562,3.0
1761841541.1015403,3.0
1761841541.1137452,3.0
1761841541.1259887,3.0
1761841541.1381674,3.0
1761841541.1505415,3.0
1761841541.1627197,3.0
1761841541.175028,3.0
1761841541.1873114,3.0
1761841541.1994872,3.0
1761841541.2116976,3.0
1761841541.2238374,3.0
1761841541.2359927,3.0
1761841541.248215,3.0
1761841541.2604194,3.0
1761841541.2727404,3.0
1761841541.2848895,3.0
1761841541.2971447,3.0
1761841541.3093684,3.0
1761841541.3216581,3.0
1761841541.3338284,3.0
1761841541.3462121,3.0
1761841541.3583887,3.0
1761841541.3705668,3.0
1761841541.382735,3.0
1761841541.3949134,3.0
1761841541.4072182,3.0
1761841541.4193685,3.0
1761841541.4315922,3.0
1761841541.45638,3.0
1761841541.471256,1.0
1761841541.4830205,3.0
1761841541.4951549,3.0
1761841541.5073438,3.0
1761841541.5194995,3.0
1761841541.5317438,3.0
1761841541.5439465,3.0
1761841541.556112,3.0
1761841541.5683172,3.0
1761841541.5805857,3.0
1761841541.5928621,3.0
1761841541.6054513,3.0
1761841541.6175938,3.0
1761841541.629875,3.0
1761841541.64228,3.0
1761841541.6545553,3.0
1761841541.666811,3.0
1761841541.6792104,3.0
1761841541.6914234,3.0
1761841541.7036033,3.0
1761841541.7159677,3.0
1761841541.7282515,3.0
1761841541.740493,3.0
1761841541.752758,3.0
1761841541.7650115,3.0
1761841541.7771735,3.0
1761841541.7893598,3.0
1761841541.80166,3.0
1761841541.8139627,3.0
1761841541.8262064,3.0
1761841541.8384583,3.0
1761841541.8507144,3.0
1761841541.8629243,3.0
1761841541.875158,3.0
1761841541.8874128,3.0
1761841541.89974,3.0
1761841541.9121974,3.0
1761841541.92615,3.0
1761841541.9383943,3.0
1761841541.950545,3.0
1761841541.9627872,3.0
1761841541.975155,3.0
1761841541.9873078,3.0
1761841541.9995844,3.0
1761841542.0118494,3.0
1761841542.0241323,3.0
1761841542.0364199,3.0
1761841542.0489657,3.0
1761841542.0613172,3.0
1761841542.0736852,3.0
