time,actuator,value
1761841919.0577314,Actuator(ptr=c_void_p(996754880)),83.0
1761841921.0690448,Actuator(ptr=c_void_p(996754880)),83.0
1761841923.0871735,Actuator(ptr=c_void_p(996754880)),83.0
1761841925.0997212,Actuator(ptr=c_void_p(996754880)),83.0
1761841927.1127596,Actuator(ptr=c_void_p(996754880)),83.0
1761841929.1269965,Actuator(ptr=c_void_p(996754880)),83.0
1761841931.1419456,Actuator(ptr=c_void_p(996754880)),83.0
1761841933.158873,Actuator(ptr=c_void_p(996754880)),83.0
1761841935.1748626,Actuator(ptr=c_void_p(996754880)),83.0
1761841937.1888008,Actuator(ptr=c_void_p(996754880)),83.0
1761841939.209758,Actuator(ptr=c_void_p(996754880)),83.0
1761841941.2271056,Actuator(ptr=c_void_p(996754880)),83.0
1761841943.2418568,Actuator(ptr=c_void_p(996754880)),83.0
1761841945.2585254,Actuator(ptr=c_void_p(996754880)),83.0
1761841947.2699385,Actuator(ptr=c_void_p(996754880)),83.0
1761841949.2898273,Actuator(ptr=c_void_p(996754880)),83.0
1761841951.3033729,Actuator(ptr=c_void_p(996754880)),83.0
1761841953.3231914,Actuator(ptr=c_void_p(996754880)),83.0
1761841955.3357263,Actuator(ptr=c_void_p(996754880)),83.0
1761841957.3521035,Actuator(ptr=c_void_p(996754880)),83.0
