time,scope,value
1761842486.2940607,nrm.extra.perf.PAPI_L3_TCA.85425,2217909135.0
1761842486.2940607,nrm.extra.perf.PAPI_TOT_INS.85425,46362037367.0
1761842486.2940607,nrm.extra.perf.PAPI_TOT_CYC.85425,269387848233.0
1761842486.2940607,nrm.extra.perf.PAPI_RES_STL.85425,237967749064.0
1761842486.2940607,nrm.extra.perf.PAPI_L3_TCM.85425,1966942841.0
1761842487.2936056,nrm.extra.perf.PAPI_L3_TCA.85425,4377307885.0
1761842487.2936056,nrm.extra.perf.PAPI_TOT_INS.85425,91608057691.0
1761842487.2936056,nrm.extra.perf.PAPI_TOT_CYC.85425,510501343726.0
1761842487.2936056,nrm.extra.perf.PAPI_RES_STL.85425,447548044249.0
1761842487.2936056,nrm.extra.perf.PAPI_L3_TCM.85425,3887726916.0
1761842488.298091,nrm.extra.perf.PAPI_L3_TCA.85425,6546546912.0
1761842488.298091,nrm.extra.perf.PAPI_TOT_INS.85425,136983489275.0
1761842488.298091,nrm.extra.perf.PAPI_TOT_CYC.85425,752572781251.0
1761842488.298091,nrm.extra.perf.PAPI_RES_STL.85425,658302231525.0
1761842488.298091,nrm.extra.perf.PAPI_L3_TCM.85425,5816220405.0
1761842489.2992864,nrm.extra.perf.PAPI_L3_TCA.85425,8750526087.0
1761842489.2992864,nrm.extra.perf.PAPI_TOT_INS.85425,182886398739.0
1761842489.2992864,nrm.extra.perf.PAPI_TOT_CYC.85425,997021114461.0
1761842489.2992864,nrm.extra.perf.PAPI_RES_STL.85425,872459408360.0
1761842489.2992864,nrm.extra.perf.PAPI_L3_TCM.85425,7774916840.0
1761842490.2954128,nrm.extra.perf.PAPI_L3_TCA.85425,10952434089.0
1761842490.2954128,nrm.extra.perf.PAPI_TOT_INS.85425,228660547111.0
1761842490.2954128,nrm.extra.perf.PAPI_TOT_CYC.85425,1240435772334.0
1761842490.2954128,nrm.extra.perf.PAPI_RES_STL.85425,1085783812931.0
1761842490.2954128,nrm.extra.perf.PAPI_L3_TCM.85425,9726125301.0
1761842491.2954712,nrm.extra.perf.PAPI_L3_TCA.85425,13162998996.0
1761842491.2954712,nrm.extra.perf.PAPI_TOT_INS.85425,274616371839.0
1761842491.2954712,nrm.extra.perf.PAPI_TOT_CYC.85425,1484826328665.0
1761842491.2954712,nrm.extra.perf.PAPI_RES_STL.85425,1300567798465.0
1761842491.2954712,nrm.extra.perf.PAPI_L3_TCM.85425,11692252825.0
1761842492.2958817,nrm.extra.perf.PAPI_L3_TCA.85425,15378048140.0
1761842492.2958817,nrm.extra.perf.PAPI_TOT_INS.85425,320580449769.0
1761842492.2958817,nrm.extra.perf.PAPI_TOT_CYC.85425,1729030188798.0
1761842492.2958817,nrm.extra.perf.PAPI_RES_STL.85425,1515300896420.0
1761842492.2958817,nrm.extra.perf.PAPI_L3_TCM.85425,13658551012.0
1761842493.2967756,nrm.extra.perf.PAPI_L3_TCA.85425,17546508928.0
1761842493.2967756,nrm.extra.perf.PAPI_TOT_INS.85425,365846829973.0
1761842493.2967756,nrm.extra.perf.PAPI_TOT_CYC.85425,1970199734611.0
1761842493.2967756,nrm.extra.perf.PAPI_RES_STL.85425,1725887487477.0
1761842493.2967756,nrm.extra.perf.PAPI_L3_TCM.85425,15587227213.0
1761842494.2951295,nrm.extra.perf.PAPI_L3_TCA.85425,19702853216.0
1761842494.2951295,nrm.extra.perf.PAPI_TOT_INS.85425,410983213329.0
1761842494.2951295,nrm.extra.perf.PAPI_TOT_CYC.85425,2210816531075.0
1761842494.2951295,nrm.extra.perf.PAPI_RES_STL.85425,1934884422345.0
1761842494.2951295,nrm.extra.perf.PAPI_L3_TCM.85425,17501269516.0
1761842495.2943075,nrm.extra.perf.PAPI_L3_TCA.85425,21901208614.0
1761842495.2943075,nrm.extra.perf.PAPI_TOT_INS.85425,456780952906.0
1761842495.2943075,nrm.extra.perf.PAPI_TOT_CYC.85425,2454708075438.0
1761842495.2943075,nrm.extra.perf.PAPI_RES_STL.85425,2148017818191.0
1761842495.2943075,nrm.extra.perf.PAPI_L3_TCM.85425,19452720945.0
1761842496.2967522,nrm.extra.perf.PAPI_L3_TCA.85425,24106325465.0
1761842496.2967522,nrm.extra.perf.PAPI_TOT_INS.85425,502732156357.0
1761842496.2967522,nrm.extra.perf.PAPI_TOT_CYC.85425,2699510341202.0
1761842496.2967522,nrm.extra.perf.PAPI_RES_STL.85425,2362139455021.0
1761842496.2967522,nrm.extra.perf.PAPI_L3_TCM.85425,21411401887.0
1761842497.293062,nrm.extra.perf.PAPI_L3_TCA.85425,26292355827.0
1761842497.293062,nrm.extra.perf.PAPI_TOT_INS.85425,548371892444.0
1761842497.293062,nrm.extra.perf.PAPI_TOT_CYC.85425,2942912117866.0
1761842497.293062,nrm.extra.perf.PAPI_RES_STL.85425,2574846450956.0
1761842497.293062,nrm.extra.perf.PAPI_L3_TCM.85425,23354893142.0
1761842498.296863,nrm.extra.perf.PAPI_L3_TCA.85425,28494844829.0
1761842498.296863,nrm.extra.perf.PAPI_TOT_INS.85425,594351763075.0
1761842498.296863,nrm.extra.perf.PAPI_TOT_CYC.85425,3188018475213.0
1761842498.296863,nrm.extra.perf.PAPI_RES_STL.85425,2788961773869.0
1761842498.296863,nrm.extra.perf.PAPI_L3_TCM.85425,25313556739.0
1761842499.2980363,nrm.extra.perf.PAPI_L3_TCA.85425,30699133356.0
