time,scope,value
1761779910.6137638,nrm.extra.perf.PAPI_L3_TCA.33969,2345823650.0
1761779910.6137638,nrm.extra.perf.PAPI_TOT_INS.33969,46501712284.0
1761779910.6137638,nrm.extra.perf.PAPI_TOT_CYC.33969,291220757530.0
1761779910.6137638,nrm.extra.perf.PAPI_RES_STL.33969,261591995298.0
1761779910.6137638,nrm.extra.perf.PAPI_L3_TCM.33969,2186374845.0
1761779911.6140864,nrm.extra.perf.PAPI_L3_TCA.33969,4703716236.0
1761779911.6140864,nrm.extra.perf.PAPI_TOT_INS.33969,93447588883.0
1761779911.6140864,nrm.extra.perf.PAPI_TOT_CYC.33969,575148006181.0
1761779911.6140864,nrm.extra.perf.PAPI_RES_STL.33969,513106734328.0
1761779911.6140864,nrm.extra.perf.PAPI_L3_TCM.33969,4383488256.0
1761779912.6094933,nrm.extra.perf.PAPI_L3_TCA.33969,7006256831.0
1761779912.6094933,nrm.extra.perf.PAPI_TOT_INS.33969,139707223679.0
1761779912.6094933,nrm.extra.perf.PAPI_TOT_CYC.33969,853673200170.0
1761779912.6094933,nrm.extra.perf.PAPI_RES_STL.33969,757246365852.0
1761779912.6094933,nrm.extra.perf.PAPI_L3_TCM.33969,6529785851.0
1761779913.6127453,nrm.extra.perf.PAPI_L3_TCA.33969,9330306607.0
1761779913.6127453,nrm.extra.perf.PAPI_TOT_INS.33969,186319270874.0
1761779913.6127453,nrm.extra.perf.PAPI_TOT_CYC.33969,1134240003049.0
1761779913.6127453,nrm.extra.perf.PAPI_RES_STL.33969,1003558424073.0
1761779913.6127453,nrm.extra.perf.PAPI_L3_TCM.33969,8699596074.0
1761779914.6126747,nrm.extra.perf.PAPI_L3_TCA.33969,11703708276.0
1761779914.6126747,nrm.extra.perf.PAPI_TOT_INS.33969,233353710480.0
1761779914.6126747,nrm.extra.perf.PAPI_TOT_CYC.33969,1417168073065.0
1761779914.6126747,nrm.extra.perf.PAPI_RES_STL.33969,1255898267272.0
1761779914.6126747,nrm.extra.perf.PAPI_L3_TCM.33969,10916727983.0
1761779915.6158125,nrm.extra.perf.PAPI_L3_TCA.33969,14100394965.0
1761779915.6158125,nrm.extra.perf.PAPI_TOT_INS.33969,280681932074.0
1761779915.6158125,nrm.extra.perf.PAPI_TOT_CYC.33969,1702369382250.0
1761779915.6158125,nrm.extra.perf.PAPI_RES_STL.33969,1511335445309.0
1761779915.6158125,nrm.extra.perf.PAPI_L3_TCM.33969,13153232694.0
1761779916.6105862,nrm.extra.perf.PAPI_L3_TCA.33969,16465116350.0
1761779916.6105862,nrm.extra.perf.PAPI_TOT_INS.33969,327610396255.0
1761779916.6105862,nrm.extra.perf.PAPI_TOT_CYC.33969,1985325906235.0
1761779916.6105862,nrm.extra.perf.PAPI_RES_STL.33969,1763329476339.0
1761779916.6105862,nrm.extra.perf.PAPI_L3_TCM.33969,15358373016.0
1761779917.6151001,nrm.extra.perf.PAPI_L3_TCA.33969,18857340433.0
1761779917.6151001,nrm.extra.perf.PAPI_TOT_INS.33969,374949337030.0
1761779917.6151001,nrm.extra.perf.PAPI_TOT_CYC.33969,2271024737490.0
1761779917.6151001,nrm.extra.perf.PAPI_RES_STL.33969,2017922227022.0
1761779917.6151001,nrm.extra.perf.PAPI_L3_TCM.33969,17586965656.0
1761779918.6093745,nrm.extra.perf.PAPI_L3_TCA.33969,21178549539.0
1761779918.6093745,nrm.extra.perf.PAPI_TOT_INS.33969,421286646732.0
1761779918.6093745,nrm.extra.perf.PAPI_TOT_CYC.33969,2550508261860.0
1761779918.6093745,nrm.extra.perf.PAPI_RES_STL.33969,2265075628835.0
1761779918.6093745,nrm.extra.perf.PAPI_L3_TCM.33969,19752780926.0
1761779919.6116493,nrm.extra.perf.PAPI_L3_TCA.33969,23520822163.0
1761779919.6116493,nrm.extra.perf.PAPI_TOT_INS.33969,467941586410.0
1761779919.6116493,nrm.extra.perf.PAPI_TOT_CYC.33969,2832188096178.0
1761779919.6116493,nrm.extra.perf.PAPI_RES_STL.33969,2514718629884.0
1761779919.6116493,nrm.extra.perf.PAPI_L3_TCM.33969,21941988376.0
1761779920.6153338,nrm.extra.perf.PAPI_L3_TCA.33969,25873423367.0
1761779920.6153338,nrm.extra.perf.PAPI_TOT_INS.33969,514784603269.0
