time,actuator,value
1761781501.8047767,Actuator(ptr=c_void_p(786626000)),141.0
1761781503.8168633,Actuator(ptr=c_void_p(786626000)),141.0
1761781505.8318906,Actuator(ptr=c_void_p(786626000)),141.0
1761781507.8434558,Actuator(ptr=c_void_p(786626000)),141.0
1761781509.8529847,Actuator(ptr=c_void_p(786626000)),141.0
1761781511.8674169,Actuator(ptr=c_void_p(786626000)),141.0
1761781513.8778954,Actuator(ptr=c_void_p(786626000)),141.0
1761781515.8938086,Actuator(ptr=c_void_p(786626000)),141.0
1761781517.9045706,Actuator(ptr=c_void_p(786626000)),141.0
1761781519.9148393,Actuator(ptr=c_void_p(786626000)),141.0
1761781521.9277802,Actuator(ptr=c_void_p(786626000)),141.0
1761781523.9385126,Actuator(ptr=c_void_p(786626000)),141.0
1761781525.9497006,Actuator(ptr=c_void_p(786626000)),141.0
1761781527.9657624,Actuator(ptr=c_void_p(786626000)),141.0
1761781529.9797926,Actuator(ptr=c_void_p(786626000)),141.0
1761781531.990005,Actuator(ptr=c_void_p(786626000)),141.0
1761781533.9996674,Actuator(ptr=c_void_p(786626000)),141.0
1761781536.0167449,Actuator(ptr=c_void_p(786626000)),141.0
1761781538.0338068,Actuator(ptr=c_void_p(786626000)),141.0
1761781540.0460346,Actuator(ptr=c_void_p(786626000)),141.0
1761781542.0599897,Actuator(ptr=c_void_p(786626000)),141.0
1761781544.0714886,Actuator(ptr=c_void_p(786626000)),141.0
1761781546.084284,Actuator(ptr=c_void_p(786626000)),141.0
1761781548.0981038,Actuator(ptr=c_void_p(786626000)),141.0
1761781550.111436,Actuator(ptr=c_void_p(786626000)),141.0
1761781552.12074,Actuator(ptr=c_void_p(786626000)),141.0
1761781554.1350634,Actuator(ptr=c_void_p(786626000)),141.0
1761781556.14679,Actuator(ptr=c_void_p(786626000)),141.0
1761781558.1569917,Actuator(ptr=c_void_p(786626000)),141.0
1761781560.1737878,Actuator(ptr=c_void_p(786626000)),141.0
1761781562.184472,Actuator(ptr=c_void_p(786626000)),141.0
1761781564.197742,Actuator(ptr=c_void_p(786626000)),141.0
1761781566.2098002,Actuator(ptr=c_void_p(786626000)),141.0
1761781568.2198696,Actuator(ptr=c_void_p(786626000)),141.0
1761781570.2314575,Actuator(ptr=c_void_p(786626000)),141.0
