time,scope,value
1761791624.0316474,0,2558840.6458129883
1761791624.0316474,1,2558840.6458129883
1761791625.030578,0,2558996.148498535
1761791625.030578,1,2558996.148498535
1761791626.0306394,0,2559152.02154541
1761791626.0306394,1,2559152.1901245117
1761791627.030705,0,2559308.900695801
1761791627.030705,1,2559308.900695801
1761791628.0305755,0,2559465.5546875
1761791628.0305755,1,2559465.5546875
1761791629.0306358,0,2559622.294494629
1761791629.0306358,1,2559622.4404907227
1761791630.0306802,0,2559779.140930176
1761791630.0306802,1,2559779.140930176
1761791631.0306394,0,2559935.2094726562
1761791631.0306394,1,2559935.2094726562
1761791632.0306382,0,2560091.754333496
1761791632.0306382,1,2560091.754333496
1761791633.0305839,0,2560247.682739258
1761791633.0305839,1,2560247.682739258
1761791634.030648,0,2560404.6018066406
1761791634.030648,1,2560404.7520751953
1761791635.0306575,0,2560561.599914551
1761791635.0306575,1,2560561.599914551
1761791636.0306377,0,2560718.5104370117
1761791636.0306377,1,2560718.5104370117
1761791637.0306327,0,2560875.3120117188
1761791637.0306327,1,2560875.3120117188
1761791638.0307245,0,2561032.067138672
1761791638.0307245,1,2561032.067138672
1761791639.0306537,0,2561188.6473999023
1761791639.0306537,1,2561188.814880371
1761791640.0306616,0,2561345.270690918
1761791640.0306616,1,2561345.270690918
1761791641.0306559,0,2561501.7368774414
1761791641.0306559,1,2561501.7368774414
1761791642.0306582,0,2561658.207763672
1761791642.0306582,1,2561658.353088379
1761791643.0306554,0,2561814.8262939453
1761791643.0306554,1,2561814.8262939453
1761791644.0306406,0,2561971.242126465
1761791644.0306406,1,2561971.394958496
1761791645.030648,0,2562127.787109375
1761791645.030648,1,2562127.787109375
1761791646.0306308,0,2562284.4296875
1761791646.0306308,1,2562284.4296875
1761791647.0306354,0,2562441.073486328
1761791647.0306354,1,2562441.2315063477
1761791648.0306606,0,2562597.704772949
1761791648.0306606,1,2562597.704772949
1761791649.030639,0,2562754.272705078
1761791649.030639,1,2562754.272705078
1761791650.0306575,0,2562910.9765625
1761791650.0306575,1,2562910.9765625
1761791651.0306394,0,2563067.708557129
1761791651.0306394,1,2563067.8661499023
1761791652.0306365,0,2563224.398803711
1761791652.0306365,1,2563224.398803711
1761791653.0306485,0,2563381.078918457
1761791653.0306485,1,2563381.078918457
1761791654.0306363,0,2563537.888671875
1761791654.0306363,1,2563537.888671875
1761791655.0306528,0,2563694.601867676
1761791655.0306528,1,2563694.717163086
1761791656.0306273,0,2563851.152038574
1761791656.0306273,1,2563851.3435668945
1761791657.0306504,0,2564007.879638672
1761791657.0306504,1,2564008.03704834
1761791658.0306656,0,2564164.4173583984
1761791658.0306656,1,2564164.4173583984
