time,scope,value
1761791660.7559574,nrm.extra.perf.PAPI_L3_TCA.47076,2251812421.0
1761791660.7559574,nrm.extra.perf.PAPI_TOT_INS.47076,56541291147.0
1761791660.7559574,nrm.extra.perf.PAPI_TOT_CYC.47076,293267552554.0
1761791660.7559574,nrm.extra.perf.PAPI_RES_STL.47076,253124079285.0
1761791660.7559574,nrm.extra.perf.PAPI_L3_TCM.47076,1998626319.0
1761791661.7576232,nrm.extra.perf.PAPI_L3_TCA.47076,4552945713.0
1761791661.7576232,nrm.extra.perf.PAPI_TOT_INS.47076,114387655831.0
1761791661.7576232,nrm.extra.perf.PAPI_TOT_CYC.47076,592295996362.0
1761791661.7576232,nrm.extra.perf.PAPI_RES_STL.47076,510898507378.0
1761791661.7576232,nrm.extra.perf.PAPI_L3_TCM.47076,4047589438.0
1761791662.7590258,nrm.extra.perf.PAPI_L3_TCA.47076,6869409961.0
1761791662.7590258,nrm.extra.perf.PAPI_TOT_INS.47076,172297458691.0
1761791662.7590258,nrm.extra.perf.PAPI_TOT_CYC.47076,891014339929.0
1761791662.7590258,nrm.extra.perf.PAPI_RES_STL.47076,769710926790.0
1761791662.7590258,nrm.extra.perf.PAPI_L3_TCM.47076,6103714847.0
1761791663.755015,nrm.extra.perf.PAPI_L3_TCA.47076,9211940356.0
1761791663.755015,nrm.extra.perf.PAPI_TOT_INS.47076,230647757535.0
1761791663.755015,nrm.extra.perf.PAPI_TOT_CYC.47076,1192012244794.0
1761791663.755015,nrm.extra.perf.PAPI_RES_STL.47076,1031624184255.0
1761791663.755015,nrm.extra.perf.PAPI_L3_TCM.47076,8182546674.0
1761791664.7569885,nrm.extra.perf.PAPI_L3_TCA.47076,11571371824.0
1761791664.7569885,nrm.extra.perf.PAPI_TOT_INS.47076,289358642237.0
1761791664.7569885,nrm.extra.perf.PAPI_TOT_CYC.47076,1494560660575.0
1761791664.7569885,nrm.extra.perf.PAPI_RES_STL.47076,1296331126477.0
1761791664.7569885,nrm.extra.perf.PAPI_L3_TCM.47076,10284206144.0
1761791665.756857,nrm.extra.perf.PAPI_L3_TCA.47076,13945160703.0
1761791665.756857,nrm.extra.perf.PAPI_TOT_INS.47076,348107161284.0
1761791665.756857,nrm.extra.perf.PAPI_TOT_CYC.47076,1796419211548.0
1761791665.756857,nrm.extra.perf.PAPI_RES_STL.47076,1561940658969.0
1761791665.756857,nrm.extra.perf.PAPI_L3_TCM.47076,12393265398.0
1761791666.7571492,nrm.extra.perf.PAPI_L3_TCA.47076,16317872127.0
1761791666.7571492,nrm.extra.perf.PAPI_TOT_INS.47076,406864545766.0
1761791666.7571492,nrm.extra.perf.PAPI_TOT_CYC.47076,2098303271255.0
1761791666.7571492,nrm.extra.perf.PAPI_RES_STL.47076,1827397503331.0
1761791666.7571492,nrm.extra.perf.PAPI_L3_TCM.47076,14502414388.0
1761791667.7558198,nrm.extra.perf.PAPI_L3_TCA.47076,18653510129.0
1761791667.7558198,nrm.extra.perf.PAPI_TOT_INS.47076,464925093168.0
1761791667.7558198,nrm.extra.perf.PAPI_TOT_CYC.47076,2396494457026.0
1761791667.7558198,nrm.extra.perf.PAPI_RES_STL.47076,2087790139071.0
1761791667.7558198,nrm.extra.perf.PAPI_L3_TCM.47076,16574459455.0
1761791668.7562206,nrm.extra.perf.PAPI_L3_TCA.47076,21025767424.0
1761791668.7562206,nrm.extra.perf.PAPI_TOT_INS.47076,523679953290.0
1761791668.7562206,nrm.extra.perf.PAPI_TOT_CYC.47076,2698562437723.0
1761791668.7562206,nrm.extra.perf.PAPI_RES_STL.47076,2353438577935.0
1761791668.7562206,nrm.extra.perf.PAPI_L3_TCM.47076,18683867182.0
1761791669.7559865,nrm.extra.perf.PAPI_L3_TCA.47076,23366194751.0
1761791669.7559865,nrm.extra.perf.PAPI_TOT_INS.47076,581727487949.0
1761791669.7559865,nrm.extra.perf.PAPI_TOT_CYC.47076,2996689808099.0
1761791669.7559865,nrm.extra.perf.PAPI_RES_STL.47076,2614870370114.0
1761791669.7559865,nrm.extra.perf.PAPI_L3_TCM.47076,20763455358.0
1761791670.756477,nrm.extra.perf.PAPI_L3_TCA.47076,25746680096.0
1761791670.756477,nrm.extra.perf.PAPI_TOT_INS.47076,640549076302.0
1761791670.756477,nrm.extra.perf.PAPI_TOT_CYC.47076,3298731719561.0
1761791670.756477,nrm.extra.perf.PAPI_RES_STL.47076,2881254781436.0
1761791670.756477,nrm.extra.perf.PAPI_L3_TCM.47076,22880550191.0
1761791671.7603548,nrm.extra.perf.PAPI_L3_TCA.47076,28132067343.0
1761791671.7603548,nrm.extra.perf.PAPI_TOT_INS.47076,699566131259.0
1761791671.7603548,nrm.extra.perf.PAPI_TOT_CYC.47076,3601977139870.0
1761791671.7603548,nrm.extra.perf.PAPI_RES_STL.47076,3147880710396.0
1761791671.7603548,nrm.extra.perf.PAPI_L3_TCM.47076,24997647390.0
1761791672.7553825,nrm.extra.perf.PAPI_L3_TCA.47076,30454946084.0
1761791672.7553825,nrm.extra.perf.PAPI_TOT_INS.47076,757272583648.0
1761791672.7553825,nrm.extra.perf.PAPI_TOT_CYC.47076,3898623796681.0
1761791672.7553825,nrm.extra.perf.PAPI_RES_STL.47076,3407542788841.0
1761791672.7553825,nrm.extra.perf.PAPI_L3_TCM.47076,27062806885.0
1761791673.7558713,nrm.extra.perf.PAPI_L3_TCA.47076,32793356854.0
