time,actuator,value
1761836141.6033316,Actuator(ptr=c_void_p(485893568)),101.0
1761836143.6148846,Actuator(ptr=c_void_p(485893568)),101.0
1761836145.62625,Actuator(ptr=c_void_p(485893568)),101.0
1761836147.64254,Actuator(ptr=c_void_p(485893568)),101.0
1761836149.65602,Actuator(ptr=c_void_p(485893568)),101.0
1761836151.6653724,Actuator(ptr=c_void_p(485893568)),101.0
1761836153.6774077,Actuator(ptr=c_void_p(485893568)),101.0
1761836155.6907856,Actuator(ptr=c_void_p(485893568)),101.0
1761836157.7007637,Actuator(ptr=c_void_p(485893568)),101.0
1761836159.7133648,Actuator(ptr=c_void_p(485893568)),101.0
1761836161.7259567,Actuator(ptr=c_void_p(485893568)),101.0
1761836163.736268,Actuator(ptr=c_void_p(485893568)),101.0
1761836165.7532785,Actuator(ptr=c_void_p(485893568)),101.0
1761836167.7687001,Actuator(ptr=c_void_p(485893568)),101.0
1761836169.781375,Actuator(ptr=c_void_p(485893568)),101.0
1761836171.7955635,Actuator(ptr=c_void_p(485893568)),101.0
1761836173.806952,Actuator(ptr=c_void_p(485893568)),101.0
1761836175.818305,Actuator(ptr=c_void_p(485893568)),101.0
1761836177.8289633,Actuator(ptr=c_void_p(485893568)),101.0
1761836179.8413436,Actuator(ptr=c_void_p(485893568)),101.0
1761836181.8544126,Actuator(ptr=c_void_p(485893568)),101.0
1761836183.866684,Actuator(ptr=c_void_p(485893568)),101.0
1761836185.8751135,Actuator(ptr=c_void_p(485893568)),101.0
1761836187.8859003,Actuator(ptr=c_void_p(485893568)),101.0
1761836189.8980846,Actuator(ptr=c_void_p(485893568)),101.0
1761836191.909975,Actuator(ptr=c_void_p(485893568)),101.0
1761836193.9210153,Actuator(ptr=c_void_p(485893568)),101.0
