time,scope,value
1761836684.1055553,nrm.extra.perf.PAPI_L3_TCA.77217,2408137331.0
1761836684.1055553,nrm.extra.perf.PAPI_TOT_INS.77217,46701664602.0
1761836684.1055553,nrm.extra.perf.PAPI_TOT_CYC.77217,280180321696.0
1761836684.1055553,nrm.extra.perf.PAPI_RES_STL.77217,247772850423.0
1761836684.1055553,nrm.extra.perf.PAPI_L3_TCM.77217,2264029926.0
1761836685.099257,nrm.extra.perf.PAPI_L3_TCA.77217,4814431508.0
1761836685.099257,nrm.extra.perf.PAPI_TOT_INS.77217,93344353655.0
1761836685.099257,nrm.extra.perf.PAPI_TOT_CYC.77217,541162761968.0
1761836685.099257,nrm.extra.perf.PAPI_RES_STL.77217,475050544944.0
1761836685.099257,nrm.extra.perf.PAPI_L3_TCM.77217,4501657527.0
1761836686.1034765,nrm.extra.perf.PAPI_L3_TCA.77217,7229129896.0
1761836686.1034765,nrm.extra.perf.PAPI_TOT_INS.77217,140066333951.0
1761836686.1034765,nrm.extra.perf.PAPI_TOT_CYC.77217,802542573484.0
1761836686.1034765,nrm.extra.perf.PAPI_RES_STL.77217,704265289651.0
1761836686.1034765,nrm.extra.perf.PAPI_L3_TCM.77217,6770163418.0
1761836687.0972695,nrm.extra.perf.PAPI_L3_TCA.77217,9645446485.0
1761836687.0972695,nrm.extra.perf.PAPI_TOT_INS.77217,186490222484.0
1761836687.0972695,nrm.extra.perf.PAPI_TOT_CYC.77217,1061420988232.0
1761836687.0972695,nrm.extra.perf.PAPI_RES_STL.77217,932338739316.0
1761836687.0972695,nrm.extra.perf.PAPI_L3_TCM.77217,9026806634.0
1761836688.0979686,nrm.extra.perf.PAPI_L3_TCA.77217,12103683618.0
1761836688.0979686,nrm.extra.perf.PAPI_TOT_INS.77217,233667104648.0
1761836688.0979686,nrm.extra.perf.PAPI_TOT_CYC.77217,1324722200548.0
1761836688.0979686,nrm.extra.perf.PAPI_RES_STL.77217,1165510299060.0
1761836688.0979686,nrm.extra.perf.PAPI_L3_TCM.77217,11330969963.0
