time,scope,value
1762349400.598688,0,49.44103575859766
1762349400.598688,1,110.03491726130636
1762349401.5985956,0,115.07576024945844
1762349401.5985956,1,104.99692155504509
1762349402.5986328,0,105.97285121213459
1762349402.5986328,1,104.82926688214212
1762349403.5986586,0,106.25910093506589
1762349403.5986586,1,100.28114148267927
1762349404.5986378,0,106.98418818164757
1762349404.5986378,1,107.06289149031977
1762349405.5985658,0,107.4953876941252
1762349405.5985658,1,106.67940048254849
1762349406.5986385,0,106.24574693910486
1762349406.5986385,1,105.14183013077225
1762349407.5987062,0,106.46635838421096
1762349407.5987062,1,104.93130791061483
1762349408.5986476,0,105.98128686383083
1762349408.5986476,1,102.20977090689591
1762349409.5986912,0,105.64575755495667
1762349409.5986912,1,104.3410247194122
1762349410.5986514,0,107.27858978747813
1762349410.5986514,1,106.03486195030241
1762349411.598716,0,105.1612734300136
1762349411.598716,1,108.88572147941517
1762349412.5985646,0,106.86211338061241
1762349412.5985646,1,107.4105139584544
1762349413.5986445,0,107.0070473960291
1762349413.5986445,1,108.05049012270558
1762349414.5986426,0,106.01881288606828
1762349414.5986426,1,106.06996422255139
1762349415.5986578,0,107.97463586669943
1762349415.5986578,1,107.13789366824172
1762349416.5985787,0,107.7785543136886
1762349416.5985787,1,106.39331667546477
1762349417.5986261,0,106.36813405690013
1762349417.5986261,1,106.67486411877884
1762349418.5986524,0,106.86926737106305
1762349418.5986524,1,107.92401152201495
