time,scope,value
1762350102.8121367,nrm.extra.perf.PAPI_L3_TCA.176487,2235888338.0
1762350102.8121367,nrm.extra.perf.PAPI_TOT_INS.176487,49081016237.0
1762350102.8121367,nrm.extra.perf.PAPI_TOT_CYC.176487,289728002099.0
1762350102.8121367,nrm.extra.perf.PAPI_RES_STL.176487,254416504022.0
1762350102.8121367,nrm.extra.perf.PAPI_L3_TCM.176487,1987817980.0
1762350103.808575,nrm.extra.perf.PAPI_L3_TCA.176487,4639502164.0
1762350103.808575,nrm.extra.perf.PAPI_TOT_INS.176487,99087678863.0
1762350103.808575,nrm.extra.perf.PAPI_TOT_CYC.176487,587822207261.0
1762350103.808575,nrm.extra.perf.PAPI_RES_STL.176487,516920153772.0
1762350103.808575,nrm.extra.perf.PAPI_L3_TCM.176487,4182156352.0
1762350104.8181086,nrm.extra.perf.PAPI_L3_TCA.176487,7154472884.0
1762350104.8181086,nrm.extra.perf.PAPI_TOT_INS.176487,144529789928.0
1762350104.8181086,nrm.extra.perf.PAPI_TOT_CYC.176487,888222242303.0
1762350104.8181086,nrm.extra.perf.PAPI_RES_STL.176487,784267545642.0
1762350104.8181086,nrm.extra.perf.PAPI_L3_TCM.176487,6545293051.0
1762350105.808195,nrm.extra.perf.PAPI_L3_TCA.176487,9573542235.0
1762350105.808195,nrm.extra.perf.PAPI_TOT_INS.176487,192983183265.0
1762350105.808195,nrm.extra.perf.PAPI_TOT_CYC.176487,1185118313303.0
1762350105.808195,nrm.extra.perf.PAPI_RES_STL.176487,1047753540105.0
1762350105.808195,nrm.extra.perf.PAPI_L3_TCM.176487,8751530481.0
1762350106.8092725,nrm.extra.perf.PAPI_L3_TCA.176487,11916872991.0
1762350106.8092725,nrm.extra.perf.PAPI_TOT_INS.176487,248364198049.0
1762350106.8092725,nrm.extra.perf.PAPI_TOT_CYC.176487,1486176181783.0
1762350106.8092725,nrm.extra.perf.PAPI_RES_STL.176487,1311340285978.0
1762350106.8092725,nrm.extra.perf.PAPI_L3_TCM.176487,10840611294.0
