time,scope,value
1770007492.5004494,nrm.extra.perf.PAPI_L3_TCA.182599,34679405.0
1770007492.5004494,nrm.extra.perf.PAPI_TOT_INS.182599,13746789056.0
1770007492.5004494,nrm.extra.perf.PAPI_TOT_CYC.182599,15677514099.0
1770007492.5004494,nrm.extra.perf.PAPI_RES_STL.182599,4975878378.0
1770007492.5004494,nrm.extra.perf.PAPI_L3_TCM.182599,28549751.0
1770007493.4989448,nrm.extra.perf.PAPI_L3_TCA.182599,698566197.0
1770007493.4989448,nrm.extra.perf.PAPI_TOT_INS.182599,237330288754.0
1770007493.4989448,nrm.extra.perf.PAPI_TOT_CYC.182599,271165407896.0
1770007493.4989448,nrm.extra.perf.PAPI_RES_STL.182599,103207826285.0
1770007493.4989448,nrm.extra.perf.PAPI_L3_TCM.182599,616560158.0
1770007494.4991083,nrm.extra.perf.PAPI_L3_TCA.182599,1275233787.0
1770007494.4991083,nrm.extra.perf.PAPI_TOT_INS.182599,447811606931.0
1770007494.4991083,nrm.extra.perf.PAPI_TOT_CYC.182599,489979346062.0
1770007494.4991083,nrm.extra.perf.PAPI_RES_STL.182599,175029403419.0
1770007494.4991083,nrm.extra.perf.PAPI_L3_TCM.182599,1119081547.0
1770007495.497215,nrm.extra.perf.PAPI_L3_TCA.182599,1903698039.0
1770007495.497215,nrm.extra.perf.PAPI_TOT_INS.182599,662016482440.0
1770007495.497215,nrm.extra.perf.PAPI_TOT_CYC.182599,708513690376.0
1770007495.497215,nrm.extra.perf.PAPI_RES_STL.182599,245058957961.0
1770007495.497215,nrm.extra.perf.PAPI_L3_TCM.182599,1670130118.0
1770007496.4966862,nrm.extra.perf.PAPI_L3_TCA.182599,2528910512.0
1770007496.4966862,nrm.extra.perf.PAPI_TOT_INS.182599,873033076525.0
1770007496.4966862,nrm.extra.perf.PAPI_TOT_CYC.182599,933215072923.0
1770007496.4966862,nrm.extra.perf.PAPI_RES_STL.182599,312503590306.0
1770007496.4966862,nrm.extra.perf.PAPI_L3_TCM.182599,2220072933.0
1770007497.498125,nrm.extra.perf.PAPI_L3_TCA.182599,3154275424.0
1770007497.498125,nrm.extra.perf.PAPI_TOT_INS.182599,1083182309746.0
1770007497.498125,nrm.extra.perf.PAPI_TOT_CYC.182599,1155258382099.0
1770007497.498125,nrm.extra.perf.PAPI_RES_STL.182599,381194908756.0
1770007497.498125,nrm.extra.perf.PAPI_L3_TCM.182599,2770617125.0
1770007498.5037477,nrm.extra.perf.PAPI_L3_TCA.182599,3750433418.0
1770007498.5037477,nrm.extra.perf.PAPI_TOT_INS.182599,1288602244301.0
1770007498.5037477,nrm.extra.perf.PAPI_TOT_CYC.182599,1379933629711.0
1770007498.5037477,nrm.extra.perf.PAPI_RES_STL.182599,450342230431.0
1770007498.5037477,nrm.extra.perf.PAPI_L3_TCM.182599,3301276558.0
1770007499.5001934,nrm.extra.perf.PAPI_L3_TCA.182599,4321158468.0
1770007499.5001934,nrm.extra.perf.PAPI_TOT_INS.182599,1498754998863.0
1770007499.5001934,nrm.extra.perf.PAPI_TOT_CYC.182599,1601835361431.0
1770007499.5001934,nrm.extra.perf.PAPI_RES_STL.182599,516164044909.0
1770007499.5001934,nrm.extra.perf.PAPI_L3_TCM.182599,3799492782.0
1770007500.5010877,nrm.extra.perf.PAPI_L3_TCA.182599,4943730524.0
1770007500.5010877,nrm.extra.perf.PAPI_TOT_INS.182599,1706988582091.0
1770007500.5010877,nrm.extra.perf.PAPI_TOT_CYC.182599,1822181574230.0
1770007500.5010877,nrm.extra.perf.PAPI_RES_STL.182599,586340314475.0
1770007500.5010877,nrm.extra.perf.PAPI_L3_TCM.182599,4340046736.0
1770007501.496744,nrm.extra.perf.PAPI_L3_TCA.182599,5565495373.0
1770007501.496744,nrm.extra.perf.PAPI_TOT_INS.182599,1914384275221.0
1770007501.496744,nrm.extra.perf.PAPI_TOT_CYC.182599,2038703758515.0
1770007501.496744,nrm.extra.perf.PAPI_RES_STL.182599,651547726094.0
1770007501.496744,nrm.extra.perf.PAPI_L3_TCM.182599,4868290679.0
1770007502.5024402,nrm.extra.perf.PAPI_L3_TCA.182599,6144126582.0
1770007502.5024402,nrm.extra.perf.PAPI_TOT_INS.182599,2123192736128.0
1770007502.5024402,nrm.extra.perf.PAPI_TOT_CYC.182599,2261968139705.0
1770007502.5024402,nrm.extra.perf.PAPI_RES_STL.182599,710909833904.0
1770007502.5024402,nrm.extra.perf.PAPI_L3_TCM.182599,5364039345.0
1770007503.4998345,nrm.extra.perf.PAPI_L3_TCA.182599,6735919754.0
1770007503.4998345,nrm.extra.perf.PAPI_TOT_INS.182599,2336797277380.0
1770007503.4998345,nrm.extra.perf.PAPI_TOT_CYC.182599,2486983017758.0
1770007503.4998345,nrm.extra.perf.PAPI_RES_STL.182599,769898161456.0
1770007503.4998345,nrm.extra.perf.PAPI_L3_TCM.182599,5856799590.0
1770007504.497175,nrm.extra.perf.PAPI_L3_TCA.182599,7357374233.0
1770007504.497175,nrm.extra.perf.PAPI_TOT_INS.182599,2543901795338.0
1770007504.497175,nrm.extra.perf.PAPI_TOT_CYC.182599,2707985783377.0
1770007504.497175,nrm.extra.perf.PAPI_RES_STL.182599,831571058522.0
1770007504.497175,nrm.extra.perf.PAPI_L3_TCM.182599,6385897975.0
1770007505.5001366,nrm.extra.perf.PAPI_L3_TCA.182599,7985460827.0
1770007505.5001366,nrm.extra.perf.PAPI_TOT_INS.182599,2760088940866.0
1770007505.5001366,nrm.extra.perf.PAPI_TOT_CYC.182599,2930046543293.0
1770007505.5001366,nrm.extra.perf.PAPI_RES_STL.182599,894186921642.0
1770007505.5001366,nrm.extra.perf.PAPI_L3_TCM.182599,6919210789.0
1770007506.4971647,nrm.extra.perf.PAPI_L3_TCA.182599,8615166741.0
1770007506.4971647,nrm.extra.perf.PAPI_TOT_INS.182599,2978498461190.0
1770007506.4971647,nrm.extra.perf.PAPI_TOT_CYC.182599,3150335208901.0
1770007506.4971647,nrm.extra.perf.PAPI_RES_STL.182599,956736418426.0
1770007506.4971647,nrm.extra.perf.PAPI_L3_TCM.182599,7452300902.0
1770007507.496849,nrm.extra.perf.PAPI_L3_TCA.182599,9247714805.0
1770007507.496849,nrm.extra.perf.PAPI_TOT_INS.182599,3200775191403.0
1770007507.496849,nrm.extra.perf.PAPI_TOT_CYC.182599,3372662987817.0
1770007507.496849,nrm.extra.perf.PAPI_RES_STL.182599,1019536260720.0
1770007507.496849,nrm.extra.perf.PAPI_L3_TCM.182599,7986468405.0
1770007508.4981303,nrm.extra.perf.PAPI_L3_TCA.182599,9873745682.0
1770007508.4981303,nrm.extra.perf.PAPI_TOT_INS.182599,3415672950399.0
1770007508.4981303,nrm.extra.perf.PAPI_TOT_CYC.182599,3597738470442.0
1770007508.4981303,nrm.extra.perf.PAPI_RES_STL.182599,1081660619623.0
1770007508.4981303,nrm.extra.perf.PAPI_L3_TCM.182599,8516859757.0
1770007509.4992259,nrm.extra.perf.PAPI_L3_TCA.182599,10503326340.0
1770007509.4992259,nrm.extra.perf.PAPI_TOT_INS.182599,3634025820808.0
1770007509.4992259,nrm.extra.perf.PAPI_TOT_CYC.182599,3821424661395.0
1770007509.4992259,nrm.extra.perf.PAPI_RES_STL.182599,1144855494417.0
1770007509.4992259,nrm.extra.perf.PAPI_L3_TCM.182599,9051419571.0
1770007510.4967034,nrm.extra.perf.PAPI_L3_TCA.182599,11126228426.0
1770007510.4967034,nrm.extra.perf.PAPI_TOT_INS.182599,3843575783561.0
1770007510.4967034,nrm.extra.perf.PAPI_TOT_CYC.182599,4043900710538.0
1770007510.4967034,nrm.extra.perf.PAPI_RES_STL.182599,1206906555067.0
1770007510.4967034,nrm.extra.perf.PAPI_L3_TCM.182599,9579248402.0
1770007511.5010054,nrm.extra.perf.PAPI_L3_TCA.182599,11747561998.0
1770007511.5010054,nrm.extra.perf.PAPI_TOT_INS.182599,4052123663037.0
1770007511.5010054,nrm.extra.perf.PAPI_TOT_CYC.182599,4264129896781.0
1770007511.5010054,nrm.extra.perf.PAPI_RES_STL.182599,1269014787100.0
1770007511.5010054,nrm.extra.perf.PAPI_L3_TCM.182599,10107208131.0
