time,actuator,value
1770013576.6395214,Actuator(ptr=c_void_p(271801056)),136.0
1770013584.6856198,Actuator(ptr=c_void_p(271801056)),136.0
1770013592.7388055,Actuator(ptr=c_void_p(271801056)),136.0
1770013600.774845,Actuator(ptr=c_void_p(271801056)),136.0
1770013608.831862,Actuator(ptr=c_void_p(271801056)),136.0
1770013616.8745074,Actuator(ptr=c_void_p(271801056)),136.0
1770013624.9246254,Actuator(ptr=c_void_p(271801056)),136.0
1770013632.9798818,Actuator(ptr=c_void_p(271801056)),136.0
1770013641.029456,Actuator(ptr=c_void_p(271801056)),136.0
1770013649.0796404,Actuator(ptr=c_void_p(271801056)),136.0
1770013657.1234841,Actuator(ptr=c_void_p(271801056)),136.0
1770013665.1811898,Actuator(ptr=c_void_p(271801056)),136.0
1770013673.2175238,Actuator(ptr=c_void_p(271801056)),136.0
1770013681.2658114,Actuator(ptr=c_void_p(271801056)),136.0
1770013689.3223493,Actuator(ptr=c_void_p(271801056)),136.0
1770013697.376066,Actuator(ptr=c_void_p(271801056)),136.0
1770013705.4186375,Actuator(ptr=c_void_p(271801056)),136.0
1770013713.4594557,Actuator(ptr=c_void_p(271801056)),136.0
1770013721.5081925,Actuator(ptr=c_void_p(271801056)),136.0
1770013729.5609274,Actuator(ptr=c_void_p(271801056)),136.0
1770013737.6089158,Actuator(ptr=c_void_p(271801056)),136.0
1770013745.6525707,Actuator(ptr=c_void_p(271801056)),136.0
