time,scope,value
1772214904.2626586,0,34342.235107421875
1772214904.2626586,1,34342.235107421875
1772214905.2625885,0,34394.36932373047
1772214905.2625885,1,34394.36932373047
1772214906.2625039,0,34446.65466308594
1772214906.2625039,1,34446.65466308594
1772214907.2624152,0,34498.886962890625
1772214907.2624152,1,34498.886962890625
1772214908.26237,0,34551.17077636719
1772214908.26237,1,34551.17077636719
1772214909.262283,0,34603.404724121094
1772214909.262283,1,34603.404724121094
1772214910.2622054,0,34655.69921875
1772214910.2622054,1,34655.69921875
1772214911.263114,0,34707.987243652344
1772214911.263114,1,34707.987243652344
1772214912.2630377,0,34760.24279785156
1772214912.2630377,1,34760.24279785156
1772214913.2629461,0,34812.540954589844
1772214913.2629461,1,34812.540954589844
1772214914.2628427,0,34864.84356689453
1772214914.2628427,1,34864.84356689453
1772214915.2627468,0,34917.28479003906
1772214915.2627468,1,34917.28479003906
1772214916.2623403,0,35015.50311279297
1772214916.2623403,1,35015.50311279297
1772214917.262325,0,35093.316467285156
1772214917.262325,1,35093.316467285156
1772214918.2623365,0,35171.076416015625
1772214918.2623365,1,35171.076416015625
1772214919.2623248,0,35248.7890625
1772214919.2623248,1,35248.87976074219
1772214920.262335,0,35326.59582519531
1772214920.262335,1,35326.59582519531
1772214921.2623417,0,35404.39050292969
1772214921.2623417,1,35404.39050292969
1772214922.2623177,0,35482.142333984375
1772214922.2623177,1,35482.142333984375
1772214923.2623174,0,35559.953552246094
1772214923.2623174,1,35559.953552246094
1772214924.2623065,0,35637.66711425781
1772214924.2623065,1,35637.66711425781
1772214925.2633631,0,35715.50958251953
1772214925.2633631,1,35715.59484863281
1772214926.2623315,0,35793.24133300781
1772214926.2623315,1,35793.24133300781
1772214927.262326,0,35870.99542236328
1772214927.262326,1,35871.07745361328
1772214928.2623196,0,35948.809326171875
1772214928.2623196,1,35948.809326171875
1772214929.2623277,0,36026.558532714844
1772214929.2623277,1,36026.558532714844
1772214930.2623262,0,36104.290100097656
1772214930.2623262,1,36104.38592529297
1772214931.2623262,0,36182.114013671875
1772214931.2623262,1,36182.114013671875
1772214932.262328,0,36259.870849609375
1772214932.262328,1,36259.870849609375
1772214933.2623224,0,36337.67541503906
1772214933.2623224,1,36337.67541503906
1772214934.26232,0,36415.43005371094
1772214934.26232,1,36415.489990234375
1772214935.2623284,0,36493.15441894531
1772214935.2623284,1,36493.2470703125
1772214936.2623265,0,36570.975830078125
1772214936.2623265,1,36570.975830078125
1772214937.2623267,0,36648.719177246094
1772214937.2623267,1,36648.80157470703
1772214938.2623243,0,36726.52819824219
1772214938.2623243,1,36726.52819824219
1772214939.2623188,0,36804.33184814453
1772214939.2623188,1,36804.33184814453
1772214940.262339,0,36882.078674316406
1772214940.262339,1,36882.078674316406
1772214941.2623262,0,36959.845153808594
1772214941.2623262,1,36959.845153808594
1772214942.262334,0,37037.647216796875
1772214942.262334,1,37037.647216796875
1772214943.2623215,0,37115.35729980469
1772214943.2623215,1,37115.35729980469
1772214944.2623255,0,37193.189880371094
1772214944.2623255,1,37193.189880371094
1772214945.2623353,0,37270.921447753906
1772214945.2623353,1,37270.99645996094
1772214946.2623253,0,37348.724670410156
1772214946.2623253,1,37348.724670410156
1772214947.2623322,0,37426.474609375
1772214947.2623322,1,37426.474609375
1772214948.2623262,0,37504.27795410156
1772214948.2623262,1,37504.27795410156
1772214949.262355,0,37582.02185058594
1772214949.262355,1,37582.08319091797
1772214950.2623384,0,37659.814697265625
1772214950.2623384,1,37659.814697265625
1772214951.2623217,0,37737.54504394531
1772214951.2623217,1,37737.62890625
1772214952.2623048,0,37815.36004638672
1772214952.2623048,1,37815.36004638672
1772214953.262329,0,37893.094177246094
1772214953.262329,1,37893.094177246094
1772214954.2623248,0,37970.925231933594
1772214954.2623248,1,37970.925231933594
1772214955.2623286,0,38048.64715576172
1772214955.2623286,1,38048.72039794922
1772214956.2623367,0,38126.467834472656
1772214956.2623367,1,38126.467834472656
1772214957.262371,0,38204.20373535156
1772214957.262371,1,38204.26989746094
1772214958.2623303,0,38281.99853515625
1772214958.2623303,1,38281.99853515625
1772214959.2623258,0,38359.76318359375
1772214959.2623258,1,38359.76318359375
1772214960.262313,0,38437.56408691406
1772214960.262313,1,38437.56408691406
1772214961.262316,0,38515.312927246094
1772214961.262316,1,38515.312927246094
1772214962.2623365,0,38593.052185058594
1772214962.2623365,1,38593.14288330078
1772214963.2623281,0,38670.858642578125
1772214963.2623281,1,38670.858642578125
1772214964.262317,0,38748.660095214844
1772214964.262317,1,38748.660095214844
1772214965.2623289,0,38826.40197753906
1772214965.2623289,1,38826.40197753906
1772214966.2623374,0,38904.155700683594
1772214966.2623374,1,38904.241455078125
1772214967.2623258,0,38981.98449707031
1772214967.2623258,1,38981.98449707031
1772214968.2623334,0,39059.709045410156
1772214968.2623334,1,39059.784606933594
1772214969.262313,0,39137.536071777344
1772214969.262313,1,39137.536071777344
1772214970.262335,0,39215.258728027344
1772214970.262335,1,39215.33508300781
1772214971.262332,0,39293.07977294922
1772214971.262332,1,39293.07977294922
1772214972.2623222,0,39370.816345214844
1772214972.2623222,1,39370.816345214844
1772214973.2623246,0,39448.629333496094
1772214973.2623246,1,39448.629333496094
1772214974.2623239,0,39526.37365722656
1772214974.2623239,1,39526.37365722656
1772214975.2623315,0,39604.12634277344
1772214975.2623315,1,39604.20068359375
1772214976.2623355,0,39681.94079589844
1772214976.2623355,1,39681.94079589844
1772214977.2623267,0,39759.665466308594
1772214977.2623267,1,39759.74530029297
1772214978.2623303,0,39837.49743652344
1772214978.2623303,1,39837.49743652344
1772214979.2623503,0,39915.23278808594
1772214979.2623503,1,39915.308837890625
1772214980.2623289,0,39993.044860839844
1772214980.2623289,1,39993.044860839844
1772214981.2623258,0,40070.775329589844
1772214981.2623258,1,40070.775329589844
1772214982.2623224,0,40148.584411621094
1772214982.2623224,1,40148.584411621094
1772214983.2623248,0,40226.337341308594
1772214983.2623248,1,40226.337341308594
1772214984.26232,0,40304.143981933594
1772214984.26232,1,40304.143981933594
1772214985.2623122,0,40381.8876953125
1772214985.2623122,1,40381.8876953125
1772214986.2623267,0,40459.61993408203
1772214986.2623267,1,40459.71276855469
1772214987.2623262,0,40537.439208984375
1772214987.2623262,1,40537.439208984375
1772214988.2623227,0,40615.181213378906
1772214988.2623227,1,40615.181213378906
1772214989.2623384,0,40692.99053955078
1772214989.2623384,1,40692.99053955078
1772214990.2623272,0,40770.737731933594
1772214990.2623272,1,40770.737731933594
1772214991.2623298,0,40848.55358886719
1772214991.2623298,1,40848.55358886719
1772214992.2623298,0,40926.30633544922
1772214992.2623298,1,40926.30633544922
1772214993.2623184,0,41004.103454589844
1772214993.2623184,1,41004.103454589844
1772214994.262328,0,41081.842712402344
1772214994.262328,1,41081.842712402344
1772214995.2623239,0,41159.625549316406
1772214995.2623239,1,41159.625549316406
1772214996.2623234,0,41237.42932128906
1772214996.2623234,1,41237.42932128906
1772214997.2623196,0,41315.158142089844
1772214997.2623196,1,41315.158142089844
1772214998.2623286,0,41392.988220214844
1772214998.2623286,1,41392.988220214844
1772214999.262321,0,41470.7216796875
1772214999.262321,1,41470.7216796875
1772215000.26232,0,41548.46728515625
1772215000.26232,1,41548.46728515625
1772215001.2623389,0,41626.32635498047
1772215001.2623389,1,41626.32635498047
1772215002.2623281,0,41704.03155517578
1772215002.2623281,1,41704.03155517578
1772215003.262333,0,41781.77941894531
1772215003.262333,1,41781.77941894531
1772215004.262323,0,41859.59313964844
1772215004.262323,1,41859.59313964844
1772215005.2623255,0,41937.333435058594
1772215005.2623255,1,41937.333435058594
1772215006.2623358,0,42015.16033935547
1772215006.2623358,1,42015.16033935547
1772215007.2623258,0,42092.89923095703
1772215007.2623258,1,42092.89923095703
1772215008.2623787,0,42170.710998535156
1772215008.2623787,1,42170.710998535156
1772215009.2623408,0,42248.451171875
1772215009.2623408,1,42248.451171875
1772215010.2623217,0,42326.24151611328
1772215010.2623217,1,42326.24151611328
1772215011.2623339,0,42403.988708496094
1772215011.2623339,1,42403.988708496094
1772215012.2623267,0,42481.79772949219
1772215012.2623267,1,42481.79772949219
1772215013.2623227,0,42559.520568847656
1772215013.2623227,1,42559.520568847656
1772215014.2623208,0,42637.355895996094
1772215014.2623208,1,42637.355895996094
1772215015.262319,0,42715.093200683594
1772215015.262319,1,42715.093200683594
1772215016.2623265,0,42792.8291015625
1772215016.2623265,1,42792.91174316406
1772215017.2623239,0,42870.63006591797
1772215017.2623239,1,42870.63006591797
1772215018.2623224,0,42948.43426513672
1772215018.2623224,1,42948.43426513672
1772215019.2623167,0,43026.19287109375
1772215019.2623167,1,43026.19287109375
1772215020.262327,0,43103.987731933594
1772215020.262327,1,43103.987731933594
1772215021.2623332,0,43181.724365234375
1772215021.2623332,1,43181.724365234375
1772215022.2623353,0,43259.470153808594
1772215022.2623353,1,43259.5458984375
1772215023.2623277,0,43337.28680419922
1772215023.2623277,1,43337.28680419922
1772215024.2623208,0,43415.037170410156
1772215024.2623208,1,43415.037170410156
1772215025.262321,0,43492.826904296875
1772215025.262321,1,43492.826904296875
1772215026.2623286,0,43570.587951660156
1772215026.2623286,1,43570.587951660156
1772215027.2623239,0,43648.408935546875
1772215027.2623239,1,43648.408935546875
