time,actuator,value
1772215273.8163218,Actuator(ptr=c_void_p(443574048)),83.0
1772215281.822998,Actuator(ptr=c_void_p(443574048)),83.0
1772215289.8353217,Actuator(ptr=c_void_p(443574048)),83.0
1772215297.8494878,Actuator(ptr=c_void_p(443574048)),83.0
1772215305.8635046,Actuator(ptr=c_void_p(443574048)),83.0
1772215313.8772488,Actuator(ptr=c_void_p(443574048)),83.0
1772215321.8920362,Actuator(ptr=c_void_p(443574048)),83.0
1772215329.907492,Actuator(ptr=c_void_p(443574048)),83.0
1772215337.921949,Actuator(ptr=c_void_p(443574048)),83.0
1772215345.9356651,Actuator(ptr=c_void_p(443574048)),83.0
1772215353.951275,Actuator(ptr=c_void_p(443574048)),83.0
1772215362.0012302,Actuator(ptr=c_void_p(443574048)),83.0
1772215370.0153494,Actuator(ptr=c_void_p(443574048)),83.0
1772215378.0293097,Actuator(ptr=c_void_p(443574048)),83.0
1772215386.0440042,Actuator(ptr=c_void_p(443574048)),83.0
