time,scope,value
1770000328.0907898,0,7935419.607727051
1770000328.0907898,1,7935419.607727051
1770000329.0907876,0,7935561.859313965
1770000329.0907876,1,7935561.859313965
1770000330.0907934,0,7935695.078369141
1770000330.0907934,1,7935695.078369141
1770000331.0907922,0,7935824.6443481445
1770000331.0907922,1,7935824.6443481445
1770000332.0907948,0,7935954.294799805
1770000332.0907948,1,7935954.294799805
1770000333.0907936,0,7936083.918029785
1770000333.0907936,1,7936084.028686523
1770000334.0907907,0,7936213.589538574
1770000334.0907907,1,7936213.666931152
1770000335.090788,0,7936343.1494140625
1770000335.090788,1,7936343.1494140625
1770000336.090783,0,7936472.623352051
1770000336.090783,1,7936472.623352051
1770000337.0908039,0,7936601.718444824
1770000337.0908039,1,7936601.96105957
1770000338.0907989,0,7936731.416320801
1770000338.0907989,1,7936731.416320801
1770000339.090796,0,7936861.105712891
1770000339.090796,1,7936861.105712891
1770000340.090793,0,7936990.717529297
1770000340.090793,1,7936990.717529297
1770000341.0907943,0,7937120.327270508
1770000341.0907943,1,7937120.327270508
1770000342.0907917,0,7937249.996154785
1770000342.0907917,1,7937249.996154785
1770000343.0907912,0,7937379.603210449
1770000343.0907912,1,7937379.603210449
1770000344.0907843,0,7937509.206115723
1770000344.0907843,1,7937509.206115723
1770000345.0908105,0,7937638.7908325195
1770000345.0908105,1,7937638.7908325195
1770000346.090794,0,7937768.473205566
1770000346.090794,1,7937768.473205566
1770000347.090791,0,7937898.114440918
1770000347.090791,1,7937898.223205566
1770000348.0908027,0,7938027.770385742
1770000348.0908027,1,7938027.770385742
1770000349.0907917,0,7938157.364685059
1770000349.0907917,1,7938157.364685059
1770000350.090796,0,7938286.920593262
1770000350.090796,1,7938286.920593262
1770000351.0907912,0,7938416.557922363
1770000351.0907912,1,7938416.557922363
1770000352.09079,0,7938546.222351074
1770000352.09079,1,7938546.222351074
1770000353.0907872,0,7938675.849487305
1770000353.0907872,1,7938676.405334473
1770000354.0907886,0,7938805.3876953125
1770000354.0907886,1,7938805.3876953125
1770000355.0907857,0,7938935.027404785
1770000355.0907857,1,7938935.027404785
1770000356.0907948,0,7939064.728027344
1770000356.0907948,1,7939064.728027344
1770000357.090786,0,7939194.27331543
1770000357.090786,1,7939194.27331543
1770000358.090797,0,7939324.033203125
