time,scope,value
1770031022.235884,nrm.extra.perf.PAPI_L3_TCA.204613,455995035.0
1770031022.235884,nrm.extra.perf.PAPI_TOT_INS.204613,148634188900.0
1770031022.235884,nrm.extra.perf.PAPI_TOT_CYC.204613,259208669278.0
1770031022.235884,nrm.extra.perf.PAPI_RES_STL.204613,126309871332.0
1770031022.235884,nrm.extra.perf.PAPI_L3_TCM.204613,47515251.0
1770031023.2328432,nrm.extra.perf.PAPI_L3_TCA.204613,956453335.0
1770031023.2328432,nrm.extra.perf.PAPI_TOT_INS.204613,311007082571.0
1770031023.2328432,nrm.extra.perf.PAPI_TOT_CYC.204613,534749382907.0
1770031023.2328432,nrm.extra.perf.PAPI_RES_STL.204613,263923439868.0
1770031023.2328432,nrm.extra.perf.PAPI_L3_TCM.204613,98874495.0
1770031024.235857,nrm.extra.perf.PAPI_L3_TCA.204613,1458554328.0
1770031024.235857,nrm.extra.perf.PAPI_TOT_INS.204613,473937261280.0
1770031024.235857,nrm.extra.perf.PAPI_TOT_CYC.204613,811185114219.0
1770031024.235857,nrm.extra.perf.PAPI_RES_STL.204613,401969271899.0
1770031024.235857,nrm.extra.perf.PAPI_L3_TCM.204613,151305447.0
1770031025.2329056,nrm.extra.perf.PAPI_L3_TCA.204613,1958212607.0
1770031025.2329056,nrm.extra.perf.PAPI_TOT_INS.204613,636127440499.0
1770031025.2329056,nrm.extra.perf.PAPI_TOT_CYC.204613,1086997793119.0
1770031025.2329056,nrm.extra.perf.PAPI_RES_STL.204613,539366760202.0
1770031025.2329056,nrm.extra.perf.PAPI_L3_TCM.204613,202987437.0
1770031026.2328696,nrm.extra.perf.PAPI_L3_TCA.204613,2458823552.0
1770031026.2328696,nrm.extra.perf.PAPI_TOT_INS.204613,798726907576.0
1770031026.2328696,nrm.extra.perf.PAPI_TOT_CYC.204613,1363400199360.0
1770031026.2328696,nrm.extra.perf.PAPI_RES_STL.204613,676859275517.0
1770031026.2328696,nrm.extra.perf.PAPI_L3_TCM.204613,253597900.0
1770031027.2328842,nrm.extra.perf.PAPI_L3_TCA.204613,2962951679.0
1770031027.2328842,nrm.extra.perf.PAPI_TOT_INS.204613,961974571450.0
1770031027.2328842,nrm.extra.perf.PAPI_TOT_CYC.204613,1639334515440.0
1770031027.2328842,nrm.extra.perf.PAPI_RES_STL.204613,815252923889.0
1770031027.2328842,nrm.extra.perf.PAPI_L3_TCM.204613,305264762.0
1770031028.2348273,nrm.extra.perf.PAPI_L3_TCA.204613,3452750015.0
1770031028.2348273,nrm.extra.perf.PAPI_TOT_INS.204613,1121332949522.0
1770031028.2348273,nrm.extra.perf.PAPI_TOT_CYC.204613,1912619199360.0
1770031028.2348273,nrm.extra.perf.PAPI_RES_STL.204613,949835591822.0
1770031028.2348273,nrm.extra.perf.PAPI_L3_TCM.204613,355519943.0
1770031029.232872,nrm.extra.perf.PAPI_L3_TCA.204613,3955617836.0
1770031029.232872,nrm.extra.perf.PAPI_TOT_INS.204613,1284528614753.0
1770031029.232872,nrm.extra.perf.PAPI_TOT_CYC.204613,2188269118789.0
1770031029.232872,nrm.extra.perf.PAPI_RES_STL.204613,1087855418193.0
1770031029.232872,nrm.extra.perf.PAPI_L3_TCM.204613,406779396.0
1770031030.2358851,nrm.extra.perf.PAPI_L3_TCA.204613,4400275126.0
1770031030.2358851,nrm.extra.perf.PAPI_TOT_INS.204613,1430943731798.0
1770031030.2358851,nrm.extra.perf.PAPI_TOT_CYC.204613,2446445815178.0
1770031030.2358851,nrm.extra.perf.PAPI_RES_STL.204613,1210202817306.0
1770031030.2358851,nrm.extra.perf.PAPI_L3_TCM.204613,452478018.0
1770031031.2368686,nrm.extra.perf.PAPI_L3_TCA.204613,4902635623.0
1770031031.2368686,nrm.extra.perf.PAPI_TOT_INS.204613,1593874460453.0
1770031031.2368686,nrm.extra.perf.PAPI_TOT_CYC.204613,2722921529235.0
1770031031.2368686,nrm.extra.perf.PAPI_RES_STL.204613,1348131694078.0
1770031031.2368686,nrm.extra.perf.PAPI_L3_TCM.204613,504173359.0
1770031032.2328894,nrm.extra.perf.PAPI_L3_TCA.204613,5400952453.0
1770031032.2328894,nrm.extra.perf.PAPI_TOT_INS.204613,1755609871807.0
1770031032.2328894,nrm.extra.perf.PAPI_TOT_CYC.204613,2997745533038.0
1770031032.2328894,nrm.extra.perf.PAPI_RES_STL.204613,1484705403497.0
1770031032.2328894,nrm.extra.perf.PAPI_L3_TCM.204613,555077642.0
1770031033.2328753,nrm.extra.perf.PAPI_L3_TCA.204613,5904516623.0
1770031033.2328753,nrm.extra.perf.PAPI_TOT_INS.204613,1918961631654.0
1770031033.2328753,nrm.extra.perf.PAPI_TOT_CYC.204613,3273798156207.0
1770031033.2328753,nrm.extra.perf.PAPI_RES_STL.204613,1622931656667.0
1770031033.2328753,nrm.extra.perf.PAPI_L3_TCM.204613,606077578.0
1770031034.2348943,nrm.extra.perf.PAPI_L3_TCA.204613,6409017751.0
1770031034.2348943,nrm.extra.perf.PAPI_TOT_INS.204613,2082485455837.0
1770031034.2348943,nrm.extra.perf.PAPI_TOT_CYC.204613,3550798912208.0
1770031034.2348943,nrm.extra.perf.PAPI_RES_STL.204613,1761437438909.0
1770031034.2348943,nrm.extra.perf.PAPI_L3_TCM.204613,657329368.0
1770031035.2346482,nrm.extra.perf.PAPI_L3_TCA.204613,6899624049.0
1770031035.2346482,nrm.extra.perf.PAPI_TOT_INS.204613,2242310465559.0
1770031035.2346482,nrm.extra.perf.PAPI_TOT_CYC.204613,3824366092191.0
1770031035.2346482,nrm.extra.perf.PAPI_RES_STL.204613,1895950568628.0
1770031035.2346482,nrm.extra.perf.PAPI_L3_TCM.204613,707354049.0
1770031036.2369063,nrm.extra.perf.PAPI_L3_TCA.204613,7404217248.0
1770031036.2369063,nrm.extra.perf.PAPI_TOT_INS.204613,2405904506313.0
1770031036.2369063,nrm.extra.perf.PAPI_TOT_CYC.204613,4101584858329.0
1770031036.2369063,nrm.extra.perf.PAPI_RES_STL.204613,2034306748265.0
1770031036.2369063,nrm.extra.perf.PAPI_L3_TCM.204613,758521588.0
1770031037.232896,nrm.extra.perf.PAPI_L3_TCA.204613,7885994789.0
1770031037.232896,nrm.extra.perf.PAPI_TOT_INS.204613,2562696332686.0
1770031037.232896,nrm.extra.perf.PAPI_TOT_CYC.204613,4370021703327.0
1770031037.232896,nrm.extra.perf.PAPI_RES_STL.204613,2166688070812.0
1770031037.232896,nrm.extra.perf.PAPI_L3_TCM.204613,807237332.0
1770031038.2329173,nrm.extra.perf.PAPI_L3_TCA.204613,8387310865.0
1770031038.2329173,nrm.extra.perf.PAPI_TOT_INS.204613,2725267103213.0
1770031038.2329173,nrm.extra.perf.PAPI_TOT_CYC.204613,4646247711494.0
1770031038.2329173,nrm.extra.perf.PAPI_RES_STL.204613,2304207630059.0
1770031038.2329173,nrm.extra.perf.PAPI_L3_TCM.204613,858255253.0
1770031039.2328792,nrm.extra.perf.PAPI_L3_TCA.204613,8890158975.0
1770031039.2328792,nrm.extra.perf.PAPI_TOT_INS.204613,2888207988546.0
1770031039.2328792,nrm.extra.perf.PAPI_TOT_CYC.204613,4922202015580.0
1770031039.2328792,nrm.extra.perf.PAPI_RES_STL.204613,2442135866752.0
1770031039.2328792,nrm.extra.perf.PAPI_L3_TCM.204613,909232950.0
1770031040.2325833,nrm.extra.perf.PAPI_L3_TCA.204613,9393955664.0
1770031040.2325833,nrm.extra.perf.PAPI_TOT_INS.204613,3051783921960.0
1770031040.2325833,nrm.extra.perf.PAPI_TOT_CYC.204613,5198511787438.0
1770031040.2325833,nrm.extra.perf.PAPI_RES_STL.204613,2580117178039.0
1770031040.2325833,nrm.extra.perf.PAPI_L3_TCM.204613,959918833.0
1770031041.234914,nrm.extra.perf.PAPI_L3_TCA.204613,9730738005.0
1770031041.234914,nrm.extra.perf.PAPI_TOT_INS.204613,3166409831603.0
1770031041.234914,nrm.extra.perf.PAPI_TOT_CYC.204613,5417970312037.0
1770031041.234914,nrm.extra.perf.PAPI_RES_STL.204613,2673709709133.0
1770031041.234914,nrm.extra.perf.PAPI_L3_TCM.204613,993875859.0
1770031042.2329261,nrm.extra.perf.PAPI_L3_TCA.204613,10233752256.0
1770031042.2329261,nrm.extra.perf.PAPI_TOT_INS.204613,3329443462283.0
1770031042.2329261,nrm.extra.perf.PAPI_TOT_CYC.204613,5693991586279.0
1770031042.2329261,nrm.extra.perf.PAPI_RES_STL.204613,2811730363477.0
1770031042.2329261,nrm.extra.perf.PAPI_L3_TCM.204613,1045059292.0
1770031043.234906,nrm.extra.perf.PAPI_L3_TCA.204613,10733409770.0
1770031043.234906,nrm.extra.perf.PAPI_TOT_INS.204613,3491721692270.0
1770031043.234906,nrm.extra.perf.PAPI_TOT_CYC.204613,5970562524964.0
1770031043.234906,nrm.extra.perf.PAPI_RES_STL.204613,2948798949925.0
1770031043.234906,nrm.extra.perf.PAPI_L3_TCM.204613,1096183953.0
1770031044.232841,nrm.extra.perf.PAPI_L3_TCA.204613,11236858986.0
1770031044.232841,nrm.extra.perf.PAPI_TOT_INS.204613,3654945322639.0
1770031044.232841,nrm.extra.perf.PAPI_TOT_CYC.204613,6246491759873.0
1770031044.232841,nrm.extra.perf.PAPI_RES_STL.204613,3086899186032.0
1770031044.232841,nrm.extra.perf.PAPI_L3_TCM.204613,1147120190.0
1770031045.2358997,nrm.extra.perf.PAPI_L3_TCA.204613,11742773404.0
1770031045.2358997,nrm.extra.perf.PAPI_TOT_INS.204613,3819113958461.0
