time,scope,value
1769931876.1569502,nrm.extra.perf.PAPI_L3_TCA.118959,1374230689.0
1769931876.1569502,nrm.extra.perf.PAPI_TOT_INS.118959,153068668699.0
1769931876.1569502,nrm.extra.perf.PAPI_TOT_CYC.118959,167002635556.0
1769931876.1569502,nrm.extra.perf.PAPI_RES_STL.118959,64307240104.0
1769931876.1569502,nrm.extra.perf.PAPI_L3_TCM.118959,551404491.0
1769931877.14882,nrm.extra.perf.PAPI_L3_TCA.118959,2791439174.0
1769931877.14882,nrm.extra.perf.PAPI_TOT_INS.118959,309082723734.0
1769931877.14882,nrm.extra.perf.PAPI_TOT_CYC.118959,318933643436.0
1769931877.14882,nrm.extra.perf.PAPI_RES_STL.118959,120043466587.0
1769931877.14882,nrm.extra.perf.PAPI_L3_TCM.118959,1123353762.0
1769931878.1459608,nrm.extra.perf.PAPI_L3_TCA.118959,4227850809.0
1769931878.1459608,nrm.extra.perf.PAPI_TOT_INS.118959,466038547101.0
1769931878.1459608,nrm.extra.perf.PAPI_TOT_CYC.118959,471617682216.0
1769931878.1459608,nrm.extra.perf.PAPI_RES_STL.118959,176566371620.0
1769931878.1459608,nrm.extra.perf.PAPI_L3_TCM.118959,1698548808.0
1769931879.1516318,nrm.extra.perf.PAPI_L3_TCA.118959,5646801180.0
1769931879.1516318,nrm.extra.perf.PAPI_TOT_INS.118959,624503567454.0
1769931879.1516318,nrm.extra.perf.PAPI_TOT_CYC.118959,625276349671.0
1769931879.1516318,nrm.extra.perf.PAPI_RES_STL.118959,232626249248.0
1769931879.1516318,nrm.extra.perf.PAPI_L3_TCM.118959,2274693292.0
1769931880.1461604,nrm.extra.perf.PAPI_L3_TCA.118959,7010656260.0
1769931880.1461604,nrm.extra.perf.PAPI_TOT_INS.118959,778693364191.0
1769931880.1461604,nrm.extra.perf.PAPI_TOT_CYC.118959,775531286053.0
1769931880.1461604,nrm.extra.perf.PAPI_RES_STL.118959,286825172652.0
1769931880.1461604,nrm.extra.perf.PAPI_L3_TCM.118959,2841343172.0
1769931881.1481216,nrm.extra.perf.PAPI_L3_TCA.118959,8412075630.0
1769931881.1481216,nrm.extra.perf.PAPI_TOT_INS.118959,934807557853.0
1769931881.1481216,nrm.extra.perf.PAPI_TOT_CYC.118959,927120174681.0
1769931881.1481216,nrm.extra.perf.PAPI_RES_STL.118959,341742863018.0
1769931881.1481216,nrm.extra.perf.PAPI_L3_TCM.118959,3412851035.0
1769931882.145923,nrm.extra.perf.PAPI_L3_TCA.118959,9722315307.0
1769931882.145923,nrm.extra.perf.PAPI_TOT_INS.118959,1086602605117.0
1769931882.145923,nrm.extra.perf.PAPI_TOT_CYC.118959,1072257102999.0
1769931882.145923,nrm.extra.perf.PAPI_RES_STL.118959,388643287041.0
1769931882.145923,nrm.extra.perf.PAPI_L3_TCM.118959,3949620124.0
1769931883.1499918,nrm.extra.perf.PAPI_L3_TCA.118959,11152073813.0
1769931883.1499918,nrm.extra.perf.PAPI_TOT_INS.118959,1246084351566.0
1769931883.1499918,nrm.extra.perf.PAPI_TOT_CYC.118959,1225890061525.0
1769931883.1499918,nrm.extra.perf.PAPI_RES_STL.118959,444880990010.0
1769931883.1499918,nrm.extra.perf.PAPI_L3_TCM.118959,4547555928.0
1769931884.1458523,nrm.extra.perf.PAPI_L3_TCA.118959,12584498205.0
1769931884.1458523,nrm.extra.perf.PAPI_TOT_INS.118959,1405345183719.0
1769931884.1458523,nrm.extra.perf.PAPI_TOT_CYC.118959,1377981887328.0
1769931884.1458523,nrm.extra.perf.PAPI_RES_STL.118959,499738924124.0
1769931884.1458523,nrm.extra.perf.PAPI_L3_TCM.118959,5126955581.0
1769931885.14587,nrm.extra.perf.PAPI_L3_TCA.118959,14012926501.0
1769931885.14587,nrm.extra.perf.PAPI_TOT_INS.118959,1566816701313.0
1769931885.14587,nrm.extra.perf.PAPI_TOT_CYC.118959,1530793151630.0
1769931885.14587,nrm.extra.perf.PAPI_RES_STL.118959,554373270533.0
1769931885.14587,nrm.extra.perf.PAPI_L3_TCM.118959,5710933762.0
1769931886.1510344,nrm.extra.perf.PAPI_L3_TCA.118959,15452874328.0
1769931886.1510344,nrm.extra.perf.PAPI_TOT_INS.118959,1725967516400.0
1769931886.1510344,nrm.extra.perf.PAPI_TOT_CYC.118959,1684680222558.0
1769931886.1510344,nrm.extra.perf.PAPI_RES_STL.118959,611033341613.0
1769931886.1510344,nrm.extra.perf.PAPI_L3_TCM.118959,6308648826.0
1769931887.1458778,nrm.extra.perf.PAPI_L3_TCA.118959,16887985764.0
1769931887.1458778,nrm.extra.perf.PAPI_TOT_INS.118959,1885463166744.0
1769931887.1458778,nrm.extra.perf.PAPI_TOT_CYC.118959,1836589769951.0
1769931887.1458778,nrm.extra.perf.PAPI_RES_STL.118959,665884852475.0
1769931887.1458778,nrm.extra.perf.PAPI_L3_TCM.118959,6888265390.0
1769931888.1448689,nrm.extra.perf.PAPI_L3_TCA.118959,18311061265.0
1769931888.1448689,nrm.extra.perf.PAPI_TOT_INS.118959,2044339317819.0
1769931888.1448689,nrm.extra.perf.PAPI_TOT_CYC.118959,1989711023870.0
1769931888.1448689,nrm.extra.perf.PAPI_RES_STL.118959,720226359378.0
1769931888.1448689,nrm.extra.perf.PAPI_L3_TCM.118959,7465033845.0
1769931889.1450222,nrm.extra.perf.PAPI_L3_TCA.118959,19596763767.0
1769931889.1450222,nrm.extra.perf.PAPI_TOT_INS.118959,2190120507981.0
1769931889.1450222,nrm.extra.perf.PAPI_TOT_CYC.118959,2148465022172.0
1769931889.1450222,nrm.extra.perf.PAPI_RES_STL.118959,769977673809.0
1769931889.1450222,nrm.extra.perf.PAPI_L3_TCM.118959,7989026953.0
1769931890.1478052,nrm.extra.perf.PAPI_L3_TCA.118959,21000681263.0
1769931890.1478052,nrm.extra.perf.PAPI_TOT_INS.118959,2346844464454.0
1769931890.1478052,nrm.extra.perf.PAPI_TOT_CYC.118959,2297717939574.0
1769931890.1478052,nrm.extra.perf.PAPI_RES_STL.118959,822337599057.0
1769931890.1478052,nrm.extra.perf.PAPI_L3_TCM.118959,8563993028.0
