time,scope,value
1770024523.0908098,0,165.22541278501728
1770024523.0908098,1,164.36756626832843
1770024524.090799,0,144.86339732373915
1770024524.090799,1,150.90473489423945
1770024525.090816,0,145.4091307722601
1770024525.090816,1,142.75621096118564
1770024526.0908926,0,151.54464701587736
1770024526.0908926,1,147.02797516270235
1770024527.0909064,0,156.63055920081706
1770024527.0909064,1,144.8859953943088
1770024528.0908792,0,155.19830214931397
1770024528.0908792,1,146.19989352169583
1770024529.090812,0,147.16398508214564
1770024529.090812,1,154.42620920884994
1770024530.0908165,0,137.55098473638722
1770024530.0908165,1,151.3665149585773
1770024531.0908034,0,149.26309246438015
1770024531.0908034,1,142.5711715827048
1770024532.090817,0,149.13541506463352
1770024532.090817,1,151.78903686364092
1770024533.0908167,0,146.7208658842501
1770024533.0908167,1,141.0086923602348
1770024534.0909076,0,152.90601430157432
1770024534.0909076,1,143.24085775011673
1770024535.0908165,0,143.58246002468277
1770024535.0908165,1,151.72128739061642
1770024536.0908992,0,147.8506909416528
1770024536.0908992,1,142.53678528729873
1770024537.0908003,0,144.59085807002842
1770024537.0908003,1,149.09799041705477
1770024538.0908167,0,144.38942646168172
1770024538.0908167,1,148.68669639972347
1770024539.0915942,0,143.3236518953314
1770024539.0915942,1,154.2647357923841
1770024540.0928016,0,149.93756805798373
1770024540.0928016,1,144.81661042021895
1770024541.0908148,0,149.61500946295513
1770024541.0908148,1,142.46465371158632
1770024542.0908127,0,149.60278022038352
1770024542.0908127,1,143.54876612084925
1770024543.0908082,0,149.54730259444773
1770024543.0908082,1,147.47149521815587
1770024544.0908089,0,149.90844392810342
1770024544.0908089,1,147.83895404445272
1770024545.0908082,0,147.37549645997058
1770024545.0908082,1,148.08799657235573
1770024546.090807,0,147.35740683128705
1770024546.090807,1,150.84056446925868
1770024547.0908055,0,146.64608427892458
1770024547.0908055,1,144.53336027917928
1770024548.0908043,0,146.9425658418292
1770024548.0908043,1,144.95875907226426
1770024549.0908067,0,145.59364408392733
1770024549.0908067,1,151.19716618224797
1770024550.0908003,0,138.91965416800068
1770024550.0908003,1,150.21248319143953
1770024551.090793,0,142.41655277535776
1770024551.090793,1,153.97316661521978
