time,scope,value
1770051680.09181,0,15155154.296691895
1770051680.09181,1,15155154.296691895
1770051681.0907934,0,15155321.229736328
1770051681.0907934,1,15155321.229736328
1770051682.0908093,0,15155487.895507812
1770051682.0908093,1,15155487.895507812
1770051683.090901,0,15155655.93359375
1770051683.090901,1,15155656.063842773
1770051684.0908065,0,15155820.126953125
1770051684.0908065,1,15155820.126953125
1770051685.090794,0,15155984.078674316
1770051685.090794,1,15155984.078674316
1770051686.0908098,0,15156148.336914062
1770051686.0908098,1,15156148.336914062
1770051687.0908453,0,15156311.317565918
1770051687.0908453,1,15156311.317565918
1770051688.0909035,0,15156476.960327148
1770051688.0909035,1,15156476.960327148
1770051689.090803,0,15156640.765686035
1770051689.090803,1,15156640.765686035
1770051690.09082,0,15156805.312805176
1770051690.09082,1,15156805.312805176
1770051691.0908012,0,15156966.299377441
1770051691.0908012,1,15156966.299377441
1770051692.0907817,0,15157129.963928223
1770051692.0907817,1,15157129.963928223
1770051693.0908165,0,15157291.831298828
1770051693.0908165,1,15157291.831298828
1770051694.09081,0,15157457.829650879
1770051694.09081,1,15157457.829650879
1770051695.0908995,0,15157622.071411133
1770051695.0908995,1,15157622.225952148
1770051696.0908267,0,15157785.741149902
1770051696.0908267,1,15157785.741149902
1770051697.0911844,0,15157947.199401855
1770051697.0911844,1,15157947.273132324
1770051698.0909154,0,15158105.298828125
1770051698.0909154,1,15158105.46258545
1770051699.0908046,0,15158267.040466309
1770051699.0908046,1,15158267.040466309
1770051700.0909011,0,15158424.506408691
1770051700.0909011,1,15158424.650268555
1770051701.0908,0,15158589.102722168
1770051701.0908,1,15158589.102722168
1770051702.0908117,0,15158753.223510742
1770051702.0908117,1,15158753.223510742
1770051703.0908072,0,15158912.667663574
1770051703.0908072,1,15158912.667663574
1770051704.0908093,0,15159075.834472656
1770051704.0908093,1,15159075.834472656
1770051705.0908055,0,15159239.058166504
1770051705.0908055,1,15159239.058166504
1770051706.0909126,0,15159402.497619629
1770051706.0909126,1,15159402.640991211
1770051707.090815,0,15159567.454101562
1770051707.090815,1,15159567.66217041
1770051708.0908139,0,15159732.285705566
1770051708.0908139,1,15159732.285705566
1770051709.0909457,0,15159896.784729004
1770051709.0909457,1,15159896.883361816
