time,scope,value
1769969096.0908477,0,4363217.390075684
1769969096.0908477,1,4363217.496337891
1769969097.0908039,0,4363324.0126953125
1769969097.0908039,1,4363324.0126953125
1769969098.0908127,0,4363430.721130371
1769969098.0908127,1,4363430.721130371
1769969099.0908,0,4363537.312194824
1769969099.0908,1,4363537.389160156
1769969100.0908117,0,4363644.015869141
1769969100.0908117,1,4363644.015869141
1769969101.090812,0,4363750.7146606445
1769969101.090812,1,4363750.7146606445
1769969102.0908072,0,4363857.416564941
1769969102.0908072,1,4363857.865600586
1769969103.0908136,0,4363964.080078125
1769969103.0908136,1,4363964.080078125
1769969104.0908117,0,4364070.757202148
1769969104.0908117,1,4364070.848693848
1769969105.0908015,0,4364177.584899902
1769969105.0908015,1,4364177.584899902
1769969106.091814,0,4364284.26550293
1769969106.091814,1,4364284.363586426
1769969107.0918462,0,4364390.982421875
1769969107.0918462,1,4364390.982421875
1769969108.090852,0,4364497.627807617
1769969108.090852,1,4364497.627807617
1769969109.0908296,0,4364604.2244262695
1769969109.0908296,1,4364604.2244262695
1769969110.090807,0,4364710.888793945
1769969110.090807,1,4364711.033081055
1769969111.0908065,0,4364817.609741211
1769969111.0908065,1,4364817.738891602
1769969112.0908058,0,4364924.348205566
1769969112.0908058,1,4364924.348205566
1769969113.090802,0,4365031.024353027
1769969113.090802,1,4365031.024353027
1769969114.090812,0,4365137.641174316
1769969114.090812,1,4365137.748168945
1769969115.0908048,0,4365244.364379883
1769969115.0908048,1,4365244.364379883
1769969116.0908136,0,4365351.084106445
1769969116.0908136,1,4365351.084106445
1769969117.0908275,0,4365457.78515625
1769969117.0908275,1,4365457.78515625
1769969118.0907962,0,4365564.452514648
1769969118.0907962,1,4365564.452514648
1769969119.0908113,0,4365671.160400391
1769969119.0908113,1,4365671.160400391
1769969120.0908043,0,4365777.9041137695
1769969120.0908043,1,4365777.9041137695
1769969121.0907953,0,4365884.607055664
1769969121.0907953,1,4365884.607055664
1769969122.090803,0,4365991.223327637
1769969122.090803,1,4365991.223327637
1769969123.0908122,0,4366097.963989258
1769969123.0908122,1,4366097.963989258
1769969124.0908031,0,4366204.557067871
1769969124.0908031,1,4366204.557067871
1769969125.0908334,0,4366311.3056640625
1769969125.0908334,1,4366311.3056640625
1769969126.0908031,0,4366417.983886719
1769969126.0908031,1,4366417.983886719
1769969127.0908108,0,4366524.601989746
1769969127.0908108,1,4366524.7099609375
1769969128.090806,0,4366631.302307129
1769969128.090806,1,4366631.302307129
1769969129.0908067,0,4366737.9921875
1769969129.0908067,1,4366737.9921875
1769969130.0908065,0,4366844.699768066
1769969130.0908065,1,4366844.699768066
1769969131.0908556,0,4366951.358825684
1769969131.0908556,1,4366951.358825684
1769969132.0908349,0,4367058.122558594
1769969132.0908349,1,4367058.122558594
1769969133.0908341,0,4367164.846435547
1769969133.0908341,1,4367164.846435547
1769969134.0908346,0,4367271.475036621
1769969134.0908346,1,4367271.475036621
1769969135.0908432,0,4367378.241394043
1769969135.0908432,1,4367378.241394043
1769969136.0908096,0,4367484.800842285
1769969136.0908096,1,4367484.949768066
1769969137.0907989,0,4367591.579223633
1769969137.0907989,1,4367591.579223633
1769969138.0908072,0,4367698.297424316
1769969138.0908072,1,4367698.297424316
1769969139.090841,0,4367804.921569824
1769969139.090841,1,4367805.028381348
1769969140.0908115,0,4367911.619445801
1769969140.0908115,1,4367911.619445801
1769969141.090814,0,4368018.349487305
1769969141.090814,1,4368018.349487305
1769969142.0908031,0,4368124.94519043
1769969142.0908031,1,4368124.94519043
1769969143.0908024,0,4368231.678344727
1769969143.0908024,1,4368231.678344727
1769969144.0908122,0,4368338.380004883
1769969144.0908122,1,4368338.380004883
1769969145.090805,0,4368445.112792969
1769969145.090805,1,4368445.112792969
1769969146.090813,0,4368551.7861328125
1769969146.090813,1,4368551.7861328125
1769969147.0908098,0,4368658.428588867
1769969147.0908098,1,4368658.428588867
1769969148.0908086,0,4368765.163696289
1769969148.0908086,1,4368765.163696289
1769969149.0908115,0,4368871.868347168
1769969149.0908115,1,4368871.868347168
1769969150.090802,0,4368978.475219727
1769969150.090802,1,4368978.575378418
1769969151.0908089,0,4369085.196838379
1769969151.0908089,1,4369085.196838379
1769969152.0908039,0,4369191.840881348
1769969152.0908039,1,4369191.938415527
1769969153.0907955,0,4369298.608764648
1769969153.0907955,1,4369298.608764648
1769969154.090801,0,4369405.324279785
1769969154.090801,1,4369405.324279785
1769969155.0908065,0,4369512.001953125
1769969155.0908065,1,4369512.001953125
1769969156.0908,0,4369618.658630371
1769969156.0908,1,4369618.658630371
1769969157.0908127,0,4369725.314086914
1769969157.0908127,1,4369725.314086914
1769969158.0908127,0,4369832.026672363
1769969158.0908127,1,4369832.026672363
1769969159.0908117,0,4369938.737487793
1769969159.0908117,1,4369938.737487793
1769969160.090813,0,4370045.416809082
1769969160.090813,1,4370045.416809082
1769969161.0908027,0,4370152.112487793
1769969161.0908027,1,4370152.112487793
1769969162.0908158,0,4370258.8203125
1769969162.0908158,1,4370258.8203125
1769969163.090809,0,4370365.543212891
1769969163.090809,1,4370365.543212891
1769969164.0907984,0,4370472.262390137
1769969164.0907984,1,4370472.262390137
1769969165.0908053,0,4370578.91809082
1769969165.0908053,1,4370578.91809082
1769969166.0908084,0,4370685.638122559
1769969166.0908084,1,4370685.638122559
1769969167.0908,0,4370792.328063965
1769969167.0908,1,4370792.328063965
1769969168.0908,0,4370899.038818359
1769969168.0908,1,4370899.038818359
1769969169.0907936,0,4371005.662475586
1769969169.0907936,1,4371005.662475586
1769969170.0908108,0,4371112.405639648
1769969170.0908108,1,4371112.405639648
1769969171.090807,0,4371219.111938477
1769969171.090807,1,4371219.111938477
1769969172.090743,0,4371325.761047363
1769969172.090743,1,4371325.761047363
1769969173.0908203,0,4371432.474182129
1769969173.0908203,1,4371432.474182129
1769969174.090796,0,4371539.020141602
1769969174.090796,1,4371539.182189941
1769969175.0908074,0,4371645.819641113
1769969175.0908074,1,4371645.819641113
1769969176.0908022,0,4371752.467590332
1769969176.0908022,1,4371752.467590332
1769969177.090803,0,4371859.2185668945
1769969177.090803,1,4371859.2185668945
1769969178.0908036,0,4371965.910827637
1769969178.0908036,1,4371965.910827637
1769969179.0908217,0,4372072.476135254
1769969179.0908217,1,4372072.604431152
1769969180.0908039,0,4372179.204406738
1769969180.0908039,1,4372179.204406738
1769969181.090803,0,4372285.928100586
1769969181.090803,1,4372285.928100586
1769969182.0908058,0,4372392.669921875
1769969182.0908058,1,4372392.669921875
1769969183.0908105,0,4372499.363769531
1769969183.0908105,1,4372499.363769531
1769969184.0907977,0,4372605.938903809
1769969184.0907977,1,4372605.938903809
1769969185.0908072,0,4372712.676696777
1769969185.0908072,1,4372712.676696777
1769969186.0908103,0,4372819.440856934
1769969186.0908103,1,4372819.440856934
1769969187.0908117,0,4372926.048461914
1769969187.0908117,1,4372926.048461914
1769969188.0908363,0,4373032.7384643555
1769969188.0908363,1,4373032.7384643555
1769969189.0908098,0,4373139.368103027
1769969189.0908098,1,4373139.469909668
1769969190.0908062,0,4373246.121337891
1769969190.0908062,1,4373246.121337891
1769969191.0908034,0,4373352.80090332
1769969191.0908034,1,4373352.80090332
1769969192.0908363,0,4373459.515380859
1769969192.0908363,1,4373459.515380859
1769969193.0908117,0,4373566.205322266
1769969193.0908117,1,4373566.205322266
1769969194.090808,0,4373672.9140625
1769969194.090808,1,4373672.9140625
1769969195.0908072,0,4373779.542114258
1769969195.0908072,1,4373779.6170043945
1769969196.0909004,0,4373886.268920898
1769969196.0909004,1,4373886.268920898
1769969197.090798,0,4373992.903686523
1769969197.090798,1,4373992.903686523
1769969198.0908039,0,4374099.6329956055
1769969198.0908039,1,4374099.6329956055
1769969199.0908136,0,4374206.269470215
1769969199.0908136,1,4374206.3759765625
1769969200.0908082,0,4374313.030395508
1769969200.0908082,1,4374313.030395508
1769969201.0908058,0,4374419.783935547
1769969201.0908058,1,4374419.783935547
1769969202.0908003,0,4374526.413146973
1769969202.0908003,1,4374526.413146973
1769969203.0908124,0,4374633.030700684
1769969203.0908124,1,4374633.144470215
1769969204.0908096,0,4374739.723510742
1769969204.0908096,1,4374739.810913086
1769969205.0908084,0,4374846.514770508
1769969205.0908084,1,4374846.514770508
1769969206.0908086,0,4374953.141052246
1769969206.0908086,1,4374953.243713379
1769969207.0908105,0,4375059.866516113
1769969207.0908105,1,4375059.866516113
1769969208.0907984,0,4375166.476257324
1769969208.0907984,1,4375166.476257324
1769969209.0909033,0,4375273.24230957
1769969209.0909033,1,4375273.24230957
1769969210.0908005,0,4375379.959899902
1769969210.0908005,1,4375379.959899902
1769969211.0908113,0,4375486.622009277
1769969211.0908113,1,4375486.622009277
1769969212.090805,0,4375593.331237793
1769969212.090805,1,4375593.331237793
1769969213.0908382,0,4375699.967956543
1769969213.0908382,1,4375699.967956543
1769969214.0908089,0,4375806.7560424805
1769969214.0908089,1,4375806.7560424805
1769969215.090801,0,4375913.344360352
1769969215.090801,1,4375913.447570801
1769969216.090809,0,4376020.033081055
1769969216.090809,1,4376020.033081055
1769969217.0908267,0,4376126.7697143555
1769969217.0908267,1,4376126.7697143555
1769969218.090806,0,4376233.45892334
1769969218.090806,1,4376233.735412598
1769969219.0908067,0,4376340.140991211
1769969219.0908067,1,4376340.140991211
1769969220.0908177,0,4376446.841125488
1769969220.0908177,1,4376446.841125488
1769969221.0908427,0,4376553.4861450195
1769969221.0908427,1,4376553.605712891
1769969222.0908098,0,4376660.256347656
1769969222.0908098,1,4376660.256347656
1769969223.0908124,0,4376766.8681640625
1769969223.0908124,1,4376766.948791504
1769969224.090845,0,4376873.5451049805
1769969224.090845,1,4376873.5451049805
