time,scope,value
1769934098.0909543,0,1143813.0747680664
1769934098.0909543,1,1143813.0747680664
1769934099.0909328,0,1143895.794494629
1769934099.0909328,1,1143895.885192871
1769934100.0909145,0,1143978.5578613281
1769934100.0909145,1,1143978.5578613281
1769934101.0908751,0,1144061.3790283203
1769934101.0908751,1,1144061.4607543945
1769934102.09094,0,1144144.133239746
1769934102.09094,1,1144144.133239746
1769934103.0909252,0,1144226.8748779297
1769934103.0909252,1,1144226.8748779297
1769934104.090889,0,1144309.6257324219
1769934104.090889,1,1144309.6257324219
1769934105.090886,0,1144392.3840942383
1769934105.090886,1,1144392.4592285156
1769934106.0908804,0,1144475.1243286133
1769934106.0908804,1,1144475.2080688477
1769934107.0909092,0,1144557.9497680664
1769934107.0909092,1,1144557.9497680664
1769934108.0909204,0,1144640.6952514648
1769934108.0909204,1,1144640.6952514648
1769934109.0908961,0,1144723.4313964844
1769934109.0908961,1,1144723.4313964844
1769934110.090895,0,1144806.192932129
1769934110.090895,1,1144806.192932129
1769934111.090921,0,1144888.9862670898
1769934111.090921,1,1144889.0669555664
1769934112.090908,0,1144971.7154541016
1769934112.090908,1,1144971.8043823242
1769934113.0907934,0,1145054.468383789
1769934113.0907934,1,1145054.7373657227
1769934114.0908885,0,1145137.2315063477
1769934114.0908885,1,1145137.2315063477
1769934115.090904,0,1145219.967956543
1769934115.090904,1,1145220.0545043945
1769934116.0908866,0,1145302.7156982422
1769934116.0908866,1,1145302.7987060547
1769934117.090917,0,1145385.547241211
1769934117.090917,1,1145385.547241211
1769934118.0908906,0,1145468.2929077148
1769934118.0908906,1,1145468.2929077148
1769934119.0909204,0,1145551.0332641602
1769934119.0909204,1,1145551.120727539
1769934120.0909317,0,1145633.7844848633
1769934120.0909317,1,1145633.7844848633
1769934121.0908732,0,1145716.5299682617
1769934121.0908732,1,1145716.6104125977
1769934122.0909035,0,1145799.2737426758
1769934122.0909035,1,1145799.3579101562
1769934123.0908759,0,1145882.0444335938
1769934123.0908759,1,1145882.1284179688
1769934124.0908499,0,1145964.7854003906
1769934124.0908499,1,1145964.8684692383
1769934125.0908916,0,1146047.6231689453
1769934125.0908916,1,1146047.6856079102
1769934126.09088,0,1146130.3485107422
1769934126.09088,1,1146130.3485107422
1769934127.0908844,0,1146213.0915527344
1769934127.0908844,1,1146213.163269043
1769934128.090883,0,1146295.9018554688
1769934128.090883,1,1146295.9018554688
1769934129.090959,0,1146378.6646728516
1769934129.090959,1,1146378.6646728516
1769934130.0909498,0,1146461.416442871
1769934130.0909498,1,1146461.416442871
1769934131.0908656,0,1146544.1595458984
1769934131.0908656,1,1146544.1595458984
1769934132.0909214,0,1146626.915649414
1769934132.0909214,1,1146626.915649414
1769934133.0908992,0,1146709.6505737305
1769934133.0908992,1,1146709.6505737305
1769934134.090897,0,1146792.392211914
1769934134.090897,1,1146792.4777832031
1769934135.0908113,0,1146875.1387939453
1769934135.0908113,1,1146875.2040405273
1769934136.0909293,0,1146957.9325561523
1769934136.0909293,1,1146958.0111694336
1769934137.0909064,0,1147040.6778564453
1769934137.0909064,1,1147040.7600097656
1769934138.0909088,0,1147123.4190063477
1769934138.0909088,1,1147123.5106811523
