time,scope,value
1770030896.0908926,0,159.26268055597717
1770030896.0908926,1,160.16106139888583
1770030897.0908864,0,161.10087324901693
1770030897.0908864,1,156.48337642353812
1770030898.0909028,0,159.1627356063091
1770030898.0909028,1,156.55215638250147
1770030899.0908678,0,150.5866612164429
1770030899.0908678,1,152.55624464477822
1770030900.0907986,0,152.74417397009128
1770030900.0907986,1,151.1201909299453
1770030901.0909004,0,156.02938510209617
1770030901.0909004,1,152.97744590591233
1770030902.0909028,0,151.10347245513503
1770030902.0909028,1,153.29698176563411
1770030903.0908964,0,150.12817335287986
1770030903.0908964,1,155.15992240549488
1770030904.0907981,0,150.83378913107546
1770030904.0907981,1,143.33531394975046
1770030905.090872,0,153.81565498202832
1770030905.090872,1,152.2706916216527
1770030906.0908904,0,153.12576296856145
1770030906.0908904,1,154.04300402141186
1770030907.0908868,0,152.7393676731397
1770030907.0908868,1,153.95634876662254
1770030908.090883,0,153.57917291982233
1770030908.090883,1,152.9629021658562
1770030909.0908785,0,152.84321409932534
1770030909.0908785,1,151.76893909068247
1770030910.0908704,0,151.79736489674798
1770030910.0908704,1,153.04764067473417
1770030911.0908885,0,154.98056666660997
1770030911.0908885,1,154.44848344285856
1770030912.0908523,0,152.50040412204348
1770030912.0908523,1,153.8373842572623
1770030913.0908203,0,154.13336278831412
1770030913.0908203,1,152.85966853186673
1770030914.0908608,0,154.26549995057243
1770030914.0908608,1,152.63148010267096
1770030915.0909266,0,151.91172347894624
1770030915.0909266,1,154.06435309711404
1770030916.090858,0,152.99738338708212
1770030916.090858,1,153.50741659293664
1770030917.0908656,0,153.6800104390316
1770030917.0908656,1,154.10839999760776
1770030918.0908787,0,153.19889627561435
1770030918.0908787,1,152.97241790246323
1770030919.0907996,0,155.21717619445445
1770030919.0907996,1,151.95020319043695
1770030920.0909038,0,153.01863091678786
1770030920.0909038,1,152.3170813551796
1770030921.0909214,0,153.3878413739866
1770030921.0909214,1,154.51691708564303
1770030922.090868,0,152.36275469110703
1770030922.090868,1,153.7377880485538
1770030923.090879,0,152.25771501800588
1770030923.090879,1,154.51774529759976
1770030924.0908928,0,154.20707677283545
1770030924.0908928,1,152.7534186983191
1770030925.0909007,0,151.16022100232334
1770030925.0909007,1,151.8927505729046
1770030926.0909038,0,152.65002894226132
1770030926.0909038,1,153.16668706550058
1770030927.0907986,0,152.8993559061336
1770030927.0907986,1,153.0096160347252
1770030928.0908904,0,154.88013085932857
1770030928.0908904,1,153.03026822283545
1770030929.0908947,0,152.58693666878975
1770030929.0908947,1,155.37769586483924
1770030930.0908852,0,153.3795962587064
1770030930.0908852,1,152.12812413951718
1770030931.0908766,0,152.00445870352118
1770030931.0908766,1,151.03185184292533
