time,scope,value
1769977739.0908902,0,5286894.871765137
1769977739.0908902,1,5286894.871765137
1769977740.0908878,0,5287006.515014648
1769977740.0908878,1,5287006.515014648
1769977741.090904,0,5287118.174133301
1769977741.090904,1,5287118.174133301
1769977742.0909076,0,5287229.81652832
1769977742.0909076,1,5287229.930786133
1769977743.090901,0,5287341.455810547
1769977743.090901,1,5287341.575378418
1769977744.0908647,0,5287453.225219727
1769977744.0908647,1,5287453.225219727
1769977745.0908842,0,5287564.848388672
1769977745.0908842,1,5287564.965881348
1769977746.0908847,0,5287676.508972168
1769977746.0908847,1,5287676.622131348
1769977747.090913,0,5287788.194885254
1769977747.090913,1,5287788.284545898
1769977748.0909028,0,5287899.839172363
1769977748.0909028,1,5287899.958251953
1769977749.0908756,0,5288011.624084473
1769977749.0908756,1,5288011.624084473
1769977750.0908775,0,5288123.197875977
1769977750.0908775,1,5288123.31451416
1769977751.0908952,0,5288234.930175781
1769977751.0908952,1,5288235.04888916
1769977752.0908017,0,5288346.614562988
1769977752.0908017,1,5288346.614562988
1769977753.090868,0,5288458.2517700195
1769977753.090868,1,5288458.349975586
1769977754.0908697,0,5288569.937194824
1769977754.0908697,1,5288570.064331055
1769977755.0908883,0,5288681.6552734375
1769977755.0908883,1,5288681.6552734375
1769977756.0908914,0,5288793.298583984
1769977756.0908914,1,5288793.4041137695
1769977757.090866,0,5288904.952758789
1769977757.090866,1,5288905.068237305
1769977758.0908792,0,5289016.598144531
1769977758.0908792,1,5289016.721069336
1769977759.0908644,0,5289128.343811035
1769977759.0908644,1,5289128.343811035
1769977760.0908043,0,5289240.000305176
1769977760.0908043,1,5289240.096435547
1769977761.0908704,0,5289351.618225098
1769977761.0908704,1,5289351.7560424805
1769977762.0909064,0,5289463.386657715
1769977762.0909064,1,5289463.386657715
1769977763.0908954,0,5289575.019592285
1769977763.0908954,1,5289575.019592285
1769977764.0908768,0,5289686.691040039
1769977764.0908768,1,5289686.691040039
1769977765.090895,0,5289798.335449219
1769977765.090895,1,5289798.4423828125
1769977766.0909538,0,5289910.08795166
1769977766.0909538,1,5289910.08795166
1769977767.0908654,0,5290021.772766113
1769977767.0908654,1,5290021.772766113
1769977768.0909264,0,5290133.399475098
1769977768.0909264,1,5290133.399475098
1769977769.0908756,0,5290245.085144043
1769977769.0908756,1,5290245.085144043
1769977770.0908692,0,5290356.669921875
1769977770.0908692,1,5290356.827758789
1769977771.0908694,0,5290468.400146484
1769977771.0908694,1,5290468.520385742
1769977772.0909023,0,5290580.172241211
1769977772.0909023,1,5290580.172241211
1769977773.0908976,0,5290691.8185424805
1769977773.0908976,1,5290691.8185424805
1769977774.090905,0,5290803.44934082
1769977774.090905,1,5290803.44934082
1769977775.0908878,0,5290915.129211426
1769977775.0908878,1,5290915.253601074
1769977776.0909142,0,5291026.787109375
1769977776.0909142,1,5291026.9060668945
1769977777.0908918,0,5291138.51751709
1769977777.0908918,1,5291138.628479004
1769977778.0908906,0,5291250.170166016
1769977778.0908906,1,5291250.170166016
1769977779.0909107,0,5291361.835205078
1769977779.0909107,1,5291361.953613281
1769977780.0908961,0,5291473.516662598
1769977780.0908961,1,5291473.608154297
1769977781.0908906,0,5291585.236572266
1769977781.0908906,1,5291585.236572266
1769977782.0908895,0,5291696.878417969
1769977782.0908895,1,5291696.878417969
1769977783.0908918,0,5291808.554138184
1769977783.0908918,1,5291808.554138184
1769977784.0909004,0,5291920.153503418
1769977784.0909004,1,5291920.153503418
1769977785.0908756,0,5292031.936462402
1769977785.0908756,1,5292031.936462402
1769977786.0908716,0,5292143.609436035
1769977786.0908716,1,5292143.609436035
1769977787.0908802,0,5292255.257873535
1769977787.0908802,1,5292255.257873535
1769977788.0908678,0,5292366.900939941
1769977788.0908678,1,5292367.015991211
1769977789.090881,0,5292478.587524414
1769977789.090881,1,5292478.691833496
1769977790.0908744,0,5292590.330200195
1769977790.0908744,1,5292590.330200195
1769977791.0908847,0,5292702.009338379
1769977791.0908847,1,5292702.009338379
1769977792.0909042,0,5292813.631958008
1769977792.0909042,1,5292813.737792969
1769977793.09087,0,5292925.296936035
1769977793.09087,1,5292925.296936035
1769977794.0909023,0,5293036.978271484
1769977794.0909023,1,5293037.088928223
1769977795.090869,0,5293148.63269043
1769977795.090869,1,5293148.63269043
1769977796.090879,0,5293260.301513672
1769977796.090879,1,5293260.301513672
1769977797.0908592,0,5293371.960021973
1769977797.0908592,1,5293372.085510254
1769977798.090874,0,5293483.736999512
1769977798.090874,1,5293483.736999512
1769977799.090879,0,5293595.384399414
1769977799.090879,1,5293595.384399414
1769977800.0909371,0,5293707.053344727
1769977800.0909371,1,5293707.4904174805
1769977801.090879,0,5293818.714172363
1769977801.090879,1,5293818.714172363
1769977802.090893,0,5293930.45690918
1769977802.090893,1,5293930.45690918
1769977803.0909076,0,5294042.1298828125
1769977803.0909076,1,5294042.1298828125
1769977804.0908859,0,5294153.759521484
1769977804.0908859,1,5294153.759521484
1769977805.0909042,0,5294265.432678223
1769977805.0909042,1,5294265.432678223
1769977806.0908785,0,5294377.076538086
1769977806.0908785,1,5294377.1873168945
1769977807.0908797,0,5294488.763366699
1769977807.0908797,1,5294488.763366699
1769977808.0908484,0,5294600.455383301
1769977808.0908484,1,5294600.455383301
1769977809.0908167,0,5294712.061828613
1769977809.0908167,1,5294712.186218262
1769977810.090873,0,5294823.82409668
1769977810.090873,1,5294823.82409668
1769977811.0908952,0,5294935.508300781
1769977811.0908952,1,5294935.508300781
1769977812.0908952,0,5295047.138977051
1769977812.0908952,1,5295047.138977051
1769977813.0908868,0,5295158.792236328
1769977813.0908868,1,5295158.897155762
1769977814.0908732,0,5295270.522827148
1769977814.0908732,1,5295270.522827148
1769977815.0908818,0,5295382.175476074
1769977815.0908818,1,5295382.276184082
1769977816.0908902,0,5295493.829223633
1769977816.0908902,1,5295493.950012207
1769977817.090895,0,5295605.580200195
1769977817.090895,1,5295605.580200195
1769977818.09091,0,5295717.215087891
1769977818.09091,1,5295717.215087891
1769977819.0909247,0,5295828.846496582
1769977819.0909247,1,5295828.9611206055
1769977820.0908852,0,5295940.631958008
1769977820.0908852,1,5295940.631958008
1769977821.090914,0,5296052.262939453
1769977821.090914,1,5296052.40826416
1769977822.0908797,0,5296163.901794434
1769977822.0908797,1,5296164.027648926
1769977823.0908897,0,5296275.542907715
1769977823.0908897,1,5296275.655944824
1769977824.0909069,0,5296387.316650391
1769977824.0909069,1,5296387.316650391
1769977825.09087,0,5296498.937133789
1769977825.09087,1,5296498.937133789
1769977826.0909138,0,5296610.58782959
1769977826.0909138,1,5296610.692810059
1769977827.0908613,0,5296724.519775391
1769977827.0908613,1,5296724.519775391
1769977828.0908866,0,5296833.987121582
1769977828.0908866,1,5296833.987121582
1769977829.0908804,0,5296945.621154785
1769977829.0908804,1,5296945.621154785
1769977830.0909026,0,5297057.302368164
1769977830.0909026,1,5297057.416503906
1769977831.090919,0,5297169.036804199
1769977831.090919,1,5297169.036804199
1769977832.0908911,0,5297280.671325684
1769977832.0908911,1,5297280.671325684
1769977833.090896,0,5297392.420837402
1769977833.090896,1,5297392.420837402
1769977834.090895,0,5297504.058349609
1769977834.090895,1,5297504.058349609
1769977835.0908785,0,5297615.719238281
1769977835.0908785,1,5297615.719238281
1769977836.0908947,0,5297727.415344238
1769977836.0908947,1,5297727.538391113
1769977837.0909023,0,5297839.098205566
1769977837.0909023,1,5297839.098205566
1769977838.090872,0,5297950.658447266
1769977838.090872,1,5297950.780944824
1769977839.0909133,0,5298062.391479492
1769977839.0909133,1,5298062.514953613
1769977840.0909064,0,5298174.1466674805
1769977840.0909064,1,5298174.1466674805
1769977841.0908759,0,5298285.791015625
1769977841.0908759,1,5298285.791015625
1769977842.0908766,0,5298397.368530273
1769977842.0908766,1,5298397.49206543
1769977843.090905,0,5298509.139709473
1769977843.090905,1,5298509.139709473
1769977844.090893,0,5298620.756225586
1769977844.090893,1,5298620.756225586
1769977845.0908933,0,5298732.436157227
1769977845.0908933,1,5298732.436157227
1769977846.090915,0,5298844.172912598
1769977846.090915,1,5298844.172912598
1769977847.0909302,0,5298955.842468262
1769977847.0909302,1,5298955.842468262
1769977848.090881,0,5299067.465270996
1769977848.090881,1,5299067.581115723
1769977849.090864,0,5299179.213500977
1769977849.090864,1,5299179.316711426
1769977850.0909092,0,5299290.870300293
1769977850.0909092,1,5299290.870300293
1769977851.090938,0,5299402.519287109
1769977851.090938,1,5299402.624389648
1769977852.0907936,0,5299514.188354492
1769977852.0907936,1,5299514.188354492
1769977853.0909026,0,5299625.938049316
1769977853.0909026,1,5299625.938049316
1769977854.090857,0,5299737.575500488
1769977854.090857,1,5299737.575500488
1769977855.0908897,0,5299849.235290527
1769977855.0908897,1,5299849.348754883
1769977856.0909033,0,5299960.890625
1769977856.0909033,1,5299961.005126953
1769977857.0908813,0,5300072.529968262
1769977857.0908813,1,5300072.647521973
1769977858.0909033,0,5300184.290100098
1769977858.0909033,1,5300184.290100098
1769977859.0908825,0,5300295.955078125
1769977859.0908825,1,5300295.955078125
1769977860.0909274,0,5300407.673828125
1769977860.0909274,1,5300407.673828125
1769977861.0908935,0,5300519.351623535
1769977861.0908935,1,5300519.351623535
1769977862.090865,0,5300630.996154785
1769977862.090865,1,5300631.111022949
1769977863.090895,0,5300742.652648926
1769977863.090895,1,5300742.652648926
1769977864.0909007,0,5300854.401794434
1769977864.0909007,1,5300854.401794434
1769977865.0908902,0,5300966.022216797
1769977865.0908902,1,5300966.022216797
1769977866.0908911,0,5301077.663452148
1769977866.0908911,1,5301077.767028809
1769977867.0907397,0,5301189.2911987305
1769977867.0907397,1,5301189.413208008
1769977868.0908926,0,5301301.046569824
1769977868.0908926,1,5301301.046569824
1769977869.0909226,0,5301412.66607666
1769977869.0909226,1,5301412.752746582
1769977870.0909226,0,5301524.401855469
1769977870.0909226,1,5301524.401855469
1769977871.0908606,0,5301636.047546387
1769977871.0908606,1,5301636.047546387
1769977872.0908747,0,5301747.7158203125
1769977872.0908747,1,5301747.825561523
1769977873.090878,0,5301859.355224609
1769977873.090878,1,5301859.468688965
1769977874.0909092,0,5301971.101196289
1769977874.0909092,1,5301971.101196289
1769977875.0909183,0,5302082.7556762695
1769977875.0909183,1,5302082.7556762695
