time,scope,value
1769981274.0908902,0,5678817.9373168945
1769981274.0908902,1,5678817.9373168945
1769981275.0908675,0,5678929.438110352
1769981275.0908675,1,5678929.537719727
1769981276.0908892,0,5679041.08404541
1769981276.0908892,1,5679041.196350098
1769981277.0908782,0,5679152.741760254
1769981277.0908782,1,5679152.8751831055
1769981278.0907967,0,5679264.471252441
1769981278.0907967,1,5679264.471252441
1769981279.090902,0,5679376.17565918
1769981279.090902,1,5679376.17565918
1769981280.0908535,0,5679487.802001953
1769981280.0908535,1,5679487.912963867
1769981281.0908856,0,5679599.498657227
1769981281.0908856,1,5679599.609069824
1769981282.090887,0,5679711.184753418
1769981282.090887,1,5679711.184753418
1769981283.0908794,0,5679822.873596191
1769981283.0908794,1,5679822.981994629
1769981284.0908866,0,5679934.592285156
1769981284.0908866,1,5679934.592285156
1769981285.0908513,0,5680046.254699707
1769981285.0908513,1,5680046.254699707
1769981286.0908709,0,5680157.886047363
1769981286.0908709,1,5680157.886047363
1769981287.0908732,0,5680269.5353393555
1769981287.0908732,1,5680269.647094727
1769981288.0908859,0,5680381.288452148
1769981288.0908859,1,5680381.288452148
1769981289.0908694,0,5680492.9384765625
1769981289.0908694,1,5680492.9384765625
1769981290.0908892,0,5680604.6638793945
1769981290.0908892,1,5680604.6638793945
1769981291.0908558,0,5680716.247924805
1769981291.0908558,1,5680716.356750488
1769981292.090863,0,5680827.920654297
1769981292.090863,1,5680828.034851074
1769981293.0908747,0,5680939.582397461
1769981293.0908747,1,5680939.711669922
1769981294.0908592,0,5681051.277587891
1769981294.0908592,1,5681051.384155273
1769981295.0908763,0,5681162.954528809
1769981295.0908763,1,5681163.0693359375
1769981296.0908942,0,5681274.659301758
1769981296.0908942,1,5681274.659301758
1769981297.0908086,0,5681386.32019043
1769981297.0908086,1,5681386.32019043
1769981298.0908682,0,5681498.032409668
1769981298.0908682,1,5681498.032409668
1769981299.0908182,0,5681609.6337890625
1769981299.0908182,1,5681609.744750977
1769981300.0909345,0,5681721.380187988
1769981300.0909345,1,5681721.495788574
1769981301.0908659,0,5681833.055847168
1769981301.0908659,1,5681833.055847168
1769981302.090863,0,5681944.661560059
1769981302.090863,1,5681944.778991699
1769981303.0908704,0,5682056.366455078
1769981303.0908704,1,5682056.498291016
1769981304.090902,0,5682168.082397461
1769981304.090902,1,5682168.082397461
1769981305.0908427,0,5682279.680053711
1769981305.0908427,1,5682279.795166016
1769981306.090872,0,5682391.45300293
1769981306.090872,1,5682391.45300293
1769981307.0908873,0,5682503.145812988
1769981307.0908873,1,5682503.145812988
1769981308.090874,0,5682614.768676758
1769981308.090874,1,5682614.768676758
1769981309.0908773,0,5682726.456359863
1769981309.0908773,1,5682726.456359863
1769981310.090875,0,5682838.178527832
1769981310.090875,1,5682838.178527832
1769981311.090903,0,5682949.853515625
1769981311.090903,1,5682949.853515625
1769981312.0908718,0,5683061.514892578
1769981312.0908718,1,5683061.514892578
1769981313.0908694,0,5683173.20501709
1769981313.0908694,1,5683173.20501709
1769981314.0908961,0,5683284.80279541
1769981314.0908961,1,5683284.912719727
1769981315.0908718,0,5683396.476257324
1769981315.0908718,1,5683396.476257324
1769981316.0908878,0,5683508.1974487305
1769981316.0908878,1,5683508.311706543
1769981317.090887,0,5683619.8416137695
1769981317.090887,1,5683619.8416137695
1769981318.0908856,0,5683731.512329102
1769981318.0908856,1,5683731.619018555
1769981319.0908525,0,5683843.166931152
1769981319.0908525,1,5683843.277648926
1769981320.0908766,0,5683954.906494141
1769981320.0908766,1,5683954.906494141
1769981321.0908778,0,5684066.540588379
1769981321.0908778,1,5684066.658081055
1769981322.0908628,0,5684178.211242676
1769981322.0908628,1,5684178.211242676
1769981323.0909023,0,5684289.883117676
1769981323.0909023,1,5684290.012939453
1769981324.090868,0,5684401.64251709
1769981324.090868,1,5684401.64251709
1769981325.0908673,0,5684513.301940918
1769981325.0908673,1,5684513.301940918
1769981326.0908961,0,5684624.963745117
1769981326.0908961,1,5684624.963745117
