time,value
1770125065.5588481,1.0
1770125065.569575,3.0
1770125065.5807233,3.0
1770125065.591006,3.0
1770125065.601422,3.0
1770125065.6118639,3.0
1770125065.6227524,3.0
1770125065.6331565,3.0
1770125065.6437104,3.0
1770125065.654034,3.0
1770125065.664444,3.0
1770125065.6748972,3.0
1770125065.6854,3.0
1770125065.6958148,3.0
1770125065.7079124,3.0
1770125065.7182715,3.0
1770125065.728664,3.0
1770125065.7390432,3.0
1770125065.749374,3.0
1770125065.7596989,3.0
1770125065.770079,3.0
1770125065.7805276,3.0
1770125065.7909384,3.0
1770125065.801305,3.0
1770125065.8117268,3.0
1770125065.8220613,3.0
1770125065.8339362,3.0
1770125065.8452096,3.0
1770125065.857306,3.0
1770125065.8696911,3.0
1770125065.8824325,3.0
1770125065.8949127,3.0
1770125065.9074771,3.0
1770125065.9199557,3.0
1770125065.932506,3.0
1770125065.9451385,3.0
1770125065.9587727,3.0
1770125065.9707646,3.0
1770125065.9827435,3.0
1770125065.99455,3.0
1770125066.0063841,3.0
1770125066.018331,3.0
1770125066.0301917,3.0
1770125066.0420594,3.0
1770125066.053902,3.0
1770125066.0657666,3.0
1770125066.0777366,3.0
1770125066.0896082,3.0
1770125066.1013908,3.0
1770125066.113419,3.0
1770125066.1252258,3.0
1770125066.137136,3.0
1770125066.1489782,3.0
1770125066.1608047,3.0
1770125066.1727102,3.0
1770125066.1845553,3.0
1770125066.1963806,3.0
1770125066.2081203,3.0
1770125066.219923,3.0
1770125066.231705,3.0
1770125066.2435591,3.0
1770125066.2555413,3.0
1770125066.2674098,3.0
1770125066.279603,3.0
1770125066.291353,3.0
1770125066.3031437,3.0
1770125066.3149405,3.0
1770125066.326833,3.0
1770125066.3385775,3.0
1770125066.3504612,3.0
1770125066.3623536,3.0
1770125066.3741112,3.0
1770125066.3860102,3.0
1770125066.397848,3.0
1770125066.4096553,3.0
1770125066.4214385,3.0
1770125066.4333851,3.0
1770125066.4452147,3.0
1770125066.456991,3.0
1770125066.4687335,3.0
1770125066.4806614,3.0
1770125066.4925375,3.0
1770125066.5111368,2.0
1770125066.521756,1.0
1770125066.5332267,3.0
1770125066.5465229,3.0
1770125066.5586083,3.0
1770125066.5707078,3.0
1770125066.582763,3.0
1770125066.5948045,3.0
1770125066.6071906,3.0
1770125066.6191,3.0
1770125066.6311407,3.0
1770125066.6433644,3.0
1770125066.6553538,3.0
1770125066.6674001,3.0
1770125066.679721,3.0
1770125066.691771,3.0
1770125066.7043784,3.0
1770125066.716384,3.0
1770125066.7283766,3.0
1770125066.7405372,3.0
1770125066.7525935,3.0
1770125066.764579,3.0
1770125066.7766075,3.0
1770125066.788811,3.0
1770125066.800875,3.0
1770125066.8129246,3.0
1770125066.8248918,3.0
1770125066.8369293,3.0
1770125066.8490329,3.0
1770125066.8611102,3.0
1770125066.8732028,3.0
1770125066.885347,3.0
1770125066.8973567,3.0
1770125066.9093757,3.0
1770125066.9214234,3.0
1770125066.933504,3.0
1770125066.9454682,3.0
1770125066.9576082,3.0
1770125066.9697003,3.0
1770125066.9816933,3.0
1770125066.9938152,3.0
1770125067.0057762,3.0
1770125067.0177531,3.0
1770125067.0297348,3.0
1770125067.0418177,3.0
1770125067.0538204,3.0
1770125067.065783,3.0
1770125067.078027,3.0
1770125067.090027,3.0
1770125067.1020792,3.0
1770125067.114114,3.0
1770125067.1259825,3.0
1770125067.1380506,3.0
1770125067.1500697,3.0
1770125067.1620393,3.0
1770125067.174004,3.0
1770125067.1860974,3.0
1770125067.1980724,3.0
1770125067.2100973,3.0
1770125067.2220972,3.0
1770125067.2340837,3.0
1770125067.246069,3.0
1770125067.2581658,3.0
1770125067.270172,3.0
1770125067.2823675,3.0
1770125067.294342,3.0
1770125067.3063774,3.0
1770125067.318357,3.0
1770125067.3305273,3.0
1770125067.34248,3.0
1770125067.3544269,3.0
1770125067.3663976,3.0
1770125067.3785098,3.0
1770125067.3905005,3.0
1770125067.402443,3.0
1770125067.4145944,3.0
1770125067.4265797,3.0
1770125067.43852,3.0
1770125067.4505026,3.0
1770125067.4625847,3.0
1770125067.4745748,3.0
1770125067.4865904,3.0
1770125067.4997363,3.0
1770125067.5139642,1.0
1770125067.526098,3.0
1770125067.5378659,3.0
1770125067.5498197,3.0
1770125067.5690637,2.0
1770125067.5874119,2.0
1770125067.6005137,3.0
1770125067.6132076,3.0
1770125067.625797,3.0
1770125067.6381998,3.0
1770125067.6509252,3.0
1770125067.663381,3.0
1770125067.6757994,3.0
1770125067.6885395,3.0
1770125067.7010868,3.0
1770125067.7136416,3.0
1770125067.7261648,3.0
1770125067.7386916,3.0
1770125067.7511349,3.0
1770125067.7634494,3.0
1770125067.7757318,3.0
1770125067.7880192,3.0
1770125067.8003678,3.0
1770125067.8125987,3.0
1770125067.8248398,3.0
1770125067.8370807,3.0
1770125067.8493047,3.0
1770125067.8615303,3.0
1770125067.8740585,3.0
1770125067.8862803,3.0
1770125067.8984497,3.0
1770125067.9105825,3.0
1770125067.922783,3.0
1770125067.9349837,3.0
1770125067.9471467,3.0
1770125067.9593205,3.0
1770125067.9715633,3.0
1770125067.9837418,3.0
1770125067.9959898,3.0
1770125068.0081763,3.0
1770125068.0204222,3.0
1770125068.032648,3.0
1770125068.0447915,3.0
1770125068.057101,3.0
1770125068.0693355,3.0
1770125068.081578,3.0
1770125068.0937068,3.0
1770125068.1058943,3.0
1770125068.1180444,3.0
1770125068.1303422,3.0
1770125068.1425054,3.0
1770125068.1546483,3.0
1770125068.16684,3.0
1770125068.179026,3.0
1770125068.191063,3.0
1770125068.2032442,3.0
1770125068.2154331,3.0
1770125068.2276106,3.0
1770125068.2397106,3.0
1770125068.2520692,3.0
1770125068.2642107,3.0
1770125068.2764757,3.0
1770125068.2886682,3.0
1770125068.3008125,3.0
1770125068.3129833,3.0
1770125068.3251848,3.0
1770125068.3373897,3.0
1770125068.3495495,3.0
1770125068.361741,3.0
1770125068.3753417,3.0
1770125068.3874462,3.0
1770125068.399726,3.0
1770125068.4120488,3.0
1770125068.424295,3.0
1770125068.4365618,3.0
1770125068.4487913,3.0
1770125068.4612045,3.0
1770125068.473623,3.0
1770125068.4858289,3.0
1770125068.4995909,3.0
1770125068.5180361,2.0
1770125068.5288427,2.0
1770125068.5405855,3.0
1770125068.5526018,3.0
1770125068.5646622,3.0
1770125068.5767412,3.0
1770125068.5887983,3.0
1770125068.6008248,3.0
1770125068.6131728,3.0
1770125068.6252036,3.0
1770125068.6373746,3.0
1770125068.649662,3.0
1770125068.661681,3.0
1770125068.6737938,3.0
1770125068.6860251,3.0
1770125068.6980872,3.0
1770125068.7104208,3.0
1770125068.7224524,3.0
1770125068.7345216,3.0
1770125068.7465801,3.0
1770125068.758676,3.0
1770125068.7707112,3.0
1770125068.7827806,3.0
1770125068.7949762,3.0
1770125068.8070197,3.0
1770125068.8190918,3.0
1770125068.8310971,3.0
1770125068.843121,3.0
1770125068.8552272,3.0
1770125068.867307,3.0
1770125068.879349,3.0
1770125068.8914266,3.0
1770125068.9034731,3.0
1770125068.9158137,3.0
1770125068.9278538,3.0
1770125068.9399042,3.0
1770125068.9519672,3.0
1770125068.964141,3.0
1770125068.976229,3.0
1770125068.988323,3.0
1770125069.0003693,3.0
1770125069.0126488,3.0
1770125069.0247307,3.0
1770125069.0367527,3.0
1770125069.0488415,3.0
1770125069.060857,3.0
1770125069.0729134,3.0
1770125069.0851583,3.0
1770125069.0971925,3.0
1770125069.1092525,3.0
1770125069.1213105,3.0
1770125069.133368,3.0
1770125069.1454601,3.0
1770125069.1574981,3.0
1770125069.169556,3.0
1770125069.181619,3.0
1770125069.193685,3.0
1770125069.20575,3.0
1770125069.2177975,3.0
1770125069.229863,3.0
1770125069.241897,3.0
1770125069.2539096,3.0
1770125069.2659822,3.0
1770125069.2781076,3.0
1770125069.290192,3.0
1770125069.3021848,3.0
1770125069.3142567,3.0
1770125069.3262858,3.0
1770125069.3383427,3.0
1770125069.3504026,3.0
1770125069.3624558,3.0
1770125069.3745143,3.0
1770125069.3865519,3.0
1770125069.3985963,3.0
1770125069.4106812,3.0
1770125069.4227054,3.0
1770125069.4347212,3.0
1770125069.4467707,3.0
1770125069.4591808,3.0
1770125069.471158,3.0
1770125069.4833074,3.0
1770125069.495224,3.0
1770125069.5083866,3.0
1770125069.5185602,2.0
1770125069.5305598,3.0
1770125069.5425408,3.0
1770125069.5545983,3.0
1770125069.5666535,3.0
1770125069.578785,3.0
1770125069.5908177,3.0
1770125069.602875,3.0
1770125069.615163,3.0
1770125069.6386716,3.0
1770125069.6497025,2.0
1770125069.66065,2.0
1770125069.671758,2.0
1770125069.6830308,2.0
1770125069.6940954,2.0
1770125069.7053084,2.0
1770125069.7162926,2.0
1770125069.7276907,2.0
1770125069.7387655,2.0
1770125069.749868,2.0
1770125069.760951,2.0
1770125069.7720604,2.0
1770125069.783126,2.0
1770125069.7942078,2.0
1770125069.8055077,2.0
1770125069.816539,2.0
1770125069.8276384,2.0
1770125069.8387296,2.0
1770125069.8498125,2.0
1770125069.8608644,2.0
1770125069.8720822,2.0
1770125069.8832617,2.0
1770125069.894314,2.0
1770125069.9054298,2.0
1770125069.9164605,2.0
1770125069.928022,2.0
1770125069.9392028,2.0
1770125069.9502642,2.0
1770125069.9614894,2.0
1770125069.9725912,2.0
1770125069.9836898,2.0
1770125069.9954474,2.0
1770125070.0064836,2.0
1770125070.0175495,2.0
1770125070.0286472,2.0
1770125070.0397346,2.0
1770125070.0508852,2.0
1770125070.0619702,2.0
1770125070.0732841,2.0
1770125070.0844357,2.0
1770125070.0956779,2.0
1770125070.1067436,2.0
1770125070.1178508,2.0
1770125070.1288877,2.0
1770125070.1400418,2.0
1770125070.1511033,2.0
1770125070.1621726,2.0
1770125070.1732814,2.0
1770125070.184918,2.0
1770125070.1962273,2.0
1770125070.2072906,2.0
1770125070.218383,2.0
1770125070.2294497,2.0
1770125070.2405,2.0
1770125070.2516224,2.0
1770125070.262744,2.0
1770125070.2738004,2.0
1770125070.2848625,2.0
1770125070.2959318,2.0
1770125070.3069603,2.0
1770125070.3179858,2.0
1770125070.3290932,2.0
1770125070.3400798,2.0
1770125070.3512049,2.0
1770125070.3622754,2.0
1770125070.3733451,2.0
1770125070.384376,2.0
1770125070.3954475,2.0
1770125070.4065318,2.0
1770125070.4176133,2.0
1770125070.4286535,2.0
1770125070.439724,2.0
1770125070.4507744,2.0
1770125070.461911,2.0
1770125070.4729307,2.0
1770125070.4839764,2.0
1770125070.4950705,2.0
1770125070.5066857,2.0
1770125070.5186563,2.0
1770125070.5296702,2.0
1770125070.5407772,2.0
1770125070.5518255,2.0
1770125070.5628629,2.0
1770125070.573926,2.0
1770125070.5850568,2.0
1770125070.5961137,2.0
1770125070.6072419,2.0
1770125070.6183226,2.0
1770125070.6293514,2.0
1770125070.6405644,2.0
1770125070.651722,2.0
1770125070.662792,2.0
1770125070.6738183,2.0
1770125070.6850617,2.0
1770125070.6960046,2.0
1770125070.7073245,2.0
1770125070.7183895,2.0
1770125070.7295866,2.0
1770125070.7406132,2.0
1770125070.7516427,2.0
1770125070.762777,2.0
1770125070.77383,2.0
1770125070.7848628,2.0
1770125070.795969,2.0
1770125070.80699,2.0
1770125070.8182867,2.0
1770125070.8293157,2.0
1770125070.8403783,2.0
1770125070.8514588,2.0
1770125070.862603,2.0
1770125070.8737907,2.0
1770125070.884871,2.0
1770125070.8959239,2.0
1770125070.9069307,2.0
1770125070.9179726,2.0
1770125070.929179,2.0
1770125070.940168,2.0
1770125070.951263,2.0
1770125070.9624796,2.0
1770125070.9735677,2.0
1770125070.9846385,2.0
1770125070.9957519,2.0
1770125071.0067928,2.0
1770125071.017811,2.0
1770125071.029085,2.0
1770125071.0401442,2.0
1770125071.0511792,2.0
1770125071.0622342,2.0
1770125071.073316,2.0
1770125071.084457,2.0
1770125071.09555,2.0
1770125071.106619,2.0
1770125071.1176379,2.0
1770125071.1287014,2.0
1770125071.139789,2.0
1770125071.1508238,2.0
1770125071.1617954,2.0
1770125071.1728737,2.0
1770125071.1839437,2.0
1770125071.1952503,2.0
1770125071.2062879,2.0
1770125071.2173173,2.0
1770125071.228414,2.0
1770125071.2394364,2.0
1770125071.250521,2.0
1770125071.2615252,2.0
1770125071.27259,2.0
1770125071.283755,2.0
1770125071.294786,2.0
1770125071.3059342,2.0
1770125071.3170724,2.0
1770125071.3282225,2.0
1770125071.339349,2.0
1770125071.3505013,2.0
1770125071.3616302,2.0
1770125071.3728814,2.0
1770125071.384095,2.0
1770125071.3952115,2.0
1770125071.4063182,2.0
1770125071.4175096,2.0
1770125071.4286907,2.0
1770125071.439789,2.0
1770125071.4508991,2.0
1770125071.4619715,2.0
1770125071.4730592,2.0
1770125071.4841998,2.0
1770125071.4966102,2.0
1770125071.5075521,2.0
1770125071.519332,2.0
1770125071.5305698,2.0
1770125071.5416522,2.0
1770125071.5528283,2.0
1770125071.5639386,2.0
1770125071.5750403,2.0
1770125071.586182,2.0
1770125071.5973067,2.0
1770125071.608422,2.0
1770125071.619533,2.0
1770125071.630539,2.0
1770125071.641514,2.0
1770125071.6526177,2.0
1770125071.6637146,2.0
1770125071.6747005,2.0
1770125071.6863444,2.0
1770125071.6972225,2.0
1770125071.708391,2.0
1770125071.719358,2.0
1770125071.7303548,2.0
1770125071.7413192,2.0
1770125071.7522554,2.0
1770125071.7632356,2.0
1770125071.774261,2.0
1770125071.785253,2.0
1770125071.7961946,2.0
1770125071.8071613,2.0
1770125071.818154,2.0
1770125071.829125,2.0
1770125071.8400412,2.0
1770125071.8510187,2.0
1770125071.8620048,2.0
1770125071.8729029,2.0
1770125071.8839457,2.0
1770125071.8949513,2.0
1770125071.9059076,2.0
1770125071.9168928,2.0
1770125071.9279032,2.0
1770125071.9388611,2.0
1770125071.9498525,2.0
1770125071.9609597,2.0
1770125071.9720395,2.0
1770125071.9831643,2.0
1770125071.9941394,2.0
1770125072.0051541,2.0
1770125072.016319,2.0
1770125072.0272553,2.0
1770125072.0382125,2.0
1770125072.049269,2.0
1770125072.0602417,2.0
1770125072.0712042,2.0
1770125072.0821579,2.0
1770125072.0931761,2.0
1770125072.1041386,2.0
1770125072.1151078,2.0
1770125072.1260269,2.0
1770125072.1370437,2.0
1770125072.1481054,2.0
1770125072.1590397,2.0
1770125072.17003,2.0
1770125072.1809506,2.0
1770125072.1918952,2.0
1770125072.20297,2.0
1770125072.2139504,2.0
1770125072.2249393,2.0
1770125072.2359047,2.0
1770125072.2468214,2.0
1770125072.2577927,2.0
1770125072.2686946,2.0
1770125072.2796686,2.0
1770125072.2906256,2.0
1770125072.3016212,2.0
1770125072.3125432,2.0
1770125072.3235574,2.0
1770125072.3345652,2.0
1770125072.345651,2.0
1770125072.356566,2.0
1770125072.3674846,2.0
1770125072.3784537,2.0
