time,actuator,value
1751825572.678771,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825574.6837282,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825576.6888514,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825578.6937392,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825580.6988685,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825582.7056513,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825584.7113478,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825586.7164283,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825588.7215052,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825590.7262888,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825592.7312694,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825594.7353935,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825596.740503,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825598.7462828,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825600.7511542,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825602.7553992,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825604.7599351,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825606.7648783,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825608.7711701,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825610.7780485,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825612.782658,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825614.7875338,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825616.7931156,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825618.7978802,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825620.8027012,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825622.8078837,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825624.8132048,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825626.8176847,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825628.8221595,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825630.8284376,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825632.8342657,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825634.8388453,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825636.8447247,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825638.8493958,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825640.853818,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825642.8584263,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825644.862578,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825646.8669913,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825648.8716133,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825650.876404,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825652.882812,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825654.887295,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825656.891791,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825658.8959975,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825660.900498,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825662.9048855,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825664.909463,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825666.9146583,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825668.9205484,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825670.92564,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825672.936623,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825674.94095,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825676.9458957,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825678.9517105,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825680.9584916,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825682.963716,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825684.9692361,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825686.9753273,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825688.9801598,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825690.985762,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825692.9904742,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825694.9951494,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825697.0003362,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825699.005402,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825701.0099244,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825703.0150294,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825705.0206914,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825707.025429,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825709.030914,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825711.0372257,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825713.0421429,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825715.0472517,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825717.0521958,Actuator(ptr=c_void_p(94855083734304)),147.0
1751825719.0568526,Actuator(ptr=c_void_p(94855083734304)),147.0
