time,scope,value
1742778355.212975,nrm.extra.perf.PAPI_L3_TCA.192206,2014834357.0
1742778355.212975,nrm.extra.perf.PAPI_TOT_INS.192206,40332833564.0
1742778355.212975,nrm.extra.perf.PAPI_TOT_CYC.192206,208385432762.0
1742778355.212975,nrm.extra.perf.PAPI_RES_STL.192206,171038220664.0
1742778355.212975,nrm.extra.perf.PAPI_L3_TCM.192206,1874723245.0
1742778356.2125907,nrm.extra.perf.PAPI_L3_TCA.192206,4071602469.0
1742778356.2125907,nrm.extra.perf.PAPI_TOT_INS.192206,80230525722.0
1742778356.2125907,nrm.extra.perf.PAPI_TOT_CYC.192206,390012483930.0
1742778356.2125907,nrm.extra.perf.PAPI_RES_STL.192206,323848167706.0
1742778356.2125907,nrm.extra.perf.PAPI_L3_TCM.192206,3795430560.0
1742778357.2124429,nrm.extra.perf.PAPI_L3_TCA.192206,6127883953.0
1742778357.2124429,nrm.extra.perf.PAPI_TOT_INS.192206,120087211349.0
1742778357.2124429,nrm.extra.perf.PAPI_TOT_CYC.192206,571472584003.0
1742778357.2124429,nrm.extra.perf.PAPI_RES_STL.192206,476691429997.0
1742778357.2124429,nrm.extra.perf.PAPI_L3_TCM.192206,5715922063.0
1742778358.2142985,nrm.extra.perf.PAPI_L3_TCA.192206,8183056992.0
1742778358.2142985,nrm.extra.perf.PAPI_TOT_INS.192206,159970845499.0
1742778358.2142985,nrm.extra.perf.PAPI_TOT_CYC.192206,753484472610.0
1742778358.2142985,nrm.extra.perf.PAPI_RES_STL.192206,629832249604.0
1742778358.2142985,nrm.extra.perf.PAPI_L3_TCM.192206,7635850972.0
1742778359.2151892,nrm.extra.perf.PAPI_L3_TCA.192206,10261944378.0
1742778359.2151892,nrm.extra.perf.PAPI_TOT_INS.192206,200220345322.0
1742778359.2151892,nrm.extra.perf.PAPI_TOT_CYC.192206,937255191064.0
1742778359.2151892,nrm.extra.perf.PAPI_RES_STL.192206,785163221307.0
1742778359.2151892,nrm.extra.perf.PAPI_L3_TCM.192206,9579286313.0
1742778360.2166247,nrm.extra.perf.PAPI_L3_TCA.192206,12352024976.0
1742778360.2166247,nrm.extra.perf.PAPI_TOT_INS.192206,240514948281.0
1742778360.2166247,nrm.extra.perf.PAPI_TOT_CYC.192206,1120833704855.0
1742778360.2166247,nrm.extra.perf.PAPI_RES_STL.192206,941440104594.0
1742778360.2166247,nrm.extra.perf.PAPI_L3_TCM.192206,11534347655.0
1742778361.2155523,nrm.extra.perf.PAPI_L3_TCA.192206,14447655757.0
1742778361.2155523,nrm.extra.perf.PAPI_TOT_INS.192206,280828211046.0
1742778361.2155523,nrm.extra.perf.PAPI_TOT_CYC.192206,1304094702212.0
1742778361.2155523,nrm.extra.perf.PAPI_RES_STL.192206,1097686518633.0
1742778361.2155523,nrm.extra.perf.PAPI_L3_TCM.192206,13489316710.0
1742778362.2143269,nrm.extra.perf.PAPI_L3_TCA.192206,16532794815.0
1742778362.2143269,nrm.extra.perf.PAPI_TOT_INS.192206,321071835122.0
