time,scope,value
1742780868.1322732,nrm.extra.perf.PAPI_L3_TCA.195309,389562263.0
1742780868.1322732,nrm.extra.perf.PAPI_TOT_INS.195309,132554184661.0
1742780868.1322732,nrm.extra.perf.PAPI_TOT_CYC.195309,242293461800.0
1742780868.1322732,nrm.extra.perf.PAPI_RES_STL.195309,115384657275.0
1742780868.1322732,nrm.extra.perf.PAPI_L3_TCM.195309,49915917.0
1742780869.1326861,nrm.extra.perf.PAPI_L3_TCA.195309,781908648.0
1742780869.1326861,nrm.extra.perf.PAPI_TOT_INS.195309,264305247708.0
1742780869.1326861,nrm.extra.perf.PAPI_TOT_CYC.195309,470276755155.0
1742780869.1326861,nrm.extra.perf.PAPI_RES_STL.195309,229318229436.0
1742780869.1326861,nrm.extra.perf.PAPI_L3_TCM.195309,98758934.0
1742780870.132064,nrm.extra.perf.PAPI_L3_TCA.195309,1171777007.0
1742780870.132064,nrm.extra.perf.PAPI_TOT_INS.195309,395665370230.0
1742780870.132064,nrm.extra.perf.PAPI_TOT_CYC.195309,697763377762.0
1742780870.132064,nrm.extra.perf.PAPI_RES_STL.195309,341408288213.0
1742780870.132064,nrm.extra.perf.PAPI_L3_TCM.195309,148400398.0
1742780871.132429,nrm.extra.perf.PAPI_L3_TCA.195309,1568717620.0
1742780871.132429,nrm.extra.perf.PAPI_TOT_INS.195309,529030194950.0
1742780871.132429,nrm.extra.perf.PAPI_TOT_CYC.195309,925509002131.0
1742780871.132429,nrm.extra.perf.PAPI_RES_STL.195309,454239657630.0
1742780871.132429,nrm.extra.perf.PAPI_L3_TCM.195309,196981651.0
1742780872.132828,nrm.extra.perf.PAPI_L3_TCA.195309,1964578193.0
1742780872.132828,nrm.extra.perf.PAPI_TOT_INS.195309,661990820363.0
1742780872.132828,nrm.extra.perf.PAPI_TOT_CYC.195309,1153565239998.0
1742780872.132828,nrm.extra.perf.PAPI_RES_STL.195309,566763738627.0
1742780872.132828,nrm.extra.perf.PAPI_L3_TCM.195309,246698835.0
1742780873.132172,nrm.extra.perf.PAPI_L3_TCA.195309,2360527825.0
1742780873.132172,nrm.extra.perf.PAPI_TOT_INS.195309,794872699173.0
1742780873.132172,nrm.extra.perf.PAPI_TOT_CYC.195309,1381283183566.0
1742780873.132172,nrm.extra.perf.PAPI_RES_STL.195309,679331489230.0
1742780873.132172,nrm.extra.perf.PAPI_L3_TCM.195309,296320810.0
1742780874.132594,nrm.extra.perf.PAPI_L3_TCA.195309,2755924975.0
1742780874.132594,nrm.extra.perf.PAPI_TOT_INS.195309,928090410142.0
1742780874.132594,nrm.extra.perf.PAPI_TOT_CYC.195309,1609519089348.0
1742780874.132594,nrm.extra.perf.PAPI_RES_STL.195309,791570293684.0
1742780874.132594,nrm.extra.perf.PAPI_L3_TCM.195309,344647114.0
1742780875.1319752,nrm.extra.perf.PAPI_L3_TCA.195309,3151767705.0
1742780875.1319752,nrm.extra.perf.PAPI_TOT_INS.195309,1061015336347.0
1742780875.1319752,nrm.extra.perf.PAPI_TOT_CYC.195309,1837189787651.0
1742780875.1319752,nrm.extra.perf.PAPI_RES_STL.195309,904315388719.0
1742780875.1319752,nrm.extra.perf.PAPI_L3_TCM.195309,394050972.0
1742780876.1312814,nrm.extra.perf.PAPI_L3_TCA.195309,3514712534.0
