time,scope,value
1749185311.101366,0,132959.47729492188
1749185311.101366,1,132959.55725097656
1749185312.10216,0,133038.52154541016
1749185312.10216,1,133038.83361816406
1749185313.1016238,0,133205.25775146484
1749185313.1016238,1,133205.4155883789
1749185314.1016474,0,133375.02728271484
1749185314.1016474,1,133375.33599853516
1749185315.1012323,0,133545.28930664062
1749185315.1012323,1,133545.47399902344
1749185316.10124,0,133709.57440185547
1749185316.10124,1,133709.8335571289
1749185317.1018112,0,133874.44903564453
1749185317.1018112,1,133875.0650024414
1749185318.101814,0,134039.31567382812
1749185318.101814,1,134039.76538085938
1749185319.1017928,0,134203.48760986328
1749185319.1017928,1,134203.77392578125
1749185320.102021,0,134368.08001708984
1749185320.102021,1,134368.2196044922
1749185321.1020415,0,134532.69537353516
1749185321.1020415,1,134533.24633789062
1749185322.1018074,0,134696.76885986328
1749185322.1018074,1,134697.10565185547
1749185323.1019893,0,134861.4119873047
1749185323.1019893,1,134861.57781982422
1749185324.1016939,0,135025.87841796875
1749185324.1016939,1,135026.04467773438
1749185325.1014752,0,135190.1049194336
1749185325.1014752,1,135190.17694091797
1749185326.1015248,0,135355.20794677734
1749185326.1015248,1,135355.50170898438
1749185327.1020079,0,135520.4994506836
1749185327.1020079,1,135520.4994506836
1749185328.101441,0,135684.39459228516
1749185328.101441,1,135684.6724243164
1749185329.1013918,0,135848.7774658203
1749185329.1013918,1,135849.31811523438
1749185330.1013877,0,136013.08697509766
1749185330.1013877,1,136013.3773803711
1749185331.1012235,0,136177.7733154297
1749185331.1012235,1,136178.0537109375
1749185332.101324,0,136342.2596435547
1749185332.101324,1,136342.43408203125
