time,actuator,value
1742785519.674525,Actuator(ptr=c_void_p(94064384031168)),136.0
1742785524.7534633,Actuator(ptr=c_void_p(94064384031168)),136.0
1742785529.828753,Actuator(ptr=c_void_p(94064384031168)),136.0
1742785534.8960817,Actuator(ptr=c_void_p(94064384031168)),136.0
1742785539.9667697,Actuator(ptr=c_void_p(94064384031168)),136.0
1742785545.0370097,Actuator(ptr=c_void_p(94064384031168)),136.0
1742785550.107643,Actuator(ptr=c_void_p(94064384031168)),136.0
1742785555.169542,Actuator(ptr=c_void_p(94064384031168)),136.0
1742785560.2357762,Actuator(ptr=c_void_p(94064384031168)),136.0
1742785565.2939804,Actuator(ptr=c_void_p(94064384031168)),136.0
1742785570.356192,Actuator(ptr=c_void_p(94064384031168)),136.0
