time,value
1742828655.7210805,2.0
1742828655.7311206,2.0
1742828655.745819,3.0
1742828655.7605534,3.0
1742828655.775111,3.0
1742828655.7897828,3.0
1742828655.7998147,2.0
1742828655.8145683,3.0
1742828655.8292015,3.0
1742828655.8438265,3.0
1742828655.858506,3.0
1742828655.8731165,3.0
1742828655.8877594,3.0
1742828655.9024036,3.0
1742828655.9170065,3.0
1742828655.9316268,3.0
1742828655.9462554,3.0
1742828655.9608586,3.0
1742828655.9755871,3.0
1742828655.9901707,3.0
1742828656.0047834,3.0
1742828656.0193923,3.0
1742828656.0340006,3.0
1742828656.0485766,3.0
1742828656.0590265,2.0
1742828656.0702677,2.0
1742828656.0817852,2.0
1742828656.0936823,1.0
1742828656.1050372,2.0
1742828656.117001,1.0
1742828656.1360745,1.0
1742828656.1534643,1.0
1742828656.1649253,1.0
1742828656.176577,2.0
1742828656.1880956,2.0
1742828656.199881,2.0
1742828656.2113364,2.0
1742828656.2228494,2.0
1742828656.2343178,2.0
1742828656.245802,2.0
1742828656.2572975,2.0
1742828656.2687652,2.0
1742828656.280264,2.0
1742828656.2918684,2.0
1742828656.303332,2.0
1742828656.3148065,2.0
1742828656.326285,2.0
1742828656.3377466,2.0
1742828656.3491945,2.0
1742828656.3607004,2.0
1742828656.372176,2.0
1742828656.3836396,2.0
1742828656.3950975,2.0
1742828656.4065452,2.0
1742828656.4180253,2.0
1742828656.4295154,2.0
1742828656.4409702,2.0
1742828656.4524338,2.0
1742828656.4639301,2.0
1742828656.4753795,2.0
1742828656.4877205,2.0
1742828656.4991653,2.0
1742828656.511277,2.0
1742828656.5226946,2.0
1742828656.534136,2.0
1742828656.5479527,2.0
1742828656.5579824,1.0
1742828656.5692463,2.0
1742828656.580737,2.0
1742828656.5937726,2.0
1742828656.6051698,2.0
1742828656.6166646,2.0
1742828656.628169,2.0
1742828656.6418684,2.0
1742828656.6533153,2.0
1742828656.6662357,2.0
1742828656.6776538,2.0
1742828656.6997888,1.0
1742828656.7107544,2.0
1742828656.722181,2.0
1742828656.7335815,2.0
1742828656.7449963,2.0
1742828656.7564416,2.0
1742828656.7680192,2.0
1742828656.7795706,2.0
1742828656.7911048,2.0
1742828656.8029208,2.0
1742828656.8144557,2.0
1742828656.826,2.0
1742828656.837511,2.0
1742828656.8489857,2.0
1742828656.8604145,2.0
1742828656.8718374,2.0
1742828656.8833046,2.0
1742828656.894887,2.0
1742828656.9063158,2.0
1742828656.917777,2.0
1742828656.9292064,2.0
1742828656.940666,2.0
1742828656.952135,2.0
1742828656.9636369,2.0
1742828656.9750564,2.0
1742828656.9865167,2.0
1742828656.9980123,2.0
1742828657.009465,2.0
1742828657.0209057,2.0
1742828657.0323486,2.0
1742828657.0438132,2.0
1742828657.0552778,2.0
1742828657.0667295,2.0
1742828657.0781615,2.0
1742828657.0896266,2.0
1742828657.101143,2.0
1742828657.1126115,2.0
1742828657.1240542,2.0
1742828657.135502,2.0
1742828657.147011,2.0
1742828657.1585767,2.0
1742828657.1699975,2.0
1742828657.181424,2.0
1742828657.1928697,2.0
1742828657.2043388,2.0
1742828657.2157845,2.0
1742828657.227195,2.0
1742828657.238627,2.0
1742828657.2500582,2.0
1742828657.2615144,2.0
1742828657.2729433,2.0
1742828657.2843735,2.0
1742828657.295877,2.0
1742828657.3073351,2.0
1742828657.3187566,2.0
1742828657.3301868,2.0
1742828657.3416245,2.0
1742828657.3530624,2.0
1742828657.3645177,2.0
1742828657.3759437,2.0
1742828657.3873775,2.0
1742828657.3988597,2.0
1742828657.410288,2.0
1742828657.42173,2.0
1742828657.4331388,2.0
1742828657.4445763,2.0
1742828657.4561641,2.0
1742828657.4675927,2.0
1742828657.4790366,2.0
1742828657.49086,2.0
1742828657.5031884,2.0
1742828657.514602,2.0
1742828657.5260198,2.0
1742828657.5374556,2.0
1742828657.551092,2.0
1742828657.5627842,2.0
1742828657.5743911,2.0
1742828657.5859282,2.0
1742828657.5984502,2.0
1742828657.6099558,2.0
1742828657.6214526,2.0
1742828657.6332772,2.0
1742828657.6447155,2.0
1742828657.6562839,2.0
1742828657.6690006,2.0
1742828657.689055,2.0
1742828657.7067301,1.0
1742828657.7176561,2.0
1742828657.7290077,2.0
1742828657.7404163,2.0
1742828657.7518196,2.0
1742828657.7632453,2.0
1742828657.7746212,2.0
1742828657.7860641,2.0
1742828657.7979023,2.0
1742828657.8093324,2.0
1742828657.8207395,2.0
1742828657.8321862,2.0
1742828657.8436148,2.0
1742828657.8550491,2.0
1742828657.8665493,2.0
1742828657.877958,2.0
1742828657.889357,2.0
1742828657.9009523,2.0
1742828657.9123797,2.0
1742828657.9238026,2.0
1742828657.935206,2.0
1742828657.946618,2.0
1742828657.958011,2.0
1742828657.9694383,2.0
1742828657.9808233,2.0
1742828657.9922225,2.0
1742828658.0037193,2.0
1742828658.0151098,2.0
1742828658.0265212,2.0
1742828658.0381734,2.0
1742828658.049542,2.0
1742828658.0609696,2.0
1742828658.0724022,2.0
1742828658.0838459,2.0
1742828658.0954294,2.0
1742828658.106828,2.0
1742828658.1182203,2.0
1742828658.1296465,2.0
1742828658.141054,2.0
1742828658.1524463,2.0
1742828658.1638513,2.0
1742828658.1753976,2.0
1742828658.186794,2.0
1742828658.1982105,2.0
1742828658.209621,2.0
1742828658.2210095,2.0
1742828658.232409,2.0
1742828658.2438285,2.0
1742828658.2552164,2.0
1742828658.2666743,2.0
1742828658.2780669,2.0
1742828658.2894523,2.0
1742828658.3009334,2.0
1742828658.3123338,2.0
1742828658.323776,2.0
1742828658.335209,2.0
1742828658.3466525,2.0
1742828658.3580694,2.0
1742828658.3695023,2.0
1742828658.3809426,2.0
1742828658.3923566,2.0
1742828658.4038317,2.0
1742828658.4152405,2.0
1742828658.4266639,2.0
1742828658.4382102,2.0
1742828658.4496255,2.0
1742828658.461029,2.0
1742828658.4724464,2.0
1742828658.4838483,2.0
1742828658.4952836,2.0
1742828658.506731,2.0
1742828658.518137,2.0
1742828658.5295386,2.0
1742828658.5417135,2.0
1742828658.5552316,2.0
1742828658.5666258,2.0
1742828658.578062,2.0
1742828658.5894809,2.0
1742828658.601771,2.0
1742828658.613215,2.0
1742828658.6246665,2.0
1742828658.6362717,2.0
1742828658.647608,2.0
1742828658.6590524,2.0
1742828658.672059,2.0
1742828658.6919265,2.0
1742828658.7096217,1.0
1742828658.7205954,2.0
1742828658.7319915,2.0
1742828658.743488,2.0
1742828658.7549665,2.0
1742828658.7664986,2.0
1742828658.7779536,2.0
1742828658.789478,2.0
1742828658.8011143,2.0
1742828658.8126273,2.0
1742828658.8241105,2.0
1742828658.8355942,2.0
1742828658.8470676,2.0
1742828658.85857,2.0
1742828658.8701057,2.0
1742828658.8815925,2.0
1742828658.893152,2.0
1742828658.9047027,2.0
1742828658.916182,2.0
1742828658.9277027,2.0
1742828658.9391732,2.0
1742828658.9506757,2.0
1742828658.9621572,2.0
1742828658.973654,2.0
1742828658.985129,2.0
1742828658.9966092,2.0
1742828659.008114,2.0
1742828659.0196223,2.0
1742828659.0310934,2.0
1742828659.0426056,2.0
1742828659.054073,2.0
1742828659.0655856,2.0
1742828659.0770588,2.0
1742828659.0885663,2.0
1742828659.1001964,2.0
1742828659.111691,2.0
1742828659.1231828,2.0
1742828659.1346774,2.0
1742828659.1461763,2.0
1742828659.1577182,2.0
1742828659.1691933,2.0
1742828659.1806774,2.0
1742828659.192203,2.0
1742828659.2037342,2.0
1742828659.215226,2.0
1742828659.2267275,2.0
1742828659.2381895,2.0
1742828659.2496915,2.0
1742828659.2611835,2.0
1742828659.2727203,2.0
1742828659.2842531,2.0
1742828659.2958536,2.0
1742828659.3075302,2.0
1742828659.3190248,2.0
1742828659.3305018,2.0
1742828659.3419974,2.0
1742828659.3535116,2.0
1742828659.365002,2.0
1742828659.3764696,2.0
1742828659.3879526,2.0
1742828659.3994896,2.0
1742828659.4110255,2.0
1742828659.4225106,2.0
1742828659.4340203,2.0
1742828659.4454975,2.0
1742828659.4569995,2.0
1742828659.468494,2.0
1742828659.479983,2.0
