time,value
1750287582.904198,1.0
1750287582.9723907,1.0
1750287583.0410337,1.0
1750287583.1097667,1.0
1750287583.1811676,1.0
1750287583.2531664,1.0
1750287583.3251922,1.0
1750287583.3938344,1.0
1750287583.465172,1.0
1750287583.535156,1.0
1750287583.6040518,1.0
1750287583.6730654,1.0
1750287583.7411723,1.0
1750287583.8136358,1.0
1750287583.882331,1.0
1750287583.9509199,1.0
1750287584.0195482,1.0
1750287584.0883458,1.0
1750287584.1572378,1.0
1750287584.2291903,1.0
1750287584.2979176,1.0
1750287584.367416,1.0
1750287584.436371,1.0
1750287584.5064478,1.0
1750287584.5757751,1.0
1750287584.6443985,1.0
1750287584.713723,1.0
1750287584.7846146,1.0
1750287584.8524745,1.0
1750287584.9204793,1.0
1750287584.9890773,1.0
1750287585.0572731,1.0
1750287585.1250594,1.0
1750287585.2087216,1.0
1750287585.276066,1.0
1750287585.3445768,1.0
1750287585.4128659,1.0
1750287585.4819784,1.0
1750287585.560459,1.0
1750287585.64518,1.0
1750287585.7257519,1.0
1750287585.8064363,1.0
1750287585.8939207,1.0
1750287585.9735706,1.0
1750287586.0536373,1.0
1750287586.13341,1.0
1750287586.2171783,1.0
1750287586.2970622,1.0
1750287586.377177,1.0
1750287586.4612002,1.0
1750287586.5491972,1.0
1750287586.628973,1.0
1750287586.7092097,1.0
1750287586.7892952,1.0
1750287586.875043,1.0
1750287586.954592,1.0
1750287587.0371711,1.0
1750287587.1175559,1.0
1750287587.1937628,1.0
1750287587.2610447,1.0
1750287587.3285332,1.0
1750287587.395502,1.0
1750287587.4651577,1.0
1750287587.5329468,1.0
1750287587.6000009,1.0
1750287587.6673827,1.0
1750287587.734935,1.0
1750287587.8025744,1.0
1750287587.8731918,1.0
1750287587.940312,1.0
1750287588.0077946,1.0
1750287588.0753932,1.0
1750287588.1425123,1.0
1750287588.2099345,1.0
1750287588.2775514,1.0
1750287588.344953,1.0
1750287588.4119687,1.0
1750287588.4791324,1.0
1750287588.550622,1.0
1750287588.6243756,1.0
1750287588.69212,1.0
1750287588.7611907,1.0
1750287588.8332236,1.0
1750287588.9012623,1.0
1750287588.9690926,1.0
1750287589.0369217,1.0
1750287589.104161,1.0
1750287589.1717038,1.0
1750287589.2462997,1.0
1750287589.3192494,1.0
1750287589.3923986,1.0
1750287589.4654505,1.0
1750287589.5412586,1.0
1750287589.6137867,1.0
1750287589.6914723,1.0
1750287589.7791271,1.0
1750287589.8531823,1.0
1750287589.9258885,1.0
1750287590.0011694,1.0
1750287590.0740392,1.0
1750287590.147117,1.0
1750287590.2200952,1.0
1750287590.2931697,1.0
1750287590.3660748,1.0
1750287590.4411917,1.0
1750287590.5153992,1.0
1750287590.5880973,1.0
1750287590.6609726,1.0
1750287590.7337053,1.0
1750287590.8066404,1.0
1750287590.9016936,1.0
1750287591.0170565,1.0
1750287591.1171896,1.0
1750287591.1847644,1.0
1750287591.2536004,1.0
1750287591.3214457,1.0
1750287591.3895872,1.0
1750287591.457671,1.0
1750287591.5323122,1.0
1750287591.6369767,1.0
1750287591.7040308,1.0
1750287591.7717066,1.0
1750287591.8395247,1.0
1750287591.9091675,1.0
1750287591.9759712,1.0
1750287592.0439591,1.0
1750287592.1131685,1.0
1750287592.180787,1.0
1750287592.248,1.0
1750287592.3161826,1.0
1750287592.3840146,1.0
1750287592.4560468,1.0
1750287592.535472,1.0
1750287592.6036186,1.0
1750287592.6712048,1.0
1750287592.739049,1.0
1750287592.8109744,1.0
1750287592.9153287,1.0
1750287592.9849167,1.0
1750287593.051918,1.0
1750287593.1191905,1.0
1750287593.1880932,1.0
1750287593.256536,1.0
1750287593.3235576,1.0
1750287593.39317,1.0
1750287593.460071,1.0
1750287593.5273504,1.0
1750287593.600241,1.0
1750287593.6814501,1.0
1750287593.7620015,1.0
1750287593.8422184,1.0
1750287593.9224544,1.0
1750287594.0052,1.0
1750287594.0851965,1.0
1750287594.1652417,1.0
1750287594.2452695,1.0
1750287594.3252106,1.0
1750287594.4049332,1.0
1750287594.4849558,1.0
1750287594.5652125,1.0
1750287594.6449645,1.0
1750287594.7248704,1.0
1750287594.8052042,1.0
1750287594.8851712,1.0
1750287594.9691763,1.0
1750287595.0488195,1.0
1750287595.1286645,1.0
1750287595.2077713,1.0
1750287595.289169,1.0
1750287595.3657544,1.0
1750287595.4428864,1.0
1750287595.520517,1.0
1750287595.6019356,1.0
1750287595.69524,1.0
1750287595.7702093,1.0
1750287595.847559,1.0
1750287595.9247813,1.0
1750287596.003119,1.0
1750287596.0858836,1.0
1750287596.1636362,1.0
1750287596.2411833,1.0
1750287596.3211925,1.0
1750287596.3990462,1.0
1750287596.4776177,1.0
1750287596.5757484,1.0
