time,actuator,value
1777561461.382314,Actuator(ptr=c_void_p(274518256)),118.0
1777561471.408058,Actuator(ptr=c_void_p(274518256)),159.0
1777561481.4324975,Actuator(ptr=c_void_p(274518256)),141.0
1777561491.4624817,Actuator(ptr=c_void_p(274518256)),141.0
1777561501.490861,Actuator(ptr=c_void_p(274518256)),165.0
1777561511.5165899,Actuator(ptr=c_void_p(274518256)),159.0
1777561521.5390716,Actuator(ptr=c_void_p(274518256)),112.0
1777561531.5643322,Actuator(ptr=c_void_p(274518256)),147.0
1777561541.5905118,Actuator(ptr=c_void_p(274518256)),136.0
1777561551.612896,Actuator(ptr=c_void_p(274518256)),89.0
1777561561.6383514,Actuator(ptr=c_void_p(274518256)),101.0
1777561571.6627057,Actuator(ptr=c_void_p(274518256)),141.0
1777561581.6842465,Actuator(ptr=c_void_p(274518256)),101.0
1777561591.7087493,Actuator(ptr=c_void_p(274518256)),95.0
