time,scope,value
1764620205.96151,nrm.extra.perf.PAPI_L3_TCA.397370,1117114842.0
1764620205.96151,nrm.extra.perf.PAPI_TOT_INS.397370,65524254869.0
1764620205.96151,nrm.extra.perf.PAPI_TOT_CYC.397370,236471168974.0
1764620205.96151,nrm.extra.perf.PAPI_RES_STL.397370,164410435856.0
1764620205.96151,nrm.extra.perf.PAPI_L3_TCM.397370,984614833.0
1764620206.9625463,nrm.extra.perf.PAPI_L3_TCA.397370,2552876600.0
1764620206.9625463,nrm.extra.perf.PAPI_TOT_INS.397370,148032762043.0
1764620206.9625463,nrm.extra.perf.PAPI_TOT_CYC.397370,533665226919.0
1764620206.9625463,nrm.extra.perf.PAPI_RES_STL.397370,371525629817.0
1764620206.9625463,nrm.extra.perf.PAPI_L3_TCM.397370,2252090024.0
1764620207.9610026,nrm.extra.perf.PAPI_L3_TCA.397370,4142069556.0
1764620207.9610026,nrm.extra.perf.PAPI_TOT_INS.397370,241788001947.0
1764620207.9610026,nrm.extra.perf.PAPI_TOT_CYC.397370,819053143570.0
1764620207.9610026,nrm.extra.perf.PAPI_RES_STL.397370,540568644284.0
1764620207.9610026,nrm.extra.perf.PAPI_L3_TCM.397370,3655487255.0
1764620208.9654906,nrm.extra.perf.PAPI_L3_TCA.397370,5973157314.0
1764620208.9654906,nrm.extra.perf.PAPI_TOT_INS.397370,344666051356.0
1764620208.9654906,nrm.extra.perf.PAPI_TOT_CYC.397370,1103057466582.0
1764620208.9654906,nrm.extra.perf.PAPI_RES_STL.397370,725155487414.0
1764620208.9654906,nrm.extra.perf.PAPI_L3_TCM.397370,5263026099.0
1764620209.9613698,nrm.extra.perf.PAPI_L3_TCA.397370,7782563463.0
1764620209.9613698,nrm.extra.perf.PAPI_TOT_INS.397370,446704908448.0
1764620209.9613698,nrm.extra.perf.PAPI_TOT_CYC.397370,1384478787202.0
1764620209.9613698,nrm.extra.perf.PAPI_RES_STL.397370,908135012024.0
1764620209.9613698,nrm.extra.perf.PAPI_L3_TCM.397370,6859276844.0
1764620210.9634292,nrm.extra.perf.PAPI_L3_TCA.397370,9610740643.0
1764620210.9634292,nrm.extra.perf.PAPI_TOT_INS.397370,549436235697.0
1764620210.9634292,nrm.extra.perf.PAPI_TOT_CYC.397370,1667686223400.0
1764620210.9634292,nrm.extra.perf.PAPI_RES_STL.397370,1092126082447.0
1764620210.9634292,nrm.extra.perf.PAPI_L3_TCM.397370,8463471653.0
1764620211.959398,nrm.extra.perf.PAPI_L3_TCA.397370,11411035679.0
1764620211.959398,nrm.extra.perf.PAPI_TOT_INS.397370,651006499793.0
1764620211.959398,nrm.extra.perf.PAPI_TOT_CYC.397370,1948426410889.0
1764620211.959398,nrm.extra.perf.PAPI_RES_STL.397370,1273773498566.0
1764620211.959398,nrm.extra.perf.PAPI_L3_TCM.397370,10048260479.0
1764620212.9598646,nrm.extra.perf.PAPI_L3_TCA.397370,13243444942.0
1764620212.9598646,nrm.extra.perf.PAPI_TOT_INS.397370,754029453672.0
1764620212.9598646,nrm.extra.perf.PAPI_TOT_CYC.397370,2230976259940.0
1764620212.9598646,nrm.extra.perf.PAPI_RES_STL.397370,1457854189079.0
1764620212.9598646,nrm.extra.perf.PAPI_L3_TCM.397370,11661605326.0
1764620213.9615388,nrm.extra.perf.PAPI_L3_TCA.397370,15061243230.0
1764620213.9615388,nrm.extra.perf.PAPI_TOT_INS.397370,856210397012.0
1764620213.9615388,nrm.extra.perf.PAPI_TOT_CYC.397370,2510472781490.0
1764620213.9615388,nrm.extra.perf.PAPI_RES_STL.397370,1639361384691.0
1764620213.9615388,nrm.extra.perf.PAPI_L3_TCM.397370,13260476722.0
1764620214.9630105,nrm.extra.perf.PAPI_L3_TCA.397370,16951188625.0
1764620214.9630105,nrm.extra.perf.PAPI_TOT_INS.397370,963494963657.0
1764620214.9630105,nrm.extra.perf.PAPI_TOT_CYC.397370,2799151521721.0
1764620214.9630105,nrm.extra.perf.PAPI_RES_STL.397370,1820938223766.0
1764620214.9630105,nrm.extra.perf.PAPI_L3_TCM.397370,14889414410.0
1764620215.9594567,nrm.extra.perf.PAPI_L3_TCA.397370,18902494558.0
1764620215.9594567,nrm.extra.perf.PAPI_TOT_INS.397370,1074822860332.0
1764620215.9594567,nrm.extra.perf.PAPI_TOT_CYC.397370,3095240616844.0
1764620215.9594567,nrm.extra.perf.PAPI_RES_STL.397370,2004567447534.0
1764620215.9594567,nrm.extra.perf.PAPI_L3_TCM.397370,16550103026.0
1764620216.9624717,nrm.extra.perf.PAPI_L3_TCA.397370,20829970973.0
1764620216.9624717,nrm.extra.perf.PAPI_TOT_INS.397370,1185242203843.0
1764620216.9624717,nrm.extra.perf.PAPI_TOT_CYC.397370,3388920463653.0
1764620216.9624717,nrm.extra.perf.PAPI_RES_STL.397370,2184592367533.0
1764620216.9624717,nrm.extra.perf.PAPI_L3_TCM.397370,18193234421.0
1764620217.9666946,nrm.extra.perf.PAPI_L3_TCA.397370,22872268549.0
1764620217.9666946,nrm.extra.perf.PAPI_TOT_INS.397370,1301016492925.0
1764620217.9666946,nrm.extra.perf.PAPI_TOT_CYC.397370,3686341825072.0
1764620217.9666946,nrm.extra.perf.PAPI_RES_STL.397370,2368013763045.0
1764620217.9666946,nrm.extra.perf.PAPI_L3_TCM.397370,19921533511.0
1764620218.9625213,nrm.extra.perf.PAPI_L3_TCA.397370,24826490640.0
1764620218.9625213,nrm.extra.perf.PAPI_TOT_INS.397370,1411858674806.0
1764620218.9625213,nrm.extra.perf.PAPI_TOT_CYC.397370,3978596744980.0
1764620218.9625213,nrm.extra.perf.PAPI_RES_STL.397370,2548796372881.0
1764620218.9625213,nrm.extra.perf.PAPI_L3_TCM.397370,21583717334.0
1764620219.9594407,nrm.extra.perf.PAPI_L3_TCA.397370,26793645414.0
1764620219.9594407,nrm.extra.perf.PAPI_TOT_INS.397370,1523009885084.0
1764620219.9594407,nrm.extra.perf.PAPI_TOT_CYC.397370,4274462537070.0
1764620219.9594407,nrm.extra.perf.PAPI_RES_STL.397370,2735419069251.0
1764620219.9594407,nrm.extra.perf.PAPI_L3_TCM.397370,23269876466.0
1764620220.9622848,nrm.extra.perf.PAPI_L3_TCA.397370,28764103231.0
1764620220.9622848,nrm.extra.perf.PAPI_TOT_INS.397370,1634577386550.0
1764620220.9622848,nrm.extra.perf.PAPI_TOT_CYC.397370,4572085921022.0
1764620220.9622848,nrm.extra.perf.PAPI_RES_STL.397370,2922682647654.0
1764620220.9622848,nrm.extra.perf.PAPI_L3_TCM.397370,24959524325.0
1764620221.9627156,nrm.extra.perf.PAPI_L3_TCA.397370,30727767631.0
1764620221.9627156,nrm.extra.perf.PAPI_TOT_INS.397370,1745795527796.0
1764620221.9627156,nrm.extra.perf.PAPI_TOT_CYC.397370,4869054469871.0
1764620221.9627156,nrm.extra.perf.PAPI_RES_STL.397370,3108864212535.0
1764620221.9627156,nrm.extra.perf.PAPI_L3_TCM.397370,26642481087.0
1764620222.9628727,nrm.extra.perf.PAPI_L3_TCA.397370,32696558958.0
1764620222.9628727,nrm.extra.perf.PAPI_TOT_INS.397370,1857109371183.0
1764620222.9628727,nrm.extra.perf.PAPI_TOT_CYC.397370,5165845290800.0
1764620222.9628727,nrm.extra.perf.PAPI_RES_STL.397370,3295954699837.0
1764620222.9628727,nrm.extra.perf.PAPI_L3_TCM.397370,28330964536.0
1764620223.9603934,nrm.extra.perf.PAPI_L3_TCA.397370,34661791993.0
1764620223.9603934,nrm.extra.perf.PAPI_TOT_INS.397370,1968266218414.0
1764620223.9603934,nrm.extra.perf.PAPI_TOT_CYC.397370,5461810345859.0
1764620223.9603934,nrm.extra.perf.PAPI_RES_STL.397370,3482457751560.0
1764620223.9603934,nrm.extra.perf.PAPI_L3_TCM.397370,30016105953.0
1764620224.9625442,nrm.extra.perf.PAPI_L3_TCA.397370,36506423141.0
1764620224.9625442,nrm.extra.perf.PAPI_TOT_INS.397370,2071998028930.0
1764620224.9625442,nrm.extra.perf.PAPI_TOT_CYC.397370,5715283017762.0
1764620224.9625442,nrm.extra.perf.PAPI_RES_STL.397370,3636469703895.0
1764620224.9625442,nrm.extra.perf.PAPI_L3_TCM.397370,31598095278.0
1764620225.9647171,nrm.extra.perf.PAPI_L3_TCA.397370,38216835097.0
1764620225.9647171,nrm.extra.perf.PAPI_TOT_INS.397370,2167292128355.0
1764620225.9647171,nrm.extra.perf.PAPI_TOT_CYC.397370,5916136394820.0
1764620225.9647171,nrm.extra.perf.PAPI_RES_STL.397370,3751612708722.0
1764620225.9647171,nrm.extra.perf.PAPI_L3_TCM.397370,33066931060.0
1764620226.9620848,nrm.extra.perf.PAPI_L3_TCA.397370,39915073760.0
1764620226.9620848,nrm.extra.perf.PAPI_TOT_INS.397370,2261750018690.0
1764620226.9620848,nrm.extra.perf.PAPI_TOT_CYC.397370,6116051696513.0
1764620226.9620848,nrm.extra.perf.PAPI_RES_STL.397370,3866408134485.0
1764620226.9620848,nrm.extra.perf.PAPI_L3_TCM.397370,34526515680.0
1764620227.6254065,nrm.extra.perf.PAPI_L3_TCA.397370,41051204193.0
1764620227.6254065,nrm.extra.perf.PAPI_TOT_INS.397370,2325035659019.0
1764620227.6254065,nrm.extra.perf.PAPI_TOT_CYC.397370,6249186997082.0
1764620227.6254065,nrm.extra.perf.PAPI_RES_STL.397370,3942266310639.0
1764620227.6254065,nrm.extra.perf.PAPI_L3_TCM.397370,35495839258.0
