time,scope,value
1774469537.6313608,0,559373.5424194336
1774469537.6313608,1,559373.5424194336
1774469538.6314096,0,559506.4458007812
1774469538.6314096,1,559506.4458007812
1774469539.6313608,0,559636.1071166992
1774469539.6313608,1,559636.1071166992
1774469540.6312382,0,559765.7302856445
1774469540.6312382,1,559765.7302856445
1774469541.6313672,0,559895.3565063477
1774469541.6313672,1,559895.3565063477
1774469542.6313572,0,560024.9857177734
1774469542.6313572,1,560024.9857177734
1774469543.6313598,0,560154.5272216797
1774469543.6313598,1,560154.5272216797
1774469544.6313877,0,560284.2275390625
1774469544.6313877,1,560284.3304443359
1774469545.6313226,0,560413.568359375
1774469545.6313226,1,560413.7175292969
1774469546.6313546,0,560543.5402832031
1774469546.6313546,1,560543.5402832031
1774469547.6313598,0,560666.7659301758
1774469547.6313598,1,560666.8645629883
1774469548.631356,0,560784.4831542969
1774469548.631356,1,560784.4831542969
1774469549.6313884,0,560902.1419067383
1774469549.6313884,1,560902.1419067383
1774469550.6313548,0,561019.7607421875
1774469550.6313548,1,561019.8657836914
1774469551.631367,0,561137.3903808594
1774469551.631367,1,561137.5158081055
1774469552.6313968,0,561255.0387573242
1774469552.6313968,1,561255.0387573242
1774469553.6314082,0,561372.7370605469
1774469553.6314082,1,561372.8273925781
1774469554.631393,0,561490.4613037109
1774469554.631393,1,561490.4613037109
1774469555.6313746,0,561608.1143798828
1774469555.6313746,1,561608.1143798828
1774469556.6313925,0,561725.7625732422
1774469556.6313925,1,561725.7625732422
1774469557.6313322,0,561861.8268432617
1774469557.6313322,1,561861.8268432617
1774469558.6314466,0,562018.3732299805
1774469558.6314466,1,562018.5408325195
1774469559.6313682,0,562175.2427978516
1774469559.6313682,1,562175.2427978516
1774469560.6313872,0,562332.0927734375
1774469560.6313872,1,562332.0927734375
1774469561.631337,0,562489.0356445312
1774469561.631337,1,562489.0356445312
1774469562.6313567,0,562645.9862060547
1774469562.6313567,1,562646.135559082
1774469563.6313622,0,562803.026550293
1774469563.6313622,1,562803.194152832
1774469564.6313748,0,562960.2167358398
1774469564.6313748,1,562960.3920898438
1774469565.6313362,0,563117.4165039062
1774469565.6313362,1,563117.4165039062
1774469566.631361,0,563274.6774291992
1774469566.631361,1,563274.8303833008
1774469567.631391,0,563403.4426879883
1774469567.631391,1,563403.4426879883
1774469568.6313906,0,563492.0952758789
1774469568.6313906,1,563492.1833496094
1774469569.631387,0,563580.9046020508
1774469569.631387,1,563580.9046020508
1774469570.631353,0,563669.6293945312
1774469570.631353,1,563669.7131347656
1774469571.631372,0,563758.3367919922
1774469571.631372,1,563758.4317016602
1774469572.631355,0,563847.1237182617
1774469572.631355,1,563847.1237182617
