time,value
1764180769.1462407,3.0
1764180769.1569705,3.0
1764180769.1676865,3.0
1764180769.1782486,3.0
1764180769.1887972,3.0
1764180769.1992087,3.0
1764180769.2127233,3.0
1764180769.223258,3.0
1764180769.23369,3.0
1764180769.244293,3.0
1764180769.2548618,3.0
1764180769.265256,3.0
1764180769.275673,3.0
1764180769.2860503,3.0
1764180769.296512,3.0
1764180769.3068833,3.0
1764180769.3172944,3.0
1764180769.3277287,3.0
1764180769.338129,3.0
1764180769.348593,3.0
1764180769.3589685,3.0
1764180769.3695095,3.0
1764180769.3799503,3.0
1764180769.3903387,3.0
1764180769.4007964,3.0
1764180769.4111965,3.0
1764180769.4217744,3.0
1764180769.432745,3.0
1764180769.4431098,3.0
1764180769.4536602,3.0
1764180769.464054,3.0
1764180769.4744728,3.0
1764180769.4849963,3.0
1764180769.4953783,3.0
1764180769.505856,3.0
1764180769.5163357,3.0
1764180769.5266998,3.0
1764180769.5371318,3.0
1764180769.5477161,3.0
1764180769.559715,3.0
1764180769.570128,3.0
1764180769.5806162,3.0
1764180769.5911298,3.0
1764180769.6016743,3.0
1764180769.6121192,3.0
1764180769.6225588,3.0
1764180769.6329885,3.0
1764180769.6434994,3.0
1764180769.653963,3.0
1764180769.664514,3.0
1764180769.674899,3.0
1764180769.6853676,3.0
1764180769.6958554,3.0
1764180769.7064323,3.0
1764180769.7178066,3.0
1764180769.7299476,3.0
1764180769.7421372,3.0
1764180769.7544606,3.0
1764180769.7668269,3.0
1764180769.7791035,3.0
1764180769.7914083,3.0
1764180769.8035939,3.0
1764180769.8159003,3.0
1764180769.8280156,3.0
1764180769.8402593,3.0
1764180769.8524013,3.0
1764180769.8646045,3.0
1764180769.876946,3.0
1764180769.8890944,3.0
1764180769.9013228,3.0
1764180769.9134398,3.0
1764180769.925744,3.0
1764180769.9380004,3.0
1764180769.950207,3.0
1764180769.9623933,3.0
1764180769.9745781,3.0
1764180769.9867115,3.0
1764180769.9989076,3.0
1764180770.0110476,3.0
1764180770.0231893,3.0
1764180770.0353606,3.0
1764180770.047443,3.0
1764180770.0596507,3.0
1764180770.0717533,3.0
1764180770.083956,3.0
1764180770.0976796,3.0
1764180770.1115055,1.0
1764180770.124142,1.0
1764180770.1356065,3.0
1764180770.1477811,3.0
1764180770.159965,3.0
1764180770.1725578,3.0
1764180770.1848497,3.0
1764180770.1970685,3.0
1764180770.2095184,3.0
1764180770.2217019,3.0
1764180770.2339478,3.0
1764180770.2464042,3.0
1764180770.2586443,3.0
1764180770.2707365,3.0
1764180770.2828693,3.0
1764180770.2950969,3.0
1764180770.307394,3.0
1764180770.319534,3.0
1764180770.331653,3.0
1764180770.3439462,3.0
1764180770.3561215,3.0
1764180770.3682194,3.0
1764180770.380394,3.0
1764180770.3925467,3.0
1764180770.4047859,3.0
1764180770.4169123,3.0
1764180770.4292526,3.0
1764180770.4413226,3.0
1764180770.4534683,3.0
1764180770.4656544,3.0
1764180770.4777985,3.0
1764180770.4899151,3.0
1764180770.5021164,3.0
1764180770.5142505,3.0
1764180770.5265343,3.0
1764180770.5387254,3.0
1764180770.5510044,3.0
1764180770.563151,3.0
1764180770.575354,3.0
1764180770.587449,3.0
1764180770.5996308,3.0
1764180770.6117675,3.0
1764180770.6238713,3.0
1764180770.6360016,3.0
1764180770.6482,3.0
1764180770.6603732,3.0
1764180770.6725442,3.0
1764180770.6847506,3.0
1764180770.6969519,3.0
1764180770.7091231,3.0
1764180770.7212586,3.0
1764180770.733349,3.0
1764180770.7455034,3.0
1764180770.757725,3.0
1764180770.7698421,3.0
1764180770.781961,3.0
1764180770.7941294,3.0
1764180770.806233,3.0
1764180770.8183472,3.0
1764180770.8304698,3.0
1764180770.8426712,3.0
1764180770.8548841,3.0
1764180770.8671246,3.0
1764180770.8792548,3.0
1764180770.8914368,3.0
1764180770.903608,3.0
1764180770.9157672,3.0
1764180770.9279196,3.0
1764180770.9401271,3.0
1764180770.9522467,3.0
1764180770.964461,3.0
1764180770.9768016,3.0
1764180770.9889493,3.0
1764180771.0012703,3.0
1764180771.0134041,3.0
1764180771.0255568,3.0
1764180771.037739,3.0
1764180771.0499573,3.0
1764180771.0621545,3.0
1764180771.0743103,3.0
1764180771.0864909,3.0
1764180771.100435,3.0
1764180771.1153932,1.0
1764180771.1297498,1.0
1764180771.141492,3.0
1764180771.153705,3.0
1764180771.1660695,3.0
1764180771.17892,3.0
1764180771.1911302,3.0
1764180771.2034018,3.0
1764180771.21566,3.0
1764180771.2278378,3.0
1764180771.240345,3.0
1764180771.2525108,3.0
1764180771.2646616,3.0
1764180771.2768114,3.0
1764180771.2890558,3.0
1764180771.3012376,3.0
1764180771.3134365,3.0
1764180771.3256102,3.0
1764180771.3379006,3.0
1764180771.3500135,3.0
1764180771.3621893,3.0
1764180771.3743784,3.0
1764180771.386559,3.0
1764180771.3987164,3.0
1764180771.4110074,3.0
1764180771.4231775,3.0
1764180771.4353104,3.0
1764180771.447681,3.0
1764180771.459849,3.0
1764180771.4720066,3.0
1764180771.4844851,3.0
1764180771.4966362,3.0
1764180771.5089629,3.0
1764180771.5211458,3.0
1764180771.5333867,3.0
1764180771.545626,3.0
1764180771.5579906,3.0
1764180771.5704231,3.0
1764180771.5820377,3.0
1764180771.5925694,3.0
1764180771.603298,3.0
1764180771.6138315,3.0
1764180771.6245122,3.0
1764180771.6350822,3.0
1764180771.6456563,3.0
1764180771.6561995,3.0
1764180771.6667562,3.0
1764180771.6774662,3.0
1764180771.6881597,3.0
1764180771.6986928,3.0
1764180771.709288,3.0
1764180771.7198431,3.0
1764180771.730511,3.0
1764180771.7410736,3.0
1764180771.751755,3.0
1764180771.7623277,3.0
1764180771.7730048,3.0
1764180771.7836037,3.0
1764180771.7941885,3.0
1764180771.8048222,3.0
1764180771.8153887,3.0
1764180771.826082,3.0
1764180771.8367255,3.0
1764180771.8474247,3.0
1764180771.8581145,3.0
1764180771.8687952,3.0
1764180771.8793762,3.0
1764180771.8899407,3.0
1764180771.9005983,3.0
1764180771.9111729,3.0
1764180771.9218829,3.0
1764180771.9325304,3.0
1764180771.9431129,3.0
1764180771.9537456,3.0
1764180771.9644868,3.0
1764180771.975186,3.0
1764180771.985745,3.0
1764180771.9963727,3.0
1764180772.006964,3.0
1764180772.01771,3.0
1764180772.0283916,3.0
1764180772.0390446,3.0
1764180772.0497768,3.0
1764180772.0605962,3.0
1764180772.0712295,3.0
1764180772.0818532,3.0
1764180772.0924778,3.0
1764180772.1043985,3.0
1764180772.1174223,3.0
1764180772.1280942,3.0
1764180772.138829,3.0
1764180772.1495445,3.0
1764180772.1601655,3.0
1764180772.1710305,3.0
1764180772.1817207,3.0
1764180772.1922908,3.0
1764180772.2029612,3.0
1764180772.2137537,3.0
1764180772.2243385,3.0
1764180772.2349002,3.0
1764180772.2457073,3.0
1764180772.2564688,3.0
1764180772.2671156,3.0
1764180772.2777653,3.0
1764180772.2885253,3.0
1764180772.299209,3.0
1764180772.3099837,3.0
1764180772.3207178,3.0
1764180772.331444,3.0
1764180772.3421502,3.0
1764180772.3528914,3.0
1764180772.3636131,3.0
1764180772.3743694,3.0
1764180772.3851662,3.0
1764180772.3958902,3.0
1764180772.4066236,3.0
1764180772.4173713,3.0
1764180772.428086,3.0
1764180772.438823,3.0
1764180772.4495351,3.0
1764180772.460231,3.0
1764180772.4709554,3.0
1764180772.4816716,3.0
1764180772.4924457,3.0
1764180772.5031688,3.0
1764180772.5138688,3.0
1764180772.5246267,3.0
1764180772.5353403,3.0
1764180772.546092,3.0
1764180772.556787,3.0
1764180772.5675452,3.0
1764180772.5782778,3.0
1764180772.5890036,3.0
1764180772.599728,3.0
1764180772.6104045,3.0
1764180772.621109,3.0
1764180772.6319106,3.0
1764180772.6426077,3.0
1764180772.6534073,3.0
1764180772.6642714,3.0
1764180772.6750286,3.0
1764180772.6857426,3.0
1764180772.6966717,3.0
1764180772.7074509,3.0
1764180772.71821,3.0
1764180772.7289007,3.0
1764180772.7397301,3.0
1764180772.7505126,3.0
1764180772.761371,3.0
1764180772.7722383,3.0
1764180772.7830615,3.0
1764180772.7937999,3.0
1764180772.804554,3.0
1764180772.815452,3.0
1764180772.8262374,3.0
1764180772.836993,3.0
1764180772.8477697,3.0
1764180772.8586872,3.0
1764180772.8694596,3.0
1764180772.8802433,3.0
1764180772.8912945,3.0
1764180772.902049,3.0
1764180772.9128764,3.0
1764180772.9236703,3.0
1764180772.9344993,3.0
1764180772.945282,3.0
1764180772.9561336,3.0
1764180772.9669602,3.0
1764180772.977761,3.0
1764180772.9885116,3.0
1764180772.9994159,3.0
1764180773.0101132,3.0
1764180773.0209463,3.0
1764180773.031736,3.0
1764180773.0425148,3.0
1764180773.0534773,3.0
1764180773.0642326,3.0
1764180773.07515,3.0
1764180773.0859504,3.0
1764180773.0978215,3.0
1764180773.109601,3.0
1764180773.1203985,3.0
1764180773.1312523,3.0
1764180773.142074,3.0
1764180773.1530578,3.0
1764180773.163789,3.0
