time,value
1762476314.087417,2.0
1762476314.1019716,3.0
1762476314.1165361,3.0
1762476314.1309826,3.0
1762476314.1453779,3.0
1762476314.159828,3.0
1762476314.1742213,3.0
1762476314.1887307,3.0
1762476314.2032595,3.0
1762476314.2176483,3.0
1762476314.2321262,3.0
1762476314.2466085,3.0
1762476314.2610683,3.0
1762476314.2756457,3.0
1762476314.2901247,3.0
1762476314.3045526,3.0
1762476314.3191319,3.0
1762476314.3335671,3.0
1762476314.3480697,3.0
1762476314.3626523,3.0
1762476314.377124,3.0
1762476314.3916104,3.0
1762476314.4061508,3.0
1762476314.420614,3.0
1762476314.4351232,3.0
1762476314.449715,3.0
1762476314.4642885,3.0
1762476314.4788108,3.0
1762476314.49327,3.0
1762476314.5077076,3.0
1762476314.525243,3.0
1762476314.5384345,2.0
1762476314.5528526,3.0
1762476314.5674317,3.0
1762476314.581889,3.0
1762476314.596321,3.0
1762476314.6107998,3.0
1762476314.6252217,3.0
1762476314.639671,3.0
1762476314.6541126,3.0
1762476314.6686084,3.0
1762476314.6830795,3.0
1762476314.6976616,3.0
1762476314.712128,3.0
1762476314.7265863,3.0
1762476314.7410266,3.0
1762476314.7554982,3.0
1762476314.769924,3.0
1762476314.784468,3.0
1762476314.7989073,3.0
1762476314.8133616,3.0
1762476314.8278213,3.0
1762476314.8423717,3.0
1762476314.8570023,3.0
1762476314.87144,3.0
1762476314.8860345,3.0
1762476314.9005167,3.0
1762476314.9150581,3.0
1762476314.9254076,2.0
1762476314.939858,3.0
1762476314.9543667,3.0
1762476314.9688256,3.0
1762476314.983263,3.0
1762476314.9977396,3.0
1762476315.0121832,3.0
1762476315.0231874,2.0
1762476315.0445156,2.0
1762476315.0545275,2.0
1762476315.0690615,3.0
1762476315.0835826,3.0
1762476315.0937922,2.0
1762476315.1083705,3.0
1762476315.122977,3.0
1762476315.1376488,3.0
1762476315.1523592,3.0
1762476315.1669688,3.0
1762476315.1815856,3.0
1762476315.1961274,3.0
1762476315.210756,3.0
1762476315.2207644,2.0
1762476315.2353551,3.0
1762476315.249935,3.0
1762476315.2645113,3.0
1762476315.2791169,3.0
1762476315.2936826,3.0
1762476315.3082714,3.0
1762476315.3228168,3.0
1762476315.3373897,3.0
1762476315.3521411,3.0
1762476315.3667018,3.0
1762476315.381301,3.0
1762476315.395856,3.0
1762476315.4105275,3.0
1762476315.4251068,3.0
1762476315.4396858,3.0
1762476315.4542475,3.0
1762476315.4688246,3.0
1762476315.483403,3.0
1762476315.4981196,3.0
1762476315.5126781,3.0
1762476315.5246065,2.0
1762476315.5374405,2.0
1762476315.5520542,3.0
1762476315.5668554,3.0
1762476315.5814316,3.0
1762476315.596001,3.0
1762476315.610682,3.0
1762476315.6252306,3.0
1762476315.6397746,3.0
1762476315.6543882,3.0
1762476315.66886,3.0
1762476315.6834984,3.0
1762476315.6980703,3.0
1762476315.7125568,3.0
1762476315.727102,3.0
1762476315.7416675,3.0
1762476315.7563229,3.0
1762476315.7708673,3.0
1762476315.7854328,3.0
1762476315.8000805,3.0
1762476315.8146493,3.0
1762476315.8291955,3.0
1762476315.8437507,3.0
1762476315.8583214,3.0
1762476315.8729193,3.0
1762476315.8874977,3.0
1762476315.9021256,3.0
1762476315.9166775,3.0
1762476315.9314306,3.0
1762476315.9460263,3.0
1762476315.9605927,3.0
1762476315.9751604,3.0
1762476315.989753,3.0
1762476316.0043907,3.0
1762476316.0189474,3.0
1762476316.0354178,2.0
1762476316.0481079,1.0
1762476316.0627406,3.0
1762476316.0727825,2.0
1762476316.0874083,3.0
1762476316.1021428,3.0
1762476316.1168048,3.0
1762476316.1314785,3.0
1762476316.1461525,3.0
1762476316.1561832,2.0
1762476316.1708686,3.0
1762476316.1810431,2.0
1762476316.195652,3.0
1762476316.2102792,3.0
1762476316.2250175,3.0
1762476316.2396195,3.0
1762476316.2542498,3.0
1762476316.2689064,3.0
1762476316.2834525,3.0
1762476316.2980804,3.0
1762476316.312614,3.0
1762476316.3271792,3.0
1762476316.3417835,3.0
1762476316.3562694,3.0
1762476316.3708444,3.0
1762476316.3854115,3.0
1762476316.39996,3.0
1762476316.414499,3.0
1762476316.4290674,3.0
1762476316.443604,3.0
1762476316.4581776,3.0
1762476316.472763,3.0
1762476316.4872963,3.0
1762476316.5019093,3.0
1762476316.5165825,3.0
1762476316.5288079,2.0
1762476316.542101,2.0
1762476316.5521536,2.0
1762476316.5621574,2.0
1762476316.5723271,2.0
1762476316.5869818,3.0
1762476316.6017416,3.0
1762476316.6117802,2.0
1762476316.6265173,3.0
1762476316.6412027,3.0
1762476316.6558855,3.0
1762476316.6706686,3.0
1762476316.685373,3.0
1762476316.7000504,3.0
1762476316.7147598,3.0
1762476316.7294014,3.0
1762476316.7442029,3.0
1762476316.7588568,3.0
1762476316.7735882,3.0
1762476316.7882361,3.0
1762476316.8029249,3.0
1762476316.8176715,3.0
1762476316.8323655,3.0
1762476316.8470554,3.0
1762476316.8617172,3.0
1762476316.8764095,3.0
1762476316.8911135,3.0
1762476316.9058917,3.0
1762476316.9205892,3.0
1762476316.9352725,3.0
1762476316.9499543,3.0
1762476316.964644,3.0
1762476316.974752,2.0
1762476316.9895616,3.0
1762476317.004252,3.0
1762476317.0189953,3.0
1762476317.0348985,2.0
1762476317.049284,1.0
1762476317.0638993,3.0
1762476317.078571,3.0
1762476317.0932298,3.0
1762476317.1078937,3.0
1762476317.1225188,3.0
1762476317.137261,3.0
1762476317.1518946,3.0
1762476317.1665137,3.0
1762476317.1811748,3.0
1762476317.1958194,3.0
1762476317.2104645,3.0
1762476317.2250993,3.0
1762476317.235115,2.0
1762476317.2497077,3.0
1762476317.264352,3.0
1762476317.2789855,3.0
1762476317.2936218,3.0
1762476317.3082561,3.0
1762476317.3229103,3.0
1762476317.337662,3.0
1762476317.3523958,3.0
1762476317.3670135,3.0
1762476317.377014,2.0
1762476317.3915877,3.0
1762476317.4062343,3.0
1762476317.4209166,3.0
1762476317.4355297,3.0
1762476317.4502482,3.0
1762476317.4648635,3.0
1762476317.4794896,3.0
1762476317.4941373,3.0
1762476317.5087538,3.0
1762476317.523696,3.0
1762476317.5374064,2.0
1762476317.5520153,3.0
1762476317.5667498,3.0
1762476317.5814004,3.0
1762476317.5960727,3.0
1762476317.6060953,2.0
1762476317.6207716,3.0
1762476317.635436,3.0
1762476317.650083,3.0
1762476317.6647248,3.0
1762476317.6793914,3.0
1762476317.6940439,3.0
1762476317.7040567,2.0
1762476317.718696,3.0
1762476317.733359,3.0
1762476317.748128,3.0
1762476317.7627666,3.0
1762476317.7774174,3.0
1762476317.792094,3.0
1762476317.8067367,3.0
1762476317.8215103,3.0
1762476317.836202,3.0
1762476317.8508506,3.0
1762476317.8655019,3.0
1762476317.8801777,3.0
1762476317.8948326,3.0
1762476317.9094598,3.0
1762476317.9241157,3.0
1762476317.9389,3.0
1762476317.953561,3.0
1762476317.9682074,3.0
1762476317.982859,3.0
1762476317.997577,3.0
1762476318.0122402,3.0
1762476318.023154,2.0
1762476318.0345254,2.0
1762476318.04927,3.0
1762476318.0593536,2.0
1762476318.0740898,3.0
1762476318.0887916,3.0
1762476318.103459,3.0
1762476318.1182115,3.0
1762476318.1328714,3.0
1762476318.147564,3.0
1762476318.1622946,3.0
1762476318.176996,3.0
1762476318.1915786,3.0
1762476318.2016127,2.0
1762476318.2162983,3.0
1762476318.2310097,3.0
1762476318.245694,3.0
1762476318.260407,3.0
1762476318.2750902,3.0
1762476318.2898297,3.0
1762476318.3045354,3.0
1762476318.3192546,3.0
1762476318.3339505,3.0
1762476318.3440626,2.0
1762476318.3586767,3.0
1762476318.3733108,3.0
1762476318.387991,3.0
1762476318.4026928,3.0
1762476318.4174445,3.0
1762476318.4321513,3.0
1762476318.4469051,3.0
1762476318.4616113,3.0
1762476318.4763606,3.0
1762476318.4910905,3.0
1762476318.5058782,3.0
1762476318.5206087,3.0
1762476318.5345547,2.0
1762476318.54528,2.0
1762476318.5552835,2.0
1762476318.5652864,2.0
1762476318.5798614,3.0
1762476318.5945234,3.0
1762476318.6092887,3.0
1762476318.6239169,3.0
1762476318.638538,3.0
1762476318.653189,3.0
1762476318.6678593,3.0
1762476318.6824892,3.0
1762476318.6924906,2.0
1762476318.7071319,3.0
1762476318.7217968,3.0
1762476318.7364287,3.0
1762476318.7511628,3.0
1762476318.7657964,3.0
1762476318.7804234,3.0
1762476318.795185,3.0
1762476318.809846,3.0
1762476318.824382,3.0
1762476318.8390503,3.0
1762476318.8537314,3.0
1762476318.8683698,3.0
1762476318.882987,3.0
1762476318.8976343,3.0
1762476318.9123917,3.0
1762476318.9270914,3.0
1762476318.941711,3.0
1762476318.9563715,3.0
1762476318.9711313,3.0
1762476318.9857478,3.0
1762476318.9957547,2.0
1762476319.010523,3.0
1762476319.0212348,2.0
1762476319.0360587,3.0
1762476319.0507264,3.0
1762476319.0653548,3.0
1762476319.075401,2.0
1762476319.090087,3.0
1762476319.1047,3.0
1762476319.1147017,2.0
1762476319.1293092,3.0
1762476319.1440568,3.0
1762476319.158748,3.0
1762476319.1733596,3.0
1762476319.1879723,3.0
1762476319.202625,3.0
1762476319.2172399,3.0
1762476319.2318892,3.0
1762476319.2464283,3.0
1762476319.261053,3.0
1762476319.2757304,3.0
1762476319.290342,3.0
1762476319.305061,3.0
1762476319.3196661,3.0
1762476319.3342803,3.0
1762476319.3490052,3.0
1762476319.363601,3.0
1762476319.378257,3.0
1762476319.3928757,3.0
1762476319.4076576,3.0
1762476319.4222677,3.0
1762476319.4370563,3.0
1762476319.451689,3.0
1762476319.4663143,3.0
1762476319.481034,3.0
1762476319.4910498,2.0
1762476319.5056627,3.0
1762476319.5203466,3.0
1762476319.5343316,2.0
1762476319.548876,3.0
1762476319.5635755,3.0
1762476319.5783327,3.0
1762476319.592934,3.0
1762476319.6076539,3.0
1762476319.622366,3.0
1762476319.6324003,2.0
1762476319.6470196,3.0
1762476319.6616514,3.0
1762476319.676284,3.0
1762476319.6909127,3.0
1762476319.7055342,3.0
1762476319.7201767,3.0
1762476319.7302072,2.0
1762476319.7448385,3.0
1762476319.7594647,3.0
1762476319.7740934,3.0
1762476319.7887638,3.0
1762476319.8033812,3.0
1762476319.8180418,3.0
1762476319.8326712,3.0
1762476319.8472936,3.0
1762476319.8618207,3.0
1762476319.8763807,3.0
1762476319.8910701,3.0
1762476319.9057086,3.0
1762476319.9204516,3.0
1762476319.9351425,3.0
1762476319.9497797,3.0
1762476319.9644318,3.0
1762476319.9791265,3.0
1762476319.9939137,3.0
1762476320.0085402,3.0
1762476320.024153,3.0
1762476320.0343134,2.0
1762476320.0489552,3.0
1762476320.0636554,3.0
1762476320.078311,3.0
1762476320.0929768,3.0
1762476320.1076503,3.0
1762476320.1223485,3.0
1762476320.1370153,3.0
1762476320.1516612,3.0
1762476320.1663172,3.0
1762476320.1810284,3.0
1762476320.1956573,3.0
1762476320.210324,3.0
1762476320.2249968,3.0
1762476320.2396452,3.0
1762476320.2543051,3.0
1762476320.2689824,3.0
1762476320.2836182,3.0
1762476320.2982805,3.0
1762476320.3129418,3.0
1762476320.327584,3.0
1762476320.3375902,2.0
1762476320.3523417,3.0
1762476320.3670154,3.0
1762476320.3816388,3.0
1762476320.396367,3.0
1762476320.4111311,3.0
1762476320.4257898,3.0
1762476320.4404457,3.0
1762476320.4551053,3.0
1762476320.4697497,3.0
1762476320.484422,3.0
1762476320.4990752,3.0
1762476320.5137417,3.0
1762476320.5244758,2.0
1762476320.536216,2.0
1762476320.5469172,2.0
1762476320.5615292,3.0
1762476320.5715923,2.0
1762476320.586222,3.0
1762476320.6009324,3.0
1762476320.6156454,3.0
1762476320.6303363,3.0
1762476320.6449616,3.0
1762476320.6596012,3.0
1762476320.6696062,2.0
1762476320.6842482,3.0
1762476320.6988816,3.0
1762476320.7136614,3.0
1762476320.7283,3.0
1762476320.7429671,3.0
1762476320.757747,3.0
1762476320.772384,3.0
1762476320.7870352,3.0
1762476320.801672,3.0
1762476320.816315,3.0
1762476320.8309824,3.0
1762476320.8457327,3.0
1762476320.860454,3.0
1762476320.8752103,3.0
1762476320.8898227,3.0
1762476320.8998437,2.0
1762476320.9145122,3.0
1762476320.9291685,3.0
1762476320.9438608,3.0
1762476320.9585295,3.0
1762476320.973259,3.0
1762476320.9879236,3.0
1762476321.0025754,3.0
1762476321.017315,3.0
1762476321.029161,2.0
1762476321.0438042,3.0
