time,scope,value
1764603627.6444151,0,153.99232693415436
1764603627.6444151,1,160.12982683103178
1764603628.6443865,0,94.4004062781006
1764603628.6443865,1,93.7999076813461
1764603629.6443815,0,95.0749319287909
1764603629.6443815,1,95.4421413106967
1764603630.6443677,0,95.79561381417774
1764603630.6443677,1,95.78567186562773
1764603631.6443973,0,95.29176300768141
1764603631.6443973,1,94.82633695560646
1764603632.644399,0,95.38150728420479
1764603632.644399,1,96.4469449736909
1764603633.64442,0,93.75490209741861
1764603633.64442,1,94.5353937884004
1764603634.6443684,0,94.52016362430518
1764603634.6443684,1,94.92516480867354
1764603635.644406,0,94.1803315777738
1764603635.644406,1,96.00218461635993
1764603636.6443756,0,95.37653712842284
1764603636.6443756,1,94.0501074617382
1764603637.6443865,0,87.70006541931045
1764603637.6443865,1,88.60586745207792
1764603638.6444397,0,88.87545384286628
1764603638.6444397,1,90.3930027802471
1764603639.6443014,0,88.66363468650331
1764603639.6443014,1,88.65859905757935
1764603640.6444046,0,89.08379169028527
1764603640.6444046,1,89.42771008786208
1764603641.64446,0,87.8192244391126
1764603641.64446,1,89.03466985425466
1764603642.6443815,0,89.0011510226784
1764603642.6443815,1,88.65700449047438
1764603643.644414,0,88.73671781755381
1764603643.644414,1,89.36148695976095
1764603644.6443772,0,88.65472378212158
1764603644.6443772,1,89.0181120685507
1764603645.6443908,0,90.51513543726898
1764603645.6443908,1,87.80265185382545
1764603646.6443548,0,88.77383593556605
1764603646.6443548,1,89.60788753123747
1764603647.6443133,0,153.11027364286997
1764603647.6443133,1,150.8912457750873
1764603648.6443841,0,153.1368205581144
1764603648.6443841,1,154.91572400293055
1764603649.6443727,0,152.2277923137273
1764603649.6443727,1,151.80644355289675
1764603650.6443603,0,157.6824730403422
1764603650.6443603,1,153.6657659439883
1764603651.644352,0,152.37471880248256
1764603651.644352,1,155.79632826213904
1764603652.644358,0,154.2669671372664
1764603652.644358,1,154.48878267023113
1764603653.644363,0,154.58575809850927
1764603653.644363,1,154.62041648469418
1764603654.644389,0,153.71832832311293
1764603654.644389,1,153.93817898003638
1764603655.6443605,0,156.4501202519041
1764603655.6443605,1,154.75048130644637
1764603656.6443822,0,154.26703111764047
1764603656.6443822,1,154.59112989579694
1764603657.644387,0,152.53909296543776
1764603657.644387,1,155.8981293859895
1764603658.6443655,0,155.6229748499967
1764603658.6443655,1,153.61371407544337
1764603659.6444125,0,156.2298274834363
1764603659.6444125,1,153.79059707918412
1764603660.6443665,0,155.87215726291024
1764603660.6443665,1,154.26204458852544
1764603661.644363,0,155.5300807180376
1764603661.644363,1,153.91166320547563
1764603662.6444056,0,154.84223884707723
1764603662.6444056,1,154.14194728674383
1764603663.6443517,0,155.39692644781212
1764603663.6443517,1,154.18191403687442
1764603664.6443684,0,154.9008937066823
1764603664.6443684,1,154.68750893479051
1764603665.6443748,0,153.09689659747366
1764603665.6443748,1,154.59352380990074
1764603666.644366,0,154.91262257270404
1764603666.644366,1,154.33553570118727
1764603667.6443996,0,155.09761656984597
1764603667.6443996,1,151.31959627857208
1764603668.6444488,0,101.20992625723083
1764603668.6444488,1,101.67320274728468
1764603669.644379,0,99.79889942269907
1764603669.644379,1,100.47788359051705
1764603670.6444077,0,100.47991752506361
1764603670.6444077,1,101.10664136290258
1764603671.644387,0,101.77335142083176
1764603671.644387,1,101.33774239809476
1764603672.6443865,0,100.69948022091276
1764603672.6443865,1,100.23944233457226
1764603673.6443644,0,100.57148912968576
1764603673.6443644,1,100.65416668976142
1764603674.6443822,0,101.3441532465363
1764603674.6443822,1,101.52465780855576
1764603675.6443994,0,100.75658093946146
1764603675.6443994,1,100.06835328164173
1764603676.6443014,0,101.35281487963118
1764603676.6443014,1,100.92917429902063
1764603677.6443672,0,108.12561955759675
1764603677.6443672,1,106.80537527113904
1764603678.6443894,0,107.55579017308632
1764603678.6443894,1,106.81086393735345
