time,scope,value
1769786501.2687964,0,112184.55535888672
1769786501.2687964,1,112184.55535888672
1769786502.2688003,0,112295.60375976562
1769786502.2688003,1,112295.60375976562
1769786503.2688062,0,112382.17376708984
1769786503.2688062,1,112382.17376708984
1769786504.2688048,0,112459.87176513672
1769786504.2688048,1,112459.94079589844
1769786505.2687957,0,112550.05926513672
1769786505.2687957,1,112550.05926513672
1769786506.2687943,0,112691.1548461914
1769786506.2687943,1,112691.1548461914
1769786507.2687924,0,112832.92840576172
1769786507.2687924,1,112832.92840576172
1769786508.2687936,0,112954.03607177734
1769786508.2687936,1,112954.03607177734
1769786509.2687976,0,113065.4140625
1769786509.2687976,1,113065.4140625
1769786510.2687912,0,113177.3662109375
1769786510.2687912,1,113177.3662109375
1769786511.2688034,0,113284.86932373047
1769786511.2688034,1,113284.86932373047
1769786512.268798,0,113373.65716552734
1769786512.268798,1,113373.65716552734
1769786513.2687938,0,113460.38647460938
1769786513.2687938,1,113460.38647460938
1769786514.2687948,0,113538.11511230469
1769786514.2687948,1,113538.11511230469
1769786515.268799,0,113624.87231445312
1769786515.268799,1,113624.87231445312
1769786516.2687898,0,113754.61401367188
1769786516.2687898,1,113754.61401367188
1769786517.2687974,0,113876.20697021484
1769786517.2687974,1,113876.20697021484
1769786518.2687967,0,113958.8882446289
1769786518.2687967,1,113959.22833251953
1769786519.2687922,0,114051.40985107422
1769786519.2687922,1,114051.54296875
1769786520.2687905,0,114192.81433105469
1769786520.2687905,1,114192.81433105469
1769786521.268799,0,114334.5966796875
1769786521.268799,1,114334.5966796875
1769786522.2688024,0,114425.30432128906
1769786522.2688024,1,114425.30432128906
1769786523.2688081,0,114508.05383300781
1769786523.2688081,1,114508.05383300781
1769786524.2687979,0,114590.77276611328
1769786524.2687979,1,114590.77276611328
1769786525.2687912,0,114681.39465332031
1769786525.2687912,1,114681.39465332031
1769786526.2687933,0,114807.11145019531
1769786526.2687933,1,114807.11145019531
1769786527.268798,0,114948.50555419922
1769786527.268798,1,114948.50555419922
1769786528.2687945,0,115076.81140136719
1769786528.2687945,1,115076.81140136719
1769786529.2687998,0,115198.82513427734
1769786529.2687998,1,115198.99102783203
1769786530.2688024,0,115310.5146484375
1769786530.2688024,1,115310.5146484375
1769786531.268796,0,115426.23248291016
1769786531.268796,1,115426.23248291016
1769786532.2687924,0,115568.35070800781
1769786532.2687924,1,115568.35070800781
1769786533.268798,0,115709.92041015625
1769786533.268798,1,115709.92041015625
1769786534.2688003,0,115824.47058105469
1769786534.2688003,1,115824.59716796875
1769786535.2688067,0,115929.80865478516
1769786535.2688067,1,115929.80865478516
1769786536.268798,0,116024.4730834961
1769786536.268798,1,116024.4730834961
1769786537.2687998,0,116117.80596923828
1769786537.2687998,1,116117.80596923828
1769786538.268798,0,116200.55322265625
1769786538.268798,1,116200.55322265625
1769786539.2707942,0,116284.90533447266
1769786539.2707942,1,116284.90533447266
1769786540.2688005,0,116385.93243408203
1769786540.2688005,1,116386.01916503906
1769786541.268803,0,116484.86108398438
1769786541.268803,1,116484.86108398438
1769786542.2687972,0,116567.59130859375
1769786542.2687972,1,116567.59130859375
1769786543.268803,0,116651.01379394531
1769786543.268803,1,116651.01379394531
1769786544.2688034,0,116739.88708496094
1769786544.2688034,1,116739.88708496094
1769786545.2687895,0,116830.96020507812
1769786545.2687895,1,116830.96020507812
1769786546.268799,0,116948.61486816406
1769786546.268799,1,116948.61486816406
1769786547.2687948,0,117073.86981201172
1769786547.2687948,1,117073.86981201172
1769786548.2687895,0,117201.56964111328
1769786548.2687895,1,117201.56964111328
1769786549.2687888,0,117343.64465332031
1769786549.2687888,1,117343.64465332031
1769786550.2687926,0,117477.39953613281
1769786550.2687926,1,117477.39953613281
1769786551.2687998,0,117596.46130371094
1769786551.2687998,1,117596.46130371094
1769786552.26946,0,117715.3101196289
1769786552.26946,1,117715.3101196289
1769786553.2687993,0,117829.97412109375
1769786553.2687993,1,117829.97412109375
1769786554.2688034,0,117907.5805053711
1769786554.2688034,1,117907.5805053711
1769786555.269404,0,117985.92889404297
1769786555.269404,1,117985.92889404297
1769786556.2687993,0,118093.6156616211
1769786556.2687993,1,118093.6156616211
1769786557.2687907,0,118201.93365478516
1769786557.2687907,1,118202.02032470703
1769786558.268793,0,118327.74145507812
1769786558.268793,1,118327.74145507812
1769786559.2687802,0,118448.83111572266
1769786559.2687802,1,118448.83111572266
1769786560.2687924,0,118564.46380615234
1769786560.2687924,1,118564.46380615234
1769786561.269411,0,118671.42907714844
1769786561.269411,1,118671.42907714844
1769786562.2707932,0,118806.509765625
1769786562.2707932,1,118806.509765625
1769786563.2687895,0,118948.17572021484
1769786563.2687895,1,118948.17572021484
1769786564.2687993,0,119082.05841064453
1769786564.2687993,1,119082.05841064453
1769786565.2687988,0,119210.8949584961
1769786565.2687988,1,119210.8949584961
1769786566.2688012,0,119311.9722290039
1769786566.2688012,1,119311.9722290039
1769786567.2687955,0,119412.01983642578
1769786567.2687955,1,119412.48071289062
1769786568.2688005,0,119506.77465820312
1769786568.2688005,1,119506.77465820312
1769786569.2688034,0,119601.39282226562
1769786569.2688034,1,119601.47235107422
1769786570.2688005,0,119690.17767333984
1769786570.2688005,1,119690.17767333984
1769786571.26879,0,119779.25360107422
1769786571.26879,1,119779.25360107422
1769786572.2687938,0,119905.9017944336
1769786572.2687938,1,119905.9017944336
1769786573.2687871,0,120036.22351074219
1769786573.2687871,1,120036.22351074219
1769786574.2687955,0,120165.99237060547
1769786574.2687955,1,120165.99237060547
1769786575.2687833,0,120295.49603271484
1769786575.2687833,1,120295.49603271484
1769786576.2687979,0,120407.16607666016
1769786576.2687979,1,120407.16607666016
1769786577.2687826,0,120519.56103515625
1769786577.2687826,1,120519.56103515625
1769786578.2687874,0,120606.64544677734
1769786578.2687874,1,120606.64544677734
1769786579.2687948,0,120696.3140258789
1769786579.2687948,1,120696.3140258789
1769786580.2687995,0,120811.78314208984
1769786580.2687995,1,120811.78314208984
1769786581.2687929,0,120929.32873535156
1769786581.2687929,1,120929.32873535156
1769786582.2687943,0,121052.55560302734
1769786582.2687943,1,121052.55560302734
1769786583.2687979,0,121176.17901611328
1769786583.2687979,1,121176.17901611328
1769786584.2687948,0,121317.30139160156
1769786584.2687948,1,121317.30139160156
1769786585.2687953,0,121459.65130615234
1769786585.2687953,1,121459.65130615234
1769786586.2687938,0,121599.73541259766
1769786586.2687938,1,121599.73541259766
1769786587.2687948,0,121729.33465576172
1769786587.2687948,1,121729.33465576172
1769786588.268789,0,121869.17504882812
1769786588.268789,1,121869.17504882812
1769786589.2687905,0,122009.58935546875
1769786589.2687905,1,122009.80828857422
1769786590.2687972,0,122102.42016601562
1769786590.2687972,1,122102.42016601562
1769786591.2687974,0,122191.1773071289
1769786591.2687974,1,122191.1773071289
1769786592.2688007,0,122285.45697021484
1769786592.2688007,1,122285.53521728516
1769786593.268791,0,122380.4599609375
1769786593.268791,1,122380.4599609375
1769786594.2688022,0,122459.22912597656
1769786594.2688022,1,122459.22912597656
1769786595.2688015,0,122537.09381103516
1769786595.2688015,1,122537.09381103516
1769786596.269401,0,122619.63153076172
1769786596.269401,1,122619.63153076172
1769786597.2697065,0,122702.40124511719
1769786597.2697065,1,122702.40124511719
1769786598.2687953,0,122785.1342163086
1769786598.2687953,1,122785.1342163086
1769786599.269366,0,122867.91290283203
1769786599.269366,1,122867.91290283203
1769786600.2687936,0,122995.0209350586
1769786600.2687936,1,122995.0209350586
1769786601.2687874,0,123137.02923583984
1769786601.2687874,1,123137.02923583984
1769786602.2687914,0,123279.03436279297
1769786602.2687914,1,123279.03436279297
1769786603.268789,0,123421.12268066406
1769786603.268789,1,123421.12268066406
1769786604.268804,0,123541.6470336914
1769786604.268804,1,123541.6470336914
1769786605.2687953,0,123642.27819824219
1769786605.2687953,1,123642.27819824219
1769786606.2728,0,123726.72021484375
1769786606.2728,1,123726.72021484375
1769786607.268801,0,123809.1655883789
1769786607.268801,1,123809.1655883789
1769786608.2694037,0,123917.45635986328
1769786608.2694037,1,123917.45635986328
1769786609.2687984,0,124030.12774658203
1769786609.2687984,1,124030.53643798828
1769786610.2696314,0,124110.91784667969
1769786610.2696314,1,124110.91784667969
1769786611.2688026,0,124188.50860595703
1769786611.2688026,1,124188.50860595703
1769786612.2687972,0,124324.220703125
1769786612.2687972,1,124324.220703125
1769786613.2687914,0,124463.6171875
1769786613.2687914,1,124463.6171875
1769786614.2687974,0,124603.7767944336
1769786614.2687974,1,124603.89630126953
1769786615.268792,0,124744.99835205078
1769786615.268792,1,124745.11688232422
1769786616.268793,0,124887.4175415039
1769786616.268793,1,124887.4175415039
1769786617.2687907,0,125029.66357421875
1769786617.2687907,1,125029.66357421875
1769786618.2687886,0,125169.53088378906
1769786618.2687886,1,125169.53088378906
1769786619.2687938,0,125302.79577636719
1769786619.2687938,1,125302.79577636719
1769786620.2687948,0,125443.24615478516
1769786620.2687948,1,125443.53759765625
1769786621.2687984,0,125565.25115966797
1769786621.2687984,1,125565.25115966797
1769786622.2687993,0,125663.60150146484
1769786622.2687993,1,125663.60150146484
1769786623.268806,0,125759.01177978516
1769786623.268806,1,125759.40631103516
1769786624.2687933,0,125888.70141601562
1769786624.2687933,1,125888.70141601562
1769786625.2687943,0,126030.55895996094
1769786625.2687943,1,126030.55895996094
1769786626.268805,0,126135.82098388672
1769786626.268805,1,126135.82098388672
1769786627.268797,0,126230.5952758789
1769786627.268797,1,126230.5952758789
1769786628.2687957,0,126365.50360107422
1769786628.2687957,1,126365.50360107422
1769786629.268792,0,126506.13720703125
1769786629.268792,1,126506.13720703125
1769786630.268792,0,126647.7041015625
1769786630.268792,1,126647.7041015625
1769786631.268785,0,126790.02941894531
1769786631.268785,1,126790.02941894531
1769786632.2687938,0,126931.77728271484
1769786632.2687938,1,126931.77728271484
1769786633.2687933,0,127074.42541503906
1769786633.2687933,1,127074.42541503906
1769786634.2691758,0,127197.55126953125
1769786634.2691758,1,127197.6089477539
1769786635.2687964,0,127309.83630371094
1769786635.2687964,1,127309.83630371094
1769786636.2691772,0,127401.1029663086
1769786636.2691772,1,127401.1029663086
1769786637.2688015,0,127490.58154296875
1769786637.2688015,1,127490.65435791016
1769786638.268797,0,127598.88916015625
1769786638.268797,1,127599.41760253906
1769786639.2687962,0,127710.91912841797
1769786639.2687962,1,127710.91912841797
1769786640.2688026,0,127797.43188476562
1769786640.2688026,1,127797.43188476562
1769786641.2695608,0,127880.103515625
1769786641.2695608,1,127880.103515625
1769786642.2707937,0,128008.33459472656
1769786642.2707937,1,128008.33459472656
1769786643.2687922,0,128149.87548828125
1769786643.2687922,1,128149.9730834961
1769786644.2687993,0,128292.56414794922
1769786644.2687993,1,128292.56414794922
1769786645.2687933,0,128434.84460449219
1769786645.2687933,1,128434.84460449219
1769786646.2688012,0,128568.63305664062
1769786646.2688012,1,128568.63305664062
1769786647.2687497,0,128686.37127685547
1769786647.2687497,1,128686.37127685547
1769786648.2687914,0,128822.98956298828
1769786648.2687914,1,128822.98956298828
1769786649.2687924,0,128963.5933227539
1769786649.2687924,1,128963.5933227539
1769786650.2687988,0,129056.56994628906
1769786650.2687988,1,129056.56994628906
1769786651.2687972,0,129139.36499023438
1769786651.2687972,1,129139.36499023438
1769786652.2687955,0,129255.65405273438
1769786652.2687955,1,129255.65405273438
1769786653.2688005,0,129387.2924194336
1769786653.2688005,1,129387.2924194336
1769786654.2688017,0,129493.4965209961
1769786654.2688017,1,129493.4965209961
1769786655.2688003,0,129594.17407226562
1769786655.2688003,1,129594.17407226562
1769786656.2688031,0,129680.40051269531
1769786656.2688031,1,129680.40051269531
1769786657.268794,0,129763.17236328125
1769786657.268794,1,129763.17236328125
1769786658.2687974,0,129845.91040039062
1769786658.2687974,1,129845.91040039062
1769786659.2688804,0,129928.67041015625
1769786659.2688804,1,129928.67041015625
1769786660.2687953,0,130043.72650146484
1769786660.2687953,1,130043.91107177734
