time,scope,value
1769786501.6099,nrm.extra.perf.PAPI_L3_TCA.5877,463207017.0
1769786501.6099,nrm.extra.perf.PAPI_TOT_INS.5877,151327205797.0
1769786501.6099,nrm.extra.perf.PAPI_TOT_CYC.5877,263179055237.0
1769786501.6099,nrm.extra.perf.PAPI_RES_STL.5877,128270481753.0
1769786501.6099,nrm.extra.perf.PAPI_L3_TCM.5877,47924053.0
1769786502.6121585,nrm.extra.perf.PAPI_L3_TCA.5877,879913059.0
1769786502.6121585,nrm.extra.perf.PAPI_TOT_INS.5877,286524526996.0
1769786502.6121585,nrm.extra.perf.PAPI_TOT_CYC.5877,492282456895.0
1769786502.6121585,nrm.extra.perf.PAPI_RES_STL.5877,242493820900.0
1769786502.6121585,nrm.extra.perf.PAPI_L3_TCM.5877,90862278.0
1769786503.6092482,nrm.extra.perf.PAPI_L3_TCA.5877,1258292619.0
1769786503.6092482,nrm.extra.perf.PAPI_TOT_INS.5877,409702410347.0
1769786503.6092482,nrm.extra.perf.PAPI_TOT_CYC.5877,701751498416.0
1769786503.6092482,nrm.extra.perf.PAPI_RES_STL.5877,346298332512.0
1769786503.6092482,nrm.extra.perf.PAPI_L3_TCM.5877,130730748.0
1769786504.6132822,nrm.extra.perf.PAPI_L3_TCA.5877,1623999696.0
1769786504.6132822,nrm.extra.perf.PAPI_TOT_INS.5877,528748988194.0
1769786504.6132822,nrm.extra.perf.PAPI_TOT_CYC.5877,904396668139.0
1769786504.6132822,nrm.extra.perf.PAPI_RES_STL.5877,446378046790.0
1769786504.6132822,nrm.extra.perf.PAPI_L3_TCM.5877,169191510.0
1769786505.6088688,nrm.extra.perf.PAPI_L3_TCA.5877,2067338474.0
1769786505.6088688,nrm.extra.perf.PAPI_TOT_INS.5877,672898827745.0
1769786505.6088688,nrm.extra.perf.PAPI_TOT_CYC.5877,1149042940399.0
1769786505.6088688,nrm.extra.perf.PAPI_RES_STL.5877,567962392466.0
1769786505.6088688,nrm.extra.perf.PAPI_L3_TCM.5877,215534872.0
1769786506.608875,nrm.extra.perf.PAPI_L3_TCA.5877,2582723486.0
1769786506.608875,nrm.extra.perf.PAPI_TOT_INS.5877,840187857215.0
1769786506.608875,nrm.extra.perf.PAPI_TOT_CYC.5877,1432389639845.0
1769786506.608875,nrm.extra.perf.PAPI_RES_STL.5877,709681157908.0
1769786506.608875,nrm.extra.perf.PAPI_L3_TCM.5877,269570814.0
1769786507.612963,nrm.extra.perf.PAPI_L3_TCA.5877,3095883256.0
1769786507.612963,nrm.extra.perf.PAPI_TOT_INS.5877,1006751329438.0
1769786507.612963,nrm.extra.perf.PAPI_TOT_CYC.5877,1715264374040.0
1769786507.612963,nrm.extra.perf.PAPI_RES_STL.5877,850640151232.0
1769786507.612963,nrm.extra.perf.PAPI_L3_TCM.5877,324300777.0
1769786508.6090162,nrm.extra.perf.PAPI_L3_TCA.5877,3557323656.0
1769786508.6090162,nrm.extra.perf.PAPI_TOT_INS.5877,1156702653321.0
1769786508.6090162,nrm.extra.perf.PAPI_TOT_CYC.5877,1970102065576.0
1769786508.6090162,nrm.extra.perf.PAPI_RES_STL.5877,976691111280.0
1769786508.6090162,nrm.extra.perf.PAPI_L3_TCM.5877,373244354.0
1769786509.6089249,nrm.extra.perf.PAPI_L3_TCA.5877,3994017796.0
1769786509.6089249,nrm.extra.perf.PAPI_TOT_INS.5877,1299716788013.0
1769786509.6089249,nrm.extra.perf.PAPI_TOT_CYC.5877,2217650001283.0
1769786509.6089249,nrm.extra.perf.PAPI_RES_STL.5877,1096392684895.0
1769786509.6089249,nrm.extra.perf.PAPI_L3_TCM.5877,419476659.0
1769786510.6110117,nrm.extra.perf.PAPI_L3_TCA.5877,4461739325.0
1769786510.6110117,nrm.extra.perf.PAPI_TOT_INS.5877,1451825688521.0
1769786510.6110117,nrm.extra.perf.PAPI_TOT_CYC.5877,2474925224469.0
1769786510.6110117,nrm.extra.perf.PAPI_RES_STL.5877,1224107629336.0
1769786510.6110117,nrm.extra.perf.PAPI_L3_TCM.5877,468790660.0
1769786511.609191,nrm.extra.perf.PAPI_L3_TCA.5877,4892678519.0
1769786511.609191,nrm.extra.perf.PAPI_TOT_INS.5877,1592018837579.0
1769786511.609191,nrm.extra.perf.PAPI_TOT_CYC.5877,2713671894561.0
1769786511.609191,nrm.extra.perf.PAPI_RES_STL.5877,1341920475755.0
1769786511.609191,nrm.extra.perf.PAPI_L3_TCM.5877,514063439.0
1769786512.6111748,nrm.extra.perf.PAPI_L3_TCA.5877,5302426914.0
1769786512.6111748,nrm.extra.perf.PAPI_TOT_INS.5877,1724993106386.0
1769786512.6111748,nrm.extra.perf.PAPI_TOT_CYC.5877,2938071789858.0
1769786512.6111748,nrm.extra.perf.PAPI_RES_STL.5877,1453927536413.0
1769786512.6111748,nrm.extra.perf.PAPI_L3_TCM.5877,556903722.0
1769786513.6112254,nrm.extra.perf.PAPI_L3_TCA.5877,5688962040.0
1769786513.6112254,nrm.extra.perf.PAPI_TOT_INS.5877,1850606370676.0
1769786513.6112254,nrm.extra.perf.PAPI_TOT_CYC.5877,3150617678568.0
1769786513.6112254,nrm.extra.perf.PAPI_RES_STL.5877,1559746336006.0
1769786513.6112254,nrm.extra.perf.PAPI_L3_TCM.5877,597407826.0
1769786514.6132123,nrm.extra.perf.PAPI_L3_TCA.5877,6056750092.0
1769786514.6132123,nrm.extra.perf.PAPI_TOT_INS.5877,1970042507236.0
1769786514.6132123,nrm.extra.perf.PAPI_TOT_CYC.5877,3353013348071.0
1769786514.6132123,nrm.extra.perf.PAPI_RES_STL.5877,1660124753370.0
1769786514.6132123,nrm.extra.perf.PAPI_L3_TCM.5877,636107744.0
1769786515.6090014,nrm.extra.perf.PAPI_L3_TCA.5877,6491456739.0
1769786515.6090014,nrm.extra.perf.PAPI_TOT_INS.5877,2111308543221.0
1769786515.6090014,nrm.extra.perf.PAPI_TOT_CYC.5877,3593576440256.0
1769786515.6090014,nrm.extra.perf.PAPI_RES_STL.5877,1779389175328.0
1769786515.6090014,nrm.extra.perf.PAPI_L3_TCM.5877,681544637.0
1769786516.6086156,nrm.extra.perf.PAPI_L3_TCA.5877,6995007741.0
1769786516.6086156,nrm.extra.perf.PAPI_TOT_INS.5877,2275168229139.0
1769786516.6086156,nrm.extra.perf.PAPI_TOT_CYC.5877,3871640965058.0
1769786516.6086156,nrm.extra.perf.PAPI_RES_STL.5877,1917734234590.0
1769786516.6086156,nrm.extra.perf.PAPI_L3_TCM.5877,733440146.0
1769786517.6089115,nrm.extra.perf.PAPI_L3_TCA.5877,7438520182.0
1769786517.6089115,nrm.extra.perf.PAPI_TOT_INS.5877,2419198262269.0
1769786517.6089115,nrm.extra.perf.PAPI_TOT_CYC.5877,4116134161548.0
1769786517.6089115,nrm.extra.perf.PAPI_RES_STL.5877,2039373248998.0
1769786517.6089115,nrm.extra.perf.PAPI_L3_TCM.5877,779882856.0
1769786518.6131659,nrm.extra.perf.PAPI_L3_TCA.5877,7828825830.0
1769786518.6131659,nrm.extra.perf.PAPI_TOT_INS.5877,2545669050982.0
1769786518.6131659,nrm.extra.perf.PAPI_TOT_CYC.5877,4329991707879.0
1769786518.6131659,nrm.extra.perf.PAPI_RES_STL.5877,2146111978344.0
1769786518.6131659,nrm.extra.perf.PAPI_L3_TCM.5877,821068341.0
1769786519.6088834,nrm.extra.perf.PAPI_L3_TCA.5877,8281807239.0
1769786519.6088834,nrm.extra.perf.PAPI_TOT_INS.5877,2692598597722.0
1769786519.6088834,nrm.extra.perf.PAPI_TOT_CYC.5877,4577952295577.0
1769786519.6088834,nrm.extra.perf.PAPI_RES_STL.5877,2270226565003.0
1769786519.6088834,nrm.extra.perf.PAPI_L3_TCM.5877,868668420.0
1769786520.6088862,nrm.extra.perf.PAPI_L3_TCA.5877,8800073465.0
1769786520.6088862,nrm.extra.perf.PAPI_TOT_INS.5877,2860547770592.0
1769786520.6088862,nrm.extra.perf.PAPI_TOT_CYC.5877,4861198578372.0
1769786520.6088862,nrm.extra.perf.PAPI_RES_STL.5877,2412498761396.0
1769786520.6088862,nrm.extra.perf.PAPI_L3_TCM.5877,923391234.0
1769786521.613209,nrm.extra.perf.PAPI_L3_TCA.5877,9290064182.0
1769786521.613209,nrm.extra.perf.PAPI_TOT_INS.5877,3019515678356.0
1769786521.613209,nrm.extra.perf.PAPI_TOT_CYC.5877,5130609741567.0
1769786521.613209,nrm.extra.perf.PAPI_RES_STL.5877,2547112325337.0
1769786521.613209,nrm.extra.perf.PAPI_L3_TCM.5877,975645983.0
1769786522.6092453,nrm.extra.perf.PAPI_L3_TCA.5877,9649738254.0
1769786522.6092453,nrm.extra.perf.PAPI_TOT_INS.5877,3137397906223.0
1769786522.6092453,nrm.extra.perf.PAPI_TOT_CYC.5877,5334696873812.0
1769786522.6092453,nrm.extra.perf.PAPI_RES_STL.5877,2645612330301.0
1769786522.6092453,nrm.extra.perf.PAPI_L3_TCM.5877,1013737071.0
1769786523.6090882,nrm.extra.perf.PAPI_L3_TCA.5877,10035565149.0
1769786523.6090882,nrm.extra.perf.PAPI_TOT_INS.5877,3262490382668.0
1769786523.6090882,nrm.extra.perf.PAPI_TOT_CYC.5877,5547294376347.0
1769786523.6090882,nrm.extra.perf.PAPI_RES_STL.5877,2751100563760.0
1769786523.6090882,nrm.extra.perf.PAPI_L3_TCM.5877,1055020179.0
1769786524.611157,nrm.extra.perf.PAPI_L3_TCA.5877,10426404284.0
1769786524.611157,nrm.extra.perf.PAPI_TOT_INS.5877,3389293411447.0
1769786524.611157,nrm.extra.perf.PAPI_TOT_CYC.5877,5760824891285.0
1769786524.611157,nrm.extra.perf.PAPI_RES_STL.5877,2857693661124.0
1769786524.611157,nrm.extra.perf.PAPI_L3_TCM.5877,1096562903.0
1769786525.609912,nrm.extra.perf.PAPI_L3_TCA.5877,10835004170.0
1769786525.609912,nrm.extra.perf.PAPI_TOT_INS.5877,3523572786287.0
1769786525.609912,nrm.extra.perf.PAPI_TOT_CYC.5877,5995901794259.0
1769786525.609912,nrm.extra.perf.PAPI_RES_STL.5877,2969864848074.0
1769786525.609912,nrm.extra.perf.PAPI_L3_TCM.5877,1139844016.0
1769786526.6088758,nrm.extra.perf.PAPI_L3_TCA.5877,11253884410.0
1769786526.6088758,nrm.extra.perf.PAPI_TOT_INS.5877,3662247299280.0
1769786526.6088758,nrm.extra.perf.PAPI_TOT_CYC.5877,6243882932815.0
1769786526.6088758,nrm.extra.perf.PAPI_RES_STL.5877,3085493607043.0
1769786526.6088758,nrm.extra.perf.PAPI_L3_TCM.5877,1183894358.0
1769786527.6120133,nrm.extra.perf.PAPI_L3_TCA.5877,11769019389.0
1769786527.6120133,nrm.extra.perf.PAPI_TOT_INS.5877,3829332690125.0
1769786527.6120133,nrm.extra.perf.PAPI_TOT_CYC.5877,6526689480191.0
1769786527.6120133,nrm.extra.perf.PAPI_RES_STL.5877,3226669602213.0
1769786527.6120133,nrm.extra.perf.PAPI_L3_TCM.5877,1238611951.0
1769786528.6099877,nrm.extra.perf.PAPI_L3_TCA.5877,12262047866.0
1769786528.6099877,nrm.extra.perf.PAPI_TOT_INS.5877,3989150873525.0
1769786528.6099877,nrm.extra.perf.PAPI_TOT_CYC.5877,6796774414891.0
1769786528.6099877,nrm.extra.perf.PAPI_RES_STL.5877,3361292090964.0
1769786528.6099877,nrm.extra.perf.PAPI_L3_TCM.5877,1291203981.0
1769786529.6090755,nrm.extra.perf.PAPI_L3_TCA.5877,12743356498.0
1769786529.6090755,nrm.extra.perf.PAPI_TOT_INS.5877,4145225324058.0
1769786529.6090755,nrm.extra.perf.PAPI_TOT_CYC.5877,7060329708515.0
1769786529.6090755,nrm.extra.perf.PAPI_RES_STL.5877,3492724069226.0
1769786529.6090755,nrm.extra.perf.PAPI_L3_TCM.5877,1342695885.0
1769786530.6090016,nrm.extra.perf.PAPI_L3_TCA.5877,13209399079.0
1769786530.6090016,nrm.extra.perf.PAPI_TOT_INS.5877,4296360391001.0
1769786530.6090016,nrm.extra.perf.PAPI_TOT_CYC.5877,7316171150448.0
1769786530.6090016,nrm.extra.perf.PAPI_RES_STL.5877,3620053026485.0
1769786530.6090016,nrm.extra.perf.PAPI_L3_TCM.5877,1392409548.0
1769786531.6128583,nrm.extra.perf.PAPI_L3_TCA.5877,13702507826.0
1769786531.6128583,nrm.extra.perf.PAPI_TOT_INS.5877,4456354919019.0
1769786531.6128583,nrm.extra.perf.PAPI_TOT_CYC.5877,7586321778366.0
1769786531.6128583,nrm.extra.perf.PAPI_RES_STL.5877,3754937855896.0
1769786531.6128583,nrm.extra.perf.PAPI_L3_TCM.5877,1445093155.0
1769786532.608913,nrm.extra.perf.PAPI_L3_TCA.5877,14216768888.0
1769786532.608913,nrm.extra.perf.PAPI_TOT_INS.5877,4623012188457.0
1769786532.608913,nrm.extra.perf.PAPI_TOT_CYC.5877,7868258531484.0
1769786532.608913,nrm.extra.perf.PAPI_RES_STL.5877,3896249861791.0
1769786532.608913,nrm.extra.perf.PAPI_L3_TCM.5877,1499781558.0
1769786533.6091075,nrm.extra.perf.PAPI_L3_TCA.5877,14725005543.0
1769786533.6091075,nrm.extra.perf.PAPI_TOT_INS.5877,4787809066478.0
1769786533.6091075,nrm.extra.perf.PAPI_TOT_CYC.5877,8147129133286.0
1769786533.6091075,nrm.extra.perf.PAPI_RES_STL.5877,4035630426120.0
