time,scope,value
1769795657.9050415,nrm.extra.perf.PAPI_L3_TCA.12620,2453265100.0
1769795657.9050415,nrm.extra.perf.PAPI_TOT_INS.12620,41299541581.0
1769795657.9050415,nrm.extra.perf.PAPI_TOT_CYC.12620,290404450878.0
1769795657.9050415,nrm.extra.perf.PAPI_RES_STL.12620,259429082111.0
1769795657.9050415,nrm.extra.perf.PAPI_L3_TCM.12620,2292167941.0
1769795658.91052,nrm.extra.perf.PAPI_L3_TCA.12620,4983361005.0
1769795658.91052,nrm.extra.perf.PAPI_TOT_INS.12620,83904264889.0
1769795658.91052,nrm.extra.perf.PAPI_TOT_CYC.12620,583740277086.0
1769795658.91052,nrm.extra.perf.PAPI_RES_STL.12620,520440573876.0
1769795658.91052,nrm.extra.perf.PAPI_L3_TCM.12620,4665394411.0
1769795659.9128828,nrm.extra.perf.PAPI_L3_TCA.12620,7326723551.0
1769795659.9128828,nrm.extra.perf.PAPI_TOT_INS.12620,123074457674.0
1769795659.9128828,nrm.extra.perf.PAPI_TOT_CYC.12620,828353829305.0
1769795659.9128828,nrm.extra.perf.PAPI_RES_STL.12620,736721546860.0
1769795659.9128828,nrm.extra.perf.PAPI_L3_TCM.12620,6869720873.0
1769795660.909701,nrm.extra.perf.PAPI_L3_TCA.12620,9511848883.0
1769795660.909701,nrm.extra.perf.PAPI_TOT_INS.12620,160001644473.0
1769795660.909701,nrm.extra.perf.PAPI_TOT_CYC.12620,1042510720458.0
1769795660.909701,nrm.extra.perf.PAPI_RES_STL.12620,921418505839.0
1769795660.909701,nrm.extra.perf.PAPI_L3_TCM.12620,8907796796.0
1769795661.904134,nrm.extra.perf.PAPI_L3_TCA.12620,11811551405.0
1769795661.904134,nrm.extra.perf.PAPI_TOT_INS.12620,198535363425.0
1769795661.904134,nrm.extra.perf.PAPI_TOT_CYC.12620,1278051455752.0
1769795661.904134,nrm.extra.perf.PAPI_RES_STL.12620,1128147647613.0
1769795661.904134,nrm.extra.perf.PAPI_L3_TCM.12620,11059818780.0
1769795662.903682,nrm.extra.perf.PAPI_L3_TCA.12620,14196584830.0
1769795662.903682,nrm.extra.perf.PAPI_TOT_INS.12620,238552069519.0
