time,scope,value
1764619330.3173952,nrm.extra.perf.PAPI_L3_TCA.395455,452577508.0
1764619330.3173952,nrm.extra.perf.PAPI_TOT_INS.395455,147588497877.0
1764619330.3173952,nrm.extra.perf.PAPI_TOT_CYC.395455,258809397891.0
1764619330.3173952,nrm.extra.perf.PAPI_RES_STL.395455,125013075689.0
1764619330.3173952,nrm.extra.perf.PAPI_L3_TCM.395455,47236625.0
1764619331.3143892,nrm.extra.perf.PAPI_L3_TCA.395455,955790516.0
1764619331.3143892,nrm.extra.perf.PAPI_TOT_INS.395455,311050641712.0
1764619331.3143892,nrm.extra.perf.PAPI_TOT_CYC.395455,536760203876.0
1764619331.3143892,nrm.extra.perf.PAPI_RES_STL.395455,263353118024.0
1764619331.3143892,nrm.extra.perf.PAPI_L3_TCM.395455,98906303.0
1764619332.314407,nrm.extra.perf.PAPI_L3_TCA.395455,1454418411.0
1764619332.314407,nrm.extra.perf.PAPI_TOT_INS.395455,473134862708.0
1764619332.314407,nrm.extra.perf.PAPI_TOT_CYC.395455,814409569291.0
1764619332.314407,nrm.extra.perf.PAPI_RES_STL.395455,400440775359.0
1764619332.314407,nrm.extra.perf.PAPI_L3_TCM.395455,150035562.0
1764619333.3174067,nrm.extra.perf.PAPI_L3_TCA.395455,1957422498.0
1764619333.3174067,nrm.extra.perf.PAPI_TOT_INS.395455,636620143754.0
1764619333.3174067,nrm.extra.perf.PAPI_TOT_CYC.395455,1093088929707.0
1764619333.3174067,nrm.extra.perf.PAPI_RES_STL.395455,538575742836.0
1764619333.3174067,nrm.extra.perf.PAPI_L3_TCM.395455,200952632.0
1764619334.3143508,nrm.extra.perf.PAPI_L3_TCA.395455,2459180379.0
1764619334.3143508,nrm.extra.perf.PAPI_TOT_INS.395455,799654570642.0
1764619334.3143508,nrm.extra.perf.PAPI_TOT_CYC.395455,1369989152565.0
1764619334.3143508,nrm.extra.perf.PAPI_RES_STL.395455,676424714124.0
1764619334.3143508,nrm.extra.perf.PAPI_L3_TCM.395455,251222487.0
1764619335.3153617,nrm.extra.perf.PAPI_L3_TCA.395455,2961930340.0
1764619335.3153617,nrm.extra.perf.PAPI_TOT_INS.395455,962966135202.0
1764619335.3153617,nrm.extra.perf.PAPI_TOT_CYC.395455,1648207188401.0
1764619335.3153617,nrm.extra.perf.PAPI_RES_STL.395455,814426686216.0
1764619335.3153617,nrm.extra.perf.PAPI_L3_TCM.395455,301819057.0
1764619336.3173602,nrm.extra.perf.PAPI_L3_TCA.395455,3447224794.0
1764619336.3173602,nrm.extra.perf.PAPI_TOT_INS.395455,1121150184404.0
1764619336.3173602,nrm.extra.perf.PAPI_TOT_CYC.395455,1920457070819.0
1764619336.3173602,nrm.extra.perf.PAPI_RES_STL.395455,947819900768.0
1764619336.3173602,nrm.extra.perf.PAPI_L3_TCM.395455,350475581.0
1764619337.314379,nrm.extra.perf.PAPI_L3_TCA.395455,3949470299.0
1764619337.314379,nrm.extra.perf.PAPI_TOT_INS.395455,1284107584296.0
1764619337.314379,nrm.extra.perf.PAPI_TOT_CYC.395455,2197020727652.0
1764619337.314379,nrm.extra.perf.PAPI_RES_STL.395455,1085482448104.0
1764619337.314379,nrm.extra.perf.PAPI_L3_TCM.395455,400734408.0
1764619338.314146,nrm.extra.perf.PAPI_L3_TCA.395455,4406930983.0
1764619338.314146,nrm.extra.perf.PAPI_TOT_INS.395455,1434248092758.0
1764619338.314146,nrm.extra.perf.PAPI_TOT_CYC.395455,2459309178670.0
1764619338.314146,nrm.extra.perf.PAPI_RES_STL.395455,1211215522966.0
1764619338.314146,nrm.extra.perf.PAPI_L3_TCM.395455,446219456.0
1764619339.315431,nrm.extra.perf.PAPI_L3_TCA.395455,4895526544.0
1764619339.315431,nrm.extra.perf.PAPI_TOT_INS.395455,1593100677602.0
1764619339.315431,nrm.extra.perf.PAPI_TOT_CYC.395455,2731428620270.0
1764619339.315431,nrm.extra.perf.PAPI_RES_STL.395455,1345387384231.0
1764619339.315431,nrm.extra.perf.PAPI_L3_TCM.395455,495215391.0
1764619340.3163357,nrm.extra.perf.PAPI_L3_TCA.395455,5396276926.0
1764619340.3163357,nrm.extra.perf.PAPI_TOT_INS.395455,1755940534093.0
